 time            v1              v2              v3              v4             
 0.00000000e+00  5.00000000e-01  4.90119125e-01  3.81814408e-01  3.86679234e-01 
 1.00000000e-15  5.01005309e-01  4.90792808e-01  3.81477496e-01  3.86431600e-01 
 2.00000000e-15  5.02010618e-01  4.91462772e-01  3.81142270e-01  3.86184225e-01 
 4.00000000e-15  5.04021228e-01  4.92793799e-01  3.80475857e-01  3.85690099e-01 
 8.00000000e-15  5.08042390e-01  4.95413332e-01  3.79162332e-01  3.84704852e-01 
 1.60000000e-14  5.16084261e-01  5.00478551e-01  3.76614313e-01  3.82746849e-01 
 3.20000000e-14  5.32164360e-01  5.09924788e-01  3.71830185e-01  3.78881744e-01 
 6.40000000e-14  5.64295436e-01  5.26203700e-01  3.63459843e-01  3.71360788e-01 
 1.28000000e-13  6.28324806e-01  5.49319894e-01  3.51089896e-01  3.57205155e-01 
 2.28000000e-13  7.27208840e-01  5.64592902e-01  3.41557265e-01  3.37705431e-01 
 3.28000000e-13  8.23798527e-01  5.60314171e-01  3.41380507e-01  3.21809386e-01 
 4.28000000e-13  9.17118507e-01  5.42827764e-01  3.47696390e-01  3.09986590e-01 
 5.28000000e-13  1.00622644e+00  5.18152433e-01  3.57738734e-01  3.02688556e-01 
 6.28000000e-13  1.09022251e+00  4.91596877e-01  3.69042070e-01  3.00309072e-01 
 7.28000000e-13  1.16825854e+00  4.67582469e-01  3.79553426e-01  3.03150700e-01 
 8.28000000e-13  1.23954652e+00  4.49572563e-01  3.87691434e-01  3.11398275e-01 
 9.28000000e-13  1.30336658e+00  4.40068945e-01  3.92367926e-01  3.25100238e-01 
 1.02800000e-12  1.35907427e+00  4.40655960e-01  3.92980001e-01  3.44158109e-01 
 1.12800000e-12  1.40610706e+00  4.52079413e-01  3.89378504e-01  3.68323955e-01 
 1.22800000e-12  1.44399001e+00  4.74349779e-01  3.81818324e-01  3.97205253e-01 
 1.32800000e-12  1.47234058e+00  5.06860608e-01  3.70895644e-01  4.30276288e-01 
 1.42800000e-12  1.49087249e+00  5.48514120e-01  3.57476951e-01  4.66894996e-01 
 1.52800000e-12  1.49939860e+00  5.97847154e-01  3.42624205e-01  5.06324005e-01 
 1.62800000e-12  1.49783282e+00  6.53151842e-01  3.27520046e-01  5.47754639e-01 
 1.72800000e-12  1.48619096e+00  7.12586624e-01  3.13396278e-01  5.90332580e-01 
 1.82800000e-12  1.46459057e+00  7.74274414e-01  3.01468280e-01  6.33184028e-01 
 1.92800000e-12  1.43324978e+00  8.36385885e-01  2.92877291e-01  6.75441243e-01 
 2.02800000e-12  1.39248507e+00  8.97206829e-01  2.88641940e-01  7.16266548e-01 
 2.12800000e-12  1.34270807e+00  9.55189460e-01  2.89619775e-01  7.54873988e-01 
 2.22800000e-12  1.28442144e+00  1.00898826e+00  2.96479059e-01  7.90548066e-01 
 2.32800000e-12  1.21821374e+00  1.05748155e+00  3.09680620e-01  8.22659111e-01 
 2.42800000e-12  1.14475355e+00  1.09978034e+00  3.29469205e-01  8.50675034e-01 
 2.52800000e-12  1.06478266e+00  1.13522640e+00  3.55873485e-01  8.74169381e-01 
 2.62800000e-12  9.79108608e-01  1.16338160e+00  3.88713662e-01  8.92825737e-01 
 2.72800000e-12  8.88596537e-01  1.18401037e+00  4.27615473e-01  9.06438665e-01 
 2.82800000e-12  7.94160431e-01  1.19705762e+00  4.72029357e-01  9.14911464e-01 
 2.92800000e-12  6.96753904e-01  1.20262362e+00  5.21253512e-01  9.18251108e-01 
 3.02800000e-12  5.97360561e-01  1.20093765e+00  5.74459618e-01  9.16560801e-01 
 3.12800000e-12  4.96984076e-01  1.19233187e+00  6.30720103e-01  9.10030588e-01 
 3.22800000e-12  3.96638045e-01  1.17721642e+00  6.89035911e-01  8.98926516e-01 
 3.32800000e-12  2.97335759e-01  1.15605664e+00  7.48363880e-01  8.83578793e-01 
 3.42800000e-12  2.00079970e-01  1.12935321e+00  8.07642984e-01  8.64369404e-01 
 3.52800000e-12  1.05852763e-01  1.09762526e+00  8.65818814e-01  8.41719609e-01 
 3.62800000e-12  1.56056422e-02  1.06139696e+00  9.21865860e-01  8.16077673e-01 
 3.72800000e-12 -6.97500813e-02  1.02118720e+00  9.74807245e-01  7.87907174e-01 
 3.82800000e-12 -1.49352488e-01  9.77502529e-01  1.02373172e+00  7.57676145e-01 
 3.92800000e-12 -2.22397755e-01  9.30832719e-01  1.06780785e+00  7.25847265e-01 
 4.02800000e-12 -2.88148274e-01  8.81648811e-01  1.10629536e+00  6.92869253e-01 
 4.12800000e-12 -3.45940099e-01  8.30403061e-01  1.13855375e+00  6.59169569e-01 
 4.22800000e-12 -3.95189649e-01  7.77530368e-01  1.16404833e+00  6.25148469e-01 
 4.32800000e-12 -4.35399604e-01  7.23450725e-01  1.18235388e+00  5.91174411e-01 
 4.42800000e-12 -4.66163927e-01  6.68572226e-01  1.19315612e+00  5.57580789e-01 
 4.52800000e-12 -4.87171958e-01  6.13294257e-01  1.19625122e+00  5.24663912e-01 
 4.62800000e-12 -4.98211561e-01  5.58010511e-01  1.19154376e+00  4.92682131e-01 
 4.72800000e-12 -4.99171257e-01  5.03111533e-01  1.17904312e+00  4.61855994e-01 
 4.82800000e-12 -4.90041356e-01  4.48986596e-01  1.15885875e+00  4.32369293e-01 
 4.92800000e-12 -4.70914051e-01  3.96024729e-01  1.13119451e+00  4.04370856e-01 
 5.02800000e-12 -4.41982489e-01  3.44614822e-01  1.09634214e+00  3.77976940e-01 
 5.12800000e-12 -4.03538819e-01  2.95144774e-01  1.05467428e+00  3.53274070e-01 
 5.22800000e-12 -3.55971246e-01  2.47999692e-01  1.00663690e+00  3.30322186e-01 
 5.32800000e-12 -2.99760103e-01  2.03559231e-01  9.52741625e-01  3.09157967e-01 
 5.42800000e-12 -2.35473011e-01  1.62194158e-01  8.93557686e-01  2.89798203e-01 
