 frequency       s11_db          s22_db          s12_db          s21_db          s11_deg         s22_deg         s12_deg         s21_deg        
 1.20000000e+11 -4.99620395e-01 -5.01429094e-01 -4.89048447e+01 -4.89048447e+01 -1.62911284e+02 -1.67515680e+02 -8.49762396e+01 -8.49762397e+01 
 1.20080000e+11 -5.00637952e-01 -5.02376607e-01 -4.88604726e+01 -4.88604726e+01 -1.62998388e+02 -1.67606341e+02 -8.51613172e+01 -8.51613173e+01 
 1.20160000e+11 -5.01660504e-01 -5.03328883e-01 -4.88158916e+01 -4.88158917e+01 -1.63085592e+02 -1.67697101e+02 -8.53465138e+01 -8.53465140e+01 
 1.20240000e+11 -5.02688095e-01 -5.04285963e-01 -4.87711011e+01 -4.87711011e+01 -1.63172895e+02 -1.67787960e+02 -8.55318298e+01 -8.55318299e+01 
 1.20320000e+11 -5.03720765e-01 -5.05247885e-01 -4.87261002e+01 -4.87261002e+01 -1.63260299e+02 -1.67878920e+02 -8.57172655e+01 -8.57172657e+01 
 1.20400000e+11 -5.04758555e-01 -5.06214692e-01 -4.86808882e+01 -4.86808882e+01 -1.63347804e+02 -1.67969982e+02 -8.59028215e+01 -8.59028216e+01 
 1.20480000e+11 -5.05801508e-01 -5.07186424e-01 -4.86354642e+01 -4.86354643e+01 -1.63435411e+02 -1.68061145e+02 -8.60884981e+01 -8.60884982e+01 
 1.20560000e+11 -5.06849666e-01 -5.08163122e-01 -4.85898276e+01 -4.85898277e+01 -1.63523120e+02 -1.68152411e+02 -8.62742959e+01 -8.62742960e+01 
 1.20640000e+11 -5.07903074e-01 -5.09144829e-01 -4.85439776e+01 -4.85439776e+01 -1.63610934e+02 -1.68243781e+02 -8.64602154e+01 -8.64602155e+01 
 1.20720000e+11 -5.08961774e-01 -5.10131587e-01 -4.84979132e+01 -4.84979133e+01 -1.63698851e+02 -1.68335255e+02 -8.66462571e+01 -8.66462572e+01 
 1.20800000e+11 -5.10025810e-01 -5.11123439e-01 -4.84516339e+01 -4.84516340e+01 -1.63786874e+02 -1.68426834e+02 -8.68324217e+01 -8.68324218e+01 
 1.20880000e+11 -5.11095228e-01 -5.12120430e-01 -4.84051388e+01 -4.84051388e+01 -1.63875003e+02 -1.68518519e+02 -8.70187098e+01 -8.70187099e+01 
 1.20960000e+11 -5.12170073e-01 -5.13122602e-01 -4.83584271e+01 -4.83584271e+01 -1.63963239e+02 -1.68610310e+02 -8.72051220e+01 -8.72051221e+01 
 1.21040000e+11 -5.13250390e-01 -5.14130000e-01 -4.83114980e+01 -4.83114980e+01 -1.64051582e+02 -1.68702209e+02 -8.73916590e+01 -8.73916592e+01 
 1.21120000e+11 -5.14336226e-01 -5.15142670e-01 -4.82643507e+01 -4.82643507e+01 -1.64140033e+02 -1.68794217e+02 -8.75783216e+01 -8.75783218e+01 
 1.21200000e+11 -5.15427627e-01 -5.16160657e-01 -4.82169844e+01 -4.82169845e+01 -1.64228594e+02 -1.68886333e+02 -8.77651105e+01 -8.77651106e+01 
 1.21280000e+11 -5.16524641e-01 -5.17184008e-01 -4.81693984e+01 -4.81693985e+01 -1.64317264e+02 -1.68978560e+02 -8.79520265e+01 -8.79520266e+01 
 1.21360000e+11 -5.17627316e-01 -5.18212768e-01 -4.81215919e+01 -4.81215919e+01 -1.64406045e+02 -1.69070897e+02 -8.81390704e+01 -8.81390705e+01 
 1.21440000e+11 -5.18735699e-01 -5.19246986e-01 -4.80735639e+01 -4.80735639e+01 -1.64494939e+02 -1.69163346e+02 -8.83262431e+01 -8.83262432e+01 
 1.21520000e+11 -5.19849842e-01 -5.20286708e-01 -4.80253138e+01 -4.80253138e+01 -1.64583944e+02 -1.69255907e+02 -8.85135455e+01 -8.85135456e+01 
 1.21600000e+11 -5.20969792e-01 -5.21331984e-01 -4.79768407e+01 -4.79768407e+01 -1.64673063e+02 -1.69348582e+02 -8.87009785e+01 -8.87009786e+01 
 1.21680000e+11 -5.22095600e-01 -5.22382863e-01 -4.79281438e+01 -4.79281438e+01 -1.64762297e+02 -1.69441370e+02 -8.88885430e+01 -8.88885431e+01 
 1.21760000e+11 -5.23227318e-01 -5.23439393e-01 -4.78792222e+01 -4.78792223e+01 -1.64851645e+02 -1.69534274e+02 -8.90762402e+01 -8.90762403e+01 
 1.21840000e+11 -5.24364996e-01 -5.24501625e-01 -4.78300753e+01 -4.78300753e+01 -1.64941109e+02 -1.69627294e+02 -8.92640710e+01 -8.92640711e+01 
 1.21920000e+11 -5.25508686e-01 -5.25569611e-01 -4.77807020e+01 -4.77807021e+01 -1.65030690e+02 -1.69720430e+02 -8.94520365e+01 -8.94520366e+01 
 1.22000000e+11 -5.26658442e-01 -5.26643400e-01 -4.77311017e+01 -4.77311018e+01 -1.65120389e+02 -1.69813684e+02 -8.96401379e+01 -8.96401380e+01 
 1.22080000e+11 -5.27814317e-01 -5.27723045e-01 -4.76812735e+01 -4.76812736e+01 -1.65210207e+02 -1.69907056e+02 -8.98283763e+01 -8.98283764e+01 
 1.22160000e+11 -5.28976364e-01 -5.28808600e-01 -4.76312166e+01 -4.76312166e+01 -1.65300144e+02 -1.70000548e+02 -9.00167529e+01 -9.00167530e+01 
 1.22240000e+11 -5.30144638e-01 -5.29900116e-01 -4.75809300e+01 -4.75809301e+01 -1.65390202e+02 -1.70094160e+02 -9.02052689e+01 -9.02052690e+01 
 1.22320000e+11 -5.31319196e-01 -5.30997648e-01 -4.75304131e+01 -4.75304131e+01 -1.65480381e+02 -1.70187893e+02 -9.03939257e+01 -9.03939258e+01 
 1.22400000e+11 -5.32500091e-01 -5.32101252e-01 -4.74796648e+01 -4.74796649e+01 -1.65570682e+02 -1.70281749e+02 -9.05827246e+01 -9.05827247e+01 
 1.22480000e+11 -5.33687382e-01 -5.33210981e-01 -4.74286845e+01 -4.74286846e+01 -1.65661107e+02 -1.70375727e+02 -9.07716669e+01 -9.07716670e+01 
 1.22560000e+11 -5.34881126e-01 -5.34326892e-01 -4.73774712e+01 -4.73774713e+01 -1.65751656e+02 -1.70469830e+02 -9.09607541e+01 -9.09607542e+01 
 1.22640000e+11 -5.36081381e-01 -5.35449041e-01 -4.73260241e+01 -4.73260242e+01 -1.65842330e+02 -1.70564057e+02 -9.11499875e+01 -9.11499877e+01 
 1.22720000e+11 -5.37288206e-01 -5.36577487e-01 -4.72743424e+01 -4.72743424e+01 -1.65933130e+02 -1.70658410e+02 -9.13393688e+01 -9.13393689e+01 
 1.22800000e+11 -5.38501660e-01 -5.37712287e-01 -4.72224251e+01 -4.72224251e+01 -1.66024057e+02 -1.70752890e+02 -9.15288995e+01 -9.15288996e+01 
 1.22880000e+11 -5.39721804e-01 -5.38853500e-01 -4.71702714e+01 -4.71702714e+01 -1.66115112e+02 -1.70847498e+02 -9.17185810e+01 -9.17185812e+01 
 1.22960000e+11 -5.40948699e-01 -5.40001186e-01 -4.71178804e+01 -4.71178805e+01 -1.66206296e+02 -1.70942235e+02 -9.19084152e+01 -9.19084153e+01 
 1.23040000e+11 -5.42182406e-01 -5.41155404e-01 -4.70652513e+01 -4.70652514e+01 -1.66297610e+02 -1.71037101e+02 -9.20984036e+01 -9.20984037e+01 
 1.23120000e+11 -5.43422989e-01 -5.42316217e-01 -4.70123832e+01 -4.70123833e+01 -1.66389056e+02 -1.71132098e+02 -9.22885480e+01 -9.22885482e+01 
 1.23200000e+11 -5.44670511e-01 -5.43483686e-01 -4.69592752e+01 -4.69592753e+01 -1.66480633e+02 -1.71227227e+02 -9.24788502e+01 -9.24788503e+01 
 1.23280000e+11 -5.45925036e-01 -5.44657874e-01 -4.69059265e+01 -4.69059265e+01 -1.66572343e+02 -1.71322489e+02 -9.26693120e+01 -9.26693121e+01 
 1.23360000e+11 -5.47186630e-01 -5.45838844e-01 -4.68523360e+01 -4.68523360e+01 -1.66664187e+02 -1.71417884e+02 -9.28599352e+01 -9.28599353e+01 
 1.23440000e+11 -5.48455358e-01 -5.47026661e-01 -4.67985030e+01 -4.67985030e+01 -1.66756166e+02 -1.71513414e+02 -9.30507218e+01 -9.30507219e+01 
 1.23520000e+11 -5.49731288e-01 -5.48221390e-01 -4.67444265e+01 -4.67444266e+01 -1.66848282e+02 -1.71609080e+02 -9.32416738e+01 -9.32416739e+01 
 1.23600000e+11 -5.51014487e-01 -5.49423098e-01 -4.66901057e+01 -4.66901057e+01 -1.66940534e+02 -1.71704883e+02 -9.34327931e+01 -9.34327932e+01 
 1.23680000e+11 -5.52305023e-01 -5.50631850e-01 -4.66355395e+01 -4.66355396e+01 -1.67032925e+02 -1.71800824e+02 -9.36240819e+01 -9.36240820e+01 
 1.23760000e+11 -5.53602966e-01 -5.51847715e-01 -4.65807272e+01 -4.65807273e+01 -1.67125455e+02 -1.71896903e+02 -9.38155423e+01 -9.38155424e+01 
 1.23840000e+11 -5.54908387e-01 -5.53070762e-01 -4.65256678e+01 -4.65256679e+01 -1.67218126e+02 -1.71993123e+02 -9.40071764e+01 -9.40071766e+01 
 1.23920000e+11 -5.56221358e-01 -5.54301060e-01 -4.64703604e+01 -4.64703604e+01 -1.67310938e+02 -1.72089484e+02 -9.41989866e+01 -9.41989867e+01 
 1.24000000e+11 -5.57541949e-01 -5.55538681e-01 -4.64148040e+01 -4.64148040e+01 -1.67403892e+02 -1.72185986e+02 -9.43909750e+01 -9.43909751e+01 
 1.24080000e+11 -5.58870235e-01 -5.56783694e-01 -4.63589977e+01 -4.63589977e+01 -1.67496991e+02 -1.72282633e+02 -9.45831440e+01 -9.45831441e+01 
 1.24160000e+11 -5.60206290e-01 -5.58036174e-01 -4.63029406e+01 -4.63029406e+01 -1.67590234e+02 -1.72379423e+02 -9.47754961e+01 -9.47754962e+01 
