 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 0.00000000e+00  7.36891230e-01  7.36891230e-01  7.36891230e-01  7.36891230e-01  7.30404157e-01  7.30404157e-01  7.30404157e-01  7.30404157e-01 
 1.50000000e-12  7.36891918e-01  7.36892185e-01  7.36891300e-01  7.36891230e-01  7.30404458e-01  7.30404575e-01  7.30404187e-01  7.30404157e-01 
 1.52730813e-12  7.36891930e-01  7.36892204e-01  7.36891301e-01  7.36891231e-01  7.30404406e-01  7.30404699e-01  7.30404151e-01  7.30404252e-01 
 1.58192438e-12  7.36891952e-01  7.36892250e-01  7.36891300e-01  7.36891239e-01  7.30404265e-01  7.30405027e-01  7.30404054e-01  7.30404512e-01 
 1.69115688e-12  7.36891975e-01  7.36892390e-01  7.36891286e-01  7.36891293e-01  7.30404016e-01  7.30405613e-01  7.30403873e-01  7.30404987e-01 
 1.90962188e-12  7.36891969e-01  7.36892813e-01  7.36891207e-01  7.36891516e-01  7.30403809e-01  7.30406105e-01  7.30403661e-01  7.30405435e-01 
 2.34655188e-12  7.36892000e-01  7.36893723e-01  7.36891004e-01  7.36892058e-01  7.30404132e-01  7.30405742e-01  7.30403673e-01  7.30405353e-01 
 3.22041188e-12  7.36892854e-01  7.36895519e-01  7.36891102e-01  7.36893025e-01  7.30405203e-01  7.30405570e-01  7.30404592e-01  7.30405164e-01 
 3.85874825e-12  7.36894110e-01  7.36897407e-01  7.36891844e-01  7.36893892e-01  7.30405719e-01  7.30406485e-01  7.30405619e-01  7.30405600e-01 
 4.39237321e-12  7.36895480e-01  7.36899550e-01  7.36892924e-01  7.36894992e-01  7.30405929e-01  7.30407057e-01  7.30406398e-01  7.30406362e-01 
 4.94265349e-12  7.36897156e-01  7.36901788e-01  7.36894352e-01  7.36896689e-01  7.30406025e-01  7.30405875e-01  7.30406879e-01  7.30407327e-01 
 5.55291064e-12  7.36899280e-01  7.36902644e-01  7.36896126e-01  7.36899126e-01  7.30405832e-01  7.30400651e-01  7.30407059e-01  7.30407804e-01 
 6.27254631e-12  7.36901483e-01  7.36898726e-01  7.36898360e-01  7.36901689e-01  7.30403764e-01  7.30389290e-01  7.30406995e-01  7.30405983e-01 
 7.04243664e-12  7.36901311e-01  7.36887435e-01  7.36900734e-01  7.36901833e-01  7.30396919e-01  7.30375024e-01  7.30406211e-01  7.30399758e-01 
 7.57864001e-12  7.36898210e-01  7.36876015e-01  7.36902087e-01  7.36899189e-01  7.30388614e-01  7.30366602e-01  7.30404637e-01  7.30392737e-01 
 8.15256877e-12  7.36890871e-01  7.36862565e-01  7.36902617e-01  7.36892962e-01  7.30377081e-01  7.30361182e-01  7.30401187e-01  7.30383429e-01 
 8.72884362e-12  7.36878979e-01  7.36850329e-01  7.36901191e-01  7.36883201e-01  7.30364664e-01  7.30360215e-01  7.30395083e-01  7.30374044e-01 
 9.44596407e-12  7.36859738e-01  7.36840071e-01  7.36894930e-01  7.36868212e-01  7.30352419e-01  7.30363230e-01  7.30383693e-01  7.30365790e-01 
 1.03479858e-11  7.36835806e-01  7.36835422e-01  7.36879058e-01  7.36850954e-01  7.30347057e-01  7.30366493e-01  7.30367149e-01  7.30363444e-01 
 1.08851496e-11  7.36824713e-01  7.36835604e-01  7.36866076e-01  7.36843673e-01  7.30349252e-01  7.30365570e-01  7.30358399e-01  7.30365680e-01 
 1.13972426e-11  7.36818213e-01  7.36836057e-01  7.36852556e-01  7.36840014e-01  7.30353655e-01  7.30361643e-01  7.30352588e-01  7.30369188e-01 
 1.19400266e-11  7.36816185e-01  7.36834914e-01  7.36838972e-01  7.36839648e-01  7.30358433e-01  7.30354133e-01  7.30350260e-01  7.30372287e-01 
 1.25929874e-11  7.36818640e-01  7.36829485e-01  7.36826593e-01  7.36841941e-01  7.30360838e-01  7.30342341e-01  7.30352319e-01  7.30372145e-01 
 1.33780092e-11  7.36823072e-01  7.36817481e-01  7.36819873e-01  7.36843588e-01  7.30355705e-01  7.30329398e-01  7.30357876e-01  7.30364546e-01 
 1.38531115e-11  7.36824223e-01  7.36808454e-01  7.36820042e-01  7.36842199e-01  7.30348183e-01  7.30324219e-01  7.30360820e-01  7.30356475e-01 
 1.43292654e-11  7.36822596e-01  7.36799566e-01  7.36822502e-01  7.36837893e-01  7.30338345e-01  7.30321992e-01  7.30361741e-01  7.30346826e-01 
 1.48378431e-11  7.36817220e-01  7.36791956e-01  7.36825903e-01  7.36829990e-01  7.30327326e-01  7.30323013e-01  7.30359175e-01  7.30336869e-01 
 1.53891024e-11  7.36808036e-01  7.36787501e-01  7.36828071e-01  7.36818891e-01  7.30317596e-01  7.30327019e-01  7.30351834e-01  7.30329125e-01 
 1.60687915e-11  7.36795489e-01  7.36788235e-01  7.36825642e-01  7.36805403e-01  7.30312049e-01  7.30332910e-01  7.30338174e-01  7.30326338e-01 
 1.69209786e-11  7.36785035e-01  7.36796008e-01  7.36814182e-01  7.36795325e-01  7.30315005e-01  7.30336303e-01  7.30320911e-01  7.30331669e-01 
 1.74276334e-11  7.36783627e-01  7.36802271e-01  7.36804224e-01  7.36794492e-01  7.30320269e-01  7.30334782e-01  7.30313409e-01  7.30337438e-01 
 1.79001827e-11  7.36786213e-01  7.36807536e-01  7.36794525e-01  7.36797541e-01  7.30325445e-01  7.30330709e-01  7.30309838e-01  7.30342754e-01 
 1.83945050e-11  7.36792350e-01  7.36811048e-01  7.36785937e-01  7.36803888e-01  7.30329133e-01  7.30324007e-01  7.30310053e-01  7.30346327e-01 
 1.90033141e-11  7.36802161e-01  7.36811436e-01  7.36780032e-01  7.36813391e-01  7.30329050e-01  7.30313961e-01  7.30314389e-01  7.30345802e-01 
 1.97123053e-11  7.36811927e-01  7.36807030e-01  7.36780829e-01  7.36822098e-01  7.30321627e-01  7.30303531e-01  7.30320791e-01  7.30338002e-01 
 2.02246885e-11  7.36815610e-01  7.36801915e-01  7.36785798e-01  7.36824774e-01  7.30312116e-01  7.30298764e-01  7.30323778e-01  7.30328678e-01 
 2.06810109e-11  7.36815497e-01  7.36797335e-01  7.36792019e-01  7.36823779e-01  7.30302156e-01  7.30297227e-01  7.30323768e-01  7.30319177e-01 
 2.11825398e-11  7.36811710e-01  7.36793831e-01  7.36798796e-01  7.36819205e-01  7.30291763e-01  7.30298519e-01  7.30319945e-01  7.30309570e-01 
 2.16658729e-11  7.36805485e-01  7.36793098e-01  7.36803423e-01  7.36812513e-01  7.30284249e-01  7.30301986e-01  7.30312588e-01  7.30303048e-01 
 2.23156000e-11  7.36796529e-01  7.36796956e-01  7.36804465e-01  7.36803435e-01  7.30280237e-01  7.30307544e-01  7.30299299e-01  7.30300412e-01 
 2.30131956e-11  7.36790721e-01  7.36805859e-01  7.36799064e-01  7.36797872e-01  7.30283234e-01  7.30311134e-01  7.30285530e-01  7.30304351e-01 
 2.34957062e-11  7.36790720e-01  7.36813453e-01  7.36792576e-01  7.36798037e-01  7.30288324e-01  7.30310827e-01  7.30278742e-01  7.30309618e-01 
 2.39475948e-11  7.36794312e-01  7.36820243e-01  7.36786020e-01  7.36801644e-01  7.30293606e-01  7.30308027e-01  7.30275768e-01  7.30314918e-01 
 2.44262269e-11  7.36801490e-01  7.36825746e-01  7.36780458e-01  7.36808623e-01  7.30297919e-01  7.30302501e-01  7.30276545e-01  7.30319190e-01 
 2.49546608e-11  7.36811770e-01  7.36828685e-01  7.36777936e-01  7.36818423e-01  7.30299360e-01  7.30294306e-01  7.30281084e-01  7.30320587e-01 
 2.55926264e-11  7.36823835e-01  7.36827621e-01  7.36781327e-01  7.36829702e-01  7.30295004e-01  7.30284182e-01  7.30288383e-01  7.30316502e-01 
 2.63466442e-11  7.36832552e-01  7.36822251e-01  7.36792684e-01  7.36837744e-01  7.30282444e-01  7.30276146e-01  7.30294014e-01  7.30305208e-01 
 2.68209341e-11  7.36833639e-01  7.36818207e-01  7.36802110e-01  7.36838810e-01  7.30271981e-01  7.30274445e-01  7.30293972e-01  7.30296138e-01 
 2.72838550e-11  7.36831166e-01  7.36815252e-01  7.36811020e-01  7.36836741e-01  7.30261855e-01  7.30275426e-01  7.30290324e-01  7.30287491e-01 
 2.77760660e-11  7.36825581e-01  7.36814461e-01  7.36818149e-01  7.36832036e-01  7.30253278e-01  7.30278775e-01  7.30282578e-01  7.30280424e-01 
