 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 0.00000000e+00  7.36891230e-01  7.36891230e-01  7.36891230e-01  7.36891230e-01  7.30404157e-01  7.30404157e-01  7.30404157e-01  7.30404157e-01 
 1.50000000e-12  7.36891723e-01  7.36892989e-01  7.36891340e-01  7.36891591e-01  7.30404371e-01  7.30404923e-01  7.30404205e-01  7.30404314e-01 
 1.52708962e-12  7.36891732e-01  7.36893021e-01  7.36891342e-01  7.36891597e-01  7.30404392e-01  7.30404888e-01  7.30404197e-01  7.30404338e-01 
 1.58126887e-12  7.36891752e-01  7.36893083e-01  7.36891345e-01  7.36891613e-01  7.30404447e-01  7.30404790e-01  7.30404176e-01  7.30404403e-01 
 1.68962737e-12  7.36891800e-01  7.36893199e-01  7.36891349e-01  7.36891652e-01  7.30404532e-01  7.30404685e-01  7.30404146e-01  7.30404498e-01 
 1.90634436e-12  7.36891910e-01  7.36893451e-01  7.36891357e-01  7.36891745e-01  7.30404534e-01  7.30404937e-01  7.30404173e-01  7.30404483e-01 
 2.33977834e-12  7.36892133e-01  7.36894236e-01  7.36891404e-01  7.36891913e-01  7.30404458e-01  7.30405740e-01  7.30404273e-01  7.30404351e-01 
 2.98520712e-12  7.36892655e-01  7.36895844e-01  7.36891509e-01  7.36892294e-01  7.30404855e-01  7.30405950e-01  7.30404276e-01  7.30404665e-01 
 3.65615997e-12  7.36893714e-01  7.36897732e-01  7.36891662e-01  7.36893104e-01  7.30405629e-01  7.30405545e-01  7.30404309e-01  7.30405310e-01 
 4.12702862e-12  7.36894847e-01  7.36899149e-01  7.36891847e-01  7.36893977e-01  7.30406202e-01  7.30405148e-01  7.30404473e-01  7.30405747e-01 
 4.54697783e-12  7.36896159e-01  7.36900415e-01  7.36892129e-01  7.36894976e-01  7.30406708e-01  7.30404413e-01  7.30404757e-01  7.30406096e-01 
 4.99078729e-12  7.36897879e-01  7.36901466e-01  7.36892623e-01  7.36896265e-01  7.30407236e-01  7.30402497e-01  7.30405213e-01  7.30406437e-01 
 5.43910274e-12  7.36899953e-01  7.36901607e-01  7.36893411e-01  7.36897804e-01  7.30407597e-01  7.30398549e-01  7.30405848e-01  7.30406667e-01 
 5.90352323e-12  7.36902286e-01  7.36899881e-01  7.36894632e-01  7.36899544e-01  7.30407281e-01  7.30391885e-01  7.30406699e-01  7.30406453e-01 
 6.39524237e-12  7.36904415e-01  7.36895079e-01  7.36896468e-01  7.36901183e-01  7.30405244e-01  7.30382472e-01  7.30407744e-01  7.30405050e-01 
 6.86244290e-12  7.36905255e-01  7.36887365e-01  7.36898746e-01  7.36901941e-01  7.30400789e-01  7.30372615e-01  7.30408637e-01  7.30401903e-01 
 7.37782510e-12  7.36903530e-01  7.36875850e-01  7.36901651e-01  7.36900894e-01  7.30392463e-01  7.30362841e-01  7.30408892e-01  7.30395887e-01 
 7.86227712e-12  7.36898323e-01  7.36863425e-01  7.36904247e-01  7.36897290e-01  7.30381794e-01  7.30356290e-01  7.30407612e-01  7.30388035e-01 
 8.38628114e-12  7.36888243e-01  7.36850203e-01  7.36905892e-01  7.36890063e-01  7.30368867e-01  7.30352848e-01  7.30403567e-01  7.30378360e-01 
