 time            v1              v2              v3             
 0.00000000e+00  5.00000000e-01  3.77240552e-01  3.77230538e-01 
 1.00000000e-15  5.01005309e-01  3.77642756e-01  3.77634451e-01 
 2.00000000e-15  5.02010618e-01  3.78041833e-01  3.78035223e-01 
 4.00000000e-15  5.04021228e-01  3.78832510e-01  3.78829258e-01 
 8.00000000e-15  5.08042390e-01  3.80378276e-01  3.80381584e-01 
 1.60000000e-14  5.16084261e-01  3.83325308e-01  3.83341109e-01 
 3.20000000e-14  5.32164360e-01  3.88658677e-01  3.88697034e-01 
 6.40000000e-14  5.64295436e-01  3.97242839e-01  3.97317408e-01 
 1.28000000e-13  6.28324806e-01  4.07289482e-01  4.07406742e-01 
 2.28000000e-13  7.27208840e-01  4.08643540e-01  4.08769856e-01 
 3.28000000e-13  8.23798527e-01  3.98161409e-01  3.98251400e-01 
 4.28000000e-13  9.17118507e-01  3.81324488e-01  3.81355398e-01 
 5.28000000e-13  1.00622644e+00  3.62761479e-01  3.62728053e-01 
 6.28000000e-13  1.09022251e+00  3.46094686e-01  3.46003819e-01 
 7.28000000e-13  1.16825854e+00  3.33986655e-01  3.33852727e-01 
 8.28000000e-13  1.23954652e+00  3.28251864e-01  3.28092999e-01 
 9.28000000e-13  1.30336658e+00  3.29983940e-01  3.29819163e-01 
 1.02800000e-12  1.35907427e+00  3.39680074e-01  3.39527273e-01 
 1.12800000e-12  1.40610706e+00  3.57355821e-01  3.57230380e-01 
 1.22800000e-12  1.44399001e+00  3.82647885e-01  3.82561875e-01 
 1.32800000e-12  1.47234058e+00  4.14904323e-01  4.14866123e-01 
 1.42800000e-12  1.49087249e+00  4.53262391e-01  4.53276646e-01 
 1.52800000e-12  1.49939860e+00  4.96714723e-01  4.96782551e-01 
 1.62800000e-12  1.49783282e+00  5.44164712e-01  5.44284074e-01 
 1.72800000e-12  1.48619096e+00  5.94472131e-01  5.94638319e-01 
 1.82800000e-12  1.46459057e+00  6.46490065e-01  6.46696240e-01 
 1.92800000e-12  1.43324978e+00  6.99094232e-01  6.99331985e-01 
 2.02800000e-12  1.39248507e+00  7.51205767e-01  7.51465665e-01 
 2.12800000e-12  1.34270807e+00  8.01808454e-01  8.02080555e-01 
 2.22800000e-12  1.28442144e+00  8.49961342e-01  8.50235653e-01 
 2.32800000e-12  1.21821374e+00  8.94807580e-01  8.95074457e-01 
 2.42800000e-12  1.14475355e+00  9.35580213e-01  9.35830700e-01 
 2.52800000e-12  1.06478266e+00  9.71605593e-01  9.71831682e-01 
 2.62800000e-12  9.79108608e-01  1.00230494e+00  1.00249977e+00 
 2.72800000e-12  8.88596537e-01  1.02719449e+00  1.02735249e+00 
 2.82800000e-12  7.94160431e-01  1.04588467e+00  1.04600163e+00 
 2.92800000e-12  6.96753904e-01  1.05807848e+00  1.05815157e+00 
