 time            v1              v2              v3              v4             
 0.00000000e+00  5.00000000e-01  4.74317281e-01  4.66443930e-01  4.71382443e-01 
 1.00000000e-15  5.01005309e-01  4.74468373e-01  4.66445613e-01  4.71467680e-01 
 2.00000000e-15  5.02010618e-01  4.74618873e-01  4.66446320e-01  4.71552731e-01 
 4.00000000e-15  5.04021228e-01  4.74918444e-01  4.66445418e-01  4.71722374e-01 
 8.00000000e-15  5.08042390e-01  4.75510624e-01  4.66432748e-01  4.72059344e-01 
 1.60000000e-14  5.16084261e-01  4.76665382e-01  4.66364696e-01  4.72722760e-01 
 3.20000000e-14  5.32164360e-01  4.78849570e-01  4.66074093e-01  4.73999921e-01 
 6.40000000e-14  5.64295436e-01  4.82676904e-01  4.65003555e-01  4.76305582e-01 
 1.28000000e-13  6.28324806e-01  4.87998920e-01  4.61771424e-01  4.79652823e-01 
 2.28000000e-13  7.27208840e-01  4.90149731e-01  4.56520723e-01  4.81070720e-01 
 3.28000000e-13  8.23798527e-01  4.85759491e-01  4.53409215e-01  4.78096951e-01 
 4.28000000e-13  9.17118507e-01  4.76665437e-01  4.53742323e-01  4.71781612e-01 
 5.28000000e-13  1.00622644e+00  4.65227244e-01  4.57616562e-01  4.63758269e-01 
 6.28000000e-13  1.09022251e+00  4.53942159e-01  4.64222220e-01  4.55922234e-01 
 7.28000000e-13  1.16825854e+00  4.45133667e-01  4.72246000e-01  4.50138272e-01 
 8.28000000e-13  1.23954652e+00  4.40745804e-01  4.80233982e-01  4.48026769e-01 
 9.28000000e-13  1.30336658e+00  4.42237871e-01  4.86863782e-01  4.50835668e-01 
 1.02800000e-12  1.35907427e+00  4.50558317e-01  4.91117238e-01  4.59386381e-01 
 1.12800000e-12  1.40610706e+00  4.66172640e-01  4.92365074e-01  4.74074992e-01 
 1.22800000e-12  1.44399001e+00  4.89122484e-01  4.90383278e-01  4.94909692e-01 
 1.32800000e-12  1.47234058e+00  5.19098140e-01  4.85322402e-01  5.21568198e-01 
 1.42800000e-12  1.49087249e+00  5.55512225e-01  4.77648772e-01  5.53462906e-01 
 1.52800000e-12  1.49939860e+00  5.97567360e-01  4.68072666e-01  5.89805589e-01 
 1.62800000e-12  1.49783282e+00  6.44314583e-01  4.57474196e-01  6.29666915e-01 
 1.72800000e-12  1.48619096e+00  6.94701944e-01  4.46833627e-01  6.72028662e-01 
 1.82800000e-12  1.46459057e+00  7.47614314e-01  4.37169746e-01  7.15828258e-01 
 1.92800000e-12  1.43324978e+00  8.01906133e-01  4.29487576e-01  7.59996251e-01 
 2.02800000e-12  1.39248507e+00  8.56428927e-01  4.24735350e-01  8.03487719e-01 
 2.12800000e-12  1.34270807e+00  9.10055109e-01  4.23769879e-01  8.45308651e-01 
 2.22800000e-12  1.28442144e+00  9.61699158e-01  4.27329243e-01  8.84538138e-01 
 2.32800000e-12  1.21821374e+00  1.01033676e+00  4.36011778e-01  9.20346928e-01 
 2.42800000e-12  1.14475355e+00  1.05502211e+00  4.50260544e-01  9.52012633e-01 
 2.52800000e-12  1.06478266e+00  1.09490333e+00  4.70352718e-01  9.78931669e-01 
 2.62800000e-12  9.79108608e-01  1.12923566e+00  4.96393582e-01  1.00062789e+00 
 2.72800000e-12  8.88596537e-01  1.15739215e+00  5.28314906e-01  1.01675781e+00 
 2.82800000e-12  7.94160431e-01  1.17887157e+00  5.65877604e-01  1.02711242e+00 
 2.92800000e-12  6.96753904e-01  1.19330336e+00  6.08678527e-01  1.03161547e+00 
 3.02800000e-12  5.97360561e-01  1.20044940e+00  6.56161209e-01  1.03031857e+00 
