 frequency       s11_db          s22_db          s12_db          s21_db          s11_deg         s22_deg         s12_deg         s21_deg        
 1.20000000e+11 -4.48063788e-01 -4.54885981e-01 -4.85525094e+01 -4.85525093e+01 -1.58792291e+02 -1.63589658e+02 -8.39669644e+01 -8.39669648e+01 
 1.20080000e+11 -4.49131731e-01 -4.55948788e-01 -4.85114029e+01 -4.85114028e+01 -1.58877077e+02 -1.63678920e+02 -8.41065517e+01 -8.41065521e+01 
 1.20160000e+11 -4.50204726e-01 -4.57016545e-01 -4.84700629e+01 -4.84700628e+01 -1.58961963e+02 -1.63768280e+02 -8.42464660e+01 -8.42464664e+01 
 1.20240000e+11 -4.51282813e-01 -4.58089292e-01 -4.84284886e+01 -4.84284886e+01 -1.59046949e+02 -1.63857740e+02 -8.43867092e+01 -8.43867096e+01 
 1.20320000e+11 -4.52366036e-01 -4.59167071e-01 -4.83866792e+01 -4.83866792e+01 -1.59132038e+02 -1.63947300e+02 -8.45272828e+01 -8.45272832e+01 
 1.20400000e+11 -4.53454436e-01 -4.60249924e-01 -4.83446339e+01 -4.83446339e+01 -1.59217228e+02 -1.64036960e+02 -8.46681887e+01 -8.46681891e+01 
 1.20480000e+11 -4.54548058e-01 -4.61337893e-01 -4.83023518e+01 -4.83023518e+01 -1.59302522e+02 -1.64126723e+02 -8.48094285e+01 -8.48094289e+01 
 1.20560000e+11 -4.55646944e-01 -4.62431020e-01 -4.82598321e+01 -4.82598320e+01 -1.59387920e+02 -1.64216587e+02 -8.49510041e+01 -8.49510045e+01 
 1.20640000e+11 -4.56751139e-01 -4.63529349e-01 -4.82170739e+01 -4.82170738e+01 -1.59473423e+02 -1.64306555e+02 -8.50929171e+01 -8.50929175e+01 
 1.20720000e+11 -4.57860688e-01 -4.64632924e-01 -4.81740764e+01 -4.81740763e+01 -1.59559031e+02 -1.64396627e+02 -8.52351695e+01 -8.52351698e+01 
 1.20800000e+11 -4.58975636e-01 -4.65741788e-01 -4.81308387e+01 -4.81308387e+01 -1.59644746e+02 -1.64486803e+02 -8.53777629e+01 -8.53777633e+01 
 1.20880000e+11 -4.60096028e-01 -4.66855987e-01 -4.80873601e+01 -4.80873600e+01 -1.59730568e+02 -1.64577085e+02 -8.55206992e+01 -8.55206996e+01 
 1.20960000e+11 -4.61221912e-01 -4.67975566e-01 -4.80436396e+01 -4.80436395e+01 -1.59816498e+02 -1.64667474e+02 -8.56639803e+01 -8.56639807e+01 
 1.21040000e+11 -4.62353334e-01 -4.69100571e-01 -4.79996764e+01 -4.79996764e+01 -1.59902537e+02 -1.64757969e+02 -8.58076081e+01 -8.58076084e+01 
 1.21120000e+11 -4.63490342e-01 -4.70231048e-01 -4.79554697e+01 -4.79554697e+01 -1.59988686e+02 -1.64848573e+02 -8.59515843e+01 -8.59515847e+01 
 1.21200000e+11 -4.64632983e-01 -4.71367043e-01 -4.79110187e+01 -4.79110186e+01 -1.60074945e+02 -1.64939285e+02 -8.60959109e+01 -8.60959113e+01 
 1.21280000e+11 -4.65781307e-01 -4.72508606e-01 -4.78663224e+01 -4.78663223e+01 -1.60161316e+02 -1.65030108e+02 -8.62405899e+01 -8.62405903e+01 
 1.21360000e+11 -4.66935362e-01 -4.73655783e-01 -4.78213800e+01 -4.78213800e+01 -1.60247799e+02 -1.65121040e+02 -8.63856231e+01 -8.63856235e+01 
 1.21440000e+11 -4.68095198e-01 -4.74808623e-01 -4.77761907e+01 -4.77761907e+01 -1.60334395e+02 -1.65212084e+02 -8.65310126e+01 -8.65310130e+01 
 1.21520000e+11 -4.69260866e-01 -4.75967176e-01 -4.77307537e+01 -4.77307536e+01 -1.60421105e+02 -1.65303240e+02 -8.66767603e+01 -8.66767606e+01 
 1.21600000e+11 -4.70432416e-01 -4.77131491e-01 -4.76850680e+01 -4.76850680e+01 -1.60507930e+02 -1.65394509e+02 -8.68228682e+01 -8.68228685e+01 
 1.21680000e+11 -4.71609901e-01 -4.78301619e-01 -4.76391329e+01 -4.76391328e+01 -1.60594870e+02 -1.65485892e+02 -8.69693383e+01 -8.69693386e+01 
 1.21760000e+11 -4.72793372e-01 -4.79477611e-01 -4.75929474e+01 -4.75929474e+01 -1.60681927e+02 -1.65577390e+02 -8.71161727e+01 -8.71161731e+01 
 1.21840000e+11 -4.73982882e-01 -4.80659519e-01 -4.75465108e+01 -4.75465107e+01 -1.60769102e+02 -1.65669004e+02 -8.72633735e+01 -8.72633738e+01 
 1.21920000e+11 -4.75178486e-01 -4.81847394e-01 -4.74998221e+01 -4.74998221e+01 -1.60856395e+02 -1.65760734e+02 -8.74109427e+01 -8.74109430e+01 
 1.22000000e+11 -4.76380236e-01 -4.83041290e-01 -4.74528805e+01 -4.74528805e+01 -1.60943808e+02 -1.65852581e+02 -8.75588824e+01 -8.75588828e+01 
 1.22080000e+11 -4.77588189e-01 -4.84241261e-01 -4.74056852e+01 -4.74056852e+01 -1.61031341e+02 -1.65944547e+02 -8.77071949e+01 -8.77071953e+01 
 1.22160000e+11 -4.78802399e-01 -4.85447360e-01 -4.73582353e+01 -4.73582352e+01 -1.61118994e+02 -1.66036632e+02 -8.78558823e+01 -8.78558826e+01 
 1.22240000e+11 -4.80022923e-01 -4.86659643e-01 -4.73105299e+01 -4.73105298e+01 -1.61206771e+02 -1.66128838e+02 -8.80049466e+01 -8.80049470e+01 
