       frequency          s11_db          s12_db          s21_db          s22_db         s11_deg         s12_deg         s21_deg         s22_deg
  1.20000000e+11 -4.48063788e-01 -4.85525094e+01 -4.85525093e+01 -4.54885981e-01 -1.58792291e+02 -8.39669644e+01 -8.39669648e+01 -1.63589658e+02
  1.20079920e+11 -4.49130662e-01 -4.85114440e+01 -4.85114440e+01 -4.55947724e-01 -1.58876992e+02 -8.41064121e+01 -8.41064125e+01 -1.63678831e+02
  1.20159840e+11 -4.50202577e-01 -4.84701457e+01 -4.84701456e+01 -4.57014406e-01 -1.58961793e+02 -8.42461861e+01 -8.42461865e+01 -1.63768102e+02
  1.20239760e+11 -4.51279575e-01 -4.84286136e+01 -4.84286135e+01 -4.58086070e-01 -1.59046695e+02 -8.43862884e+01 -8.43862888e+01 -1.63857472e+02
  1.20319680e+11 -4.52361697e-01 -4.83868468e+01 -4.83868467e+01 -4.59162754e-01 -1.59131697e+02 -8.45267204e+01 -8.45267208e+01 -1.63946942e+02
  1.20399600e+11 -4.53448987e-01 -4.83448445e+01 -4.83448445e+01 -4.60244502e-01 -1.59216803e+02 -8.46674840e+01 -8.46674844e+01 -1.64036512e+02
  1.20479520e+11 -4.54541487e-01 -4.83026060e+01 -4.83026059e+01 -4.61331356e-01 -1.59302011e+02 -8.48085809e+01 -8.48085813e+01 -1.64126184e+02
  1.20559441e+11 -4.55639241e-01 -4.82601303e+01 -4.82601302e+01 -4.62423358e-01 -1.59387323e+02 -8.49500129e+01 -8.49500133e+01 -1.64215958e+02
  1.20639361e+11 -4.56742293e-01 -4.82174166e+01 -4.82174165e+01 -4.63520550e-01 -1.59472739e+02 -8.50917816e+01 -8.50917820e+01 -1.64305836e+02
  1.20719281e+11 -4.57850688e-01 -4.81744641e+01 -4.81744640e+01 -4.64622978e-01 -1.59558261e+02 -8.52338889e+01 -8.52338893e+01 -1.64395816e+02
  1.20799201e+11 -4.58964470e-01 -4.81312719e+01 -4.81312718e+01 -4.65730684e-01 -1.59643889e+02 -8.53763367e+01 -8.53763371e+01 -1.64485902e+02
