 time            v1              v2              v3              v4              v5              v6              v7             
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.00000000e-13  3.89059638e-01  3.93685223e-02  1.74356275e-03 -2.49004002e-03 -2.21515422e-03  1.33288355e-03  1.74702054e-03 
 4.38435128e-13  4.24136624e-01  4.29119589e-02  1.85675609e-03 -2.59212126e-03 -2.34579713e-03  1.45423929e-03  1.82949311e-03 
 5.15305384e-13  4.92364015e-01  4.97989875e-02  2.00569068e-03 -2.60535071e-03 -2.49180762e-03  1.68273213e-03  1.88854790e-03 
 6.69045896e-13  6.19726805e-01  6.26303162e-02  2.00470415e-03 -1.97227342e-03 -2.35485084e-03  2.02367830e-03  1.73230710e-03 
 9.76526921e-13  8.28025116e-01  8.34843062e-02  1.28865374e-03  4.25218848e-04 -1.06850410e-03  2.02049062e-03  1.81691072e-03 
 1.47157877e-12  9.94939044e-01  9.96626947e-02 -4.14709338e-05  3.24076289e-03  1.41466631e-03  4.36056121e-04  7.07072322e-03 
 2.02131681e-12  9.01075703e-01  8.89770943e-02 -3.29596701e-04  3.27215569e-03  2.57233862e-03 -1.78752055e-03  2.08522707e-02 
 2.61851641e-12  5.01754137e-01  4.73024281e-02  7.29921937e-04  2.73728190e-03  1.47520394e-03 -2.51061233e-03  3.88529179e-02 
 3.25483391e-12 -1.09850416e-01 -1.50401128e-02  2.48598533e-03  6.56730933e-03 -3.41438346e-04 -7.14281380e-04  5.00922453e-02 
 4.10739043e-12 -8.20222050e-01 -8.48642716e-02  6.13481787e-03  1.92040935e-02  1.66254822e-03  3.05824093e-03  3.99215929e-02 
 4.63633590e-12 -9.96756257e-01 -9.99751258e-02  1.03039041e-02  2.73466375e-02  6.43673906e-03  5.12283116e-03  2.03119407e-02 
 5.23547596e-12 -8.68816128e-01 -8.34384606e-02  1.72186691e-02  3.15546409e-02  1.50594138e-02  6.73073115e-03 -7.19775218e-03 
 5.80730246e-12 -4.63141470e-01 -3.97288035e-02  2.50920960e-02  2.69005497e-02  2.38075446e-02  8.50240664e-03 -2.91646794e-02 
 6.50901100e-12  2.17730849e-01  2.96746214e-02  3.22137155e-02  1.06387766e-02  2.93385276e-02  1.30957673e-02 -3.90971259e-02 
 7.19636377e-12  7.87148878e-01  8.39631660e-02  3.10458770e-02 -8.20213169e-03  2.53633288e-02  2.01094388e-02 -2.86713513e-02 
 7.70444235e-12  9.87694565e-01  9.98187146e-02  2.31041016e-02 -1.83030674e-02  1.62504659e-02  2.53649568e-02 -1.12780409e-02 
 8.19619427e-12  9.44662085e-01  9.05928145e-02  1.01600873e-02 -2.14853637e-02  3.72133796e-03  2.84593827e-02  8.51109033e-03 
 8.71427228e-12  6.58624517e-01  5.72443271e-02 -6.28491822e-03 -1.64196198e-02 -1.01054825e-02  2.73501521e-02  2.62759142e-02 
 9.36065117e-12  7.31742610e-02 -4.43751149e-03 -2.37748112e-02 -1.08475615e-03 -2.17678830e-02  1.80419016e-02  3.66088250e-02 
 1.01749203e-11 -6.74462678e-01 -7.63101422e-02 -3.01948533e-02  1.94869261e-02 -2.10578442e-02 -1.67575407e-03  2.89961101e-02 
 1.06476629e-11 -9.36502291e-01 -9.74911139e-02 -2.38797608e-02  2.69233973e-02 -1.28991680e-02 -1.36595049e-02  1.63263534e-02 
 1.11223170e-11 -9.93289402e-01 -9.67491057e-02 -1.10619870e-02  2.85944035e-02 -1.72456288e-04 -2.26027899e-02  6.37628597e-04 
 1.16455915e-11 -8.02883493e-01 -7.07372302e-02  6.78117049e-03  2.29015812e-02  1.54628669e-02 -2.57725613e-02 -1.51396764e-02 
 1.21250574e-11 -4.37770485e-01 -2.96236102e-02  2.21764673e-02  1.18600184e-02  2.73161197e-02 -2.13518080e-02 -2.43872828e-02 
 1.28375848e-11  2.55839800e-01  4.07795299e-02  3.43583876e-02 -8.28505269e-03  3.32562299e-02 -4.46053947e-03 -2.49082648e-02 
 1.36241363e-11  8.64674511e-01  9.37615784e-02  2.81497815e-02 -2.44841792e-02  2.21302494e-02  1.77611939e-02 -1.10700482e-02 
 1.41264620e-11  9.99700928e-01  9.88309052e-02  1.45321231e-02 -2.77395139e-02  7.60556752e-03  2.84375870e-02  1.91596907e-03 
 1.45941904e-11  9.03548850e-01  8.10253681e-02 -1.60654902e-03 -2.49801164e-02 -8.34761805e-03  3.25169579e-02  1.35921568e-02 
 1.50671288e-11  6.09557931e-01  4.49462638e-02 -1.72271629e-02 -1.68754952e-02 -2.31732575e-02  2.94332272e-02  2.16612271e-02 
 1.55491042e-11  1.73120069e-01 -2.13974777e-03 -2.84886517e-02 -4.63223911e-03 -3.31388719e-02  1.93351238e-02  2.36291639e-02 
 1.61807130e-11 -4.41255495e-01 -6.13377591e-02 -3.17689232e-02  1.27153235e-02 -3.41918229e-02  7.89765226e-06  1.63120033e-02 
 1.69128066e-11 -9.27764957e-01 -9.85604112e-02 -1.94672068e-02  2.64021059e-02 -1.96608479e-02 -2.07546974e-02 -2.97811662e-04 
 1.74044478e-11 -9.94093157e-01 -9.46863936e-02 -4.13912523e-03  2.87195335e-02 -3.60059643e-03 -2.89058272e-02 -1.23035180e-02 
 1.78355652e-11 -8.57995411e-01 -7.22371691e-02  1.07419400e-02  2.55934051e-02  1.17719676e-02 -2.99079113e-02 -2.06678208e-02 
 1.82662913e-11 -5.65506687e-01 -3.63019567e-02  2.37434793e-02  1.79643073e-02  2.52419332e-02 -2.45553313e-02 -2.48435891e-02 
 1.87130000e-11 -1.54156474e-01  8.02942982e-03  3.24252057e-02  6.53418719e-03  3.42182940e-02 -1.32439502e-02 -2.35444762e-02 
 1.92552968e-11  3.77407506e-01  5.88307620e-02  3.39016924e-02 -8.80373284e-03  3.55803532e-02  4.72749704e-03 -1.48800214e-02 
 1.99019192e-11  8.58833457e-01  9.58895229e-02  2.29796657e-02 -2.28957424e-02  2.42219773e-02  2.44539656e-02  9.45714424e-04 
 2.03556955e-11  9.96434215e-01  9.85359995e-02  9.00550868e-03 -2.72514312e-02  1.01912950e-02  3.31985484e-02  1.24379908e-02 
 2.07534394e-11  9.51450138e-01  8.39910310e-02 -5.11203851e-03 -2.64179162e-02 -3.98190379e-03  3.53225781e-02  2.06948085e-02 
 2.11547810e-11  7.55857299e-01  5.57294394e-02 -1.85217789e-02 -2.11339199e-02 -1.75573322e-02  3.14378377e-02  2.56575060e-02 
 2.15723020e-11  4.25801886e-01  1.67962461e-02 -2.90507016e-02 -1.16822079e-02 -2.82887430e-02  2.14807903e-02  2.61942302e-02 
 2.20826991e-11 -6.99949432e-02 -3.40596826e-02 -3.44174113e-02  2.76214455e-03 -3.38078430e-02  3.92948244e-03  2.05326842e-02 
 2.26626429e-11 -6.04733711e-01 -8.04134847e-02 -2.92873582e-02  1.80538478e-02 -2.89836992e-02 -1.70994423e-02  8.27706052e-03 
 2.33089276e-11 -9.62232326e-01 -9.99852097e-02 -1.23224294e-02  2.76987616e-02 -1.30149790e-02 -3.32909890e-02 -7.32294848e-03 
 2.37572375e-11 -9.85216330e-01 -8.91248164e-02  3.44056802e-03  2.79855801e-02  1.55835646e-03 -3.67298348e-02 -1.66553553e-02 
 2.42171783e-11 -8.07050147e-01 -5.93030355e-02  1.91792028e-02  2.26878652e-02  1.61480444e-02 -3.21960288e-02 -2.28009581e-02 
