 frequency       s11_db          s12_db          s13_db          s14_db          s15_db          s16_db          s17_db          s21_db          s22_db          s23_db          s24_db          s25_db          s26_db          s27_db          s31_db          s32_db          s33_db          s34_db          s35_db          s36_db          s37_db          s41_db          s42_db          s43_db          s44_db          s45_db          s46_db          s47_db          s51_db          s52_db          s53_db          s54_db          s55_db          s56_db          s57_db          s61_db          s62_db          s63_db          s64_db          s65_db          s66_db          s67_db          s71_db          s72_db          s73_db          s74_db          s75_db          s76_db          s77_db          s11_deg         s12_deg         s13_deg         s14_deg         s15_deg         s16_deg         s17_deg         s21_deg         s22_deg         s23_deg         s24_deg         s25_deg         s26_deg         s27_deg         s31_deg         s32_deg         s33_deg         s34_deg         s35_deg         s36_deg         s37_deg         s41_deg         s42_deg         s43_deg         s44_deg         s45_deg         s46_deg         s47_deg         s51_deg         s52_deg         s53_deg         s54_deg         s55_deg         s56_deg         s57_deg         s61_deg         s62_deg         s63_deg         s64_deg         s65_deg         s66_deg         s67_deg         s71_deg         s72_deg         s73_deg         s74_deg         s75_deg         s76_deg         s77_deg         s41_31_db       s51_61_db       s32_42_db       s62_52_db       s41_31_deg      s51_61_deg      s32_42_deg      s62_52_deg     
 1.20000000e+11 -4.99603696e-01 -6.33239385e+01 -6.03279149e+01 -5.92335732e+01 -5.92072481e+01 -6.04462727e+01 -6.36650075e+01 -6.33239386e+01 -1.06521297e+01 -8.72648159e+00 -1.37290592e+01 -1.25442073e+01 -7.42587932e+00 -4.51132226e+00 -6.03279150e+01 -8.72648160e+00 -8.76672784e+00 -4.50347654e+00 -1.95777716e+01 -1.45691832e+01 -7.57228609e+00 -5.92335732e+01 -1.37290592e+01 -4.50347653e+00 -4.32654272e+00 -3.38392219e+01 -1.96023228e+01 -1.27134971e+01 -5.92072482e+01 -1.25442073e+01 -1.95777716e+01 -3.38392219e+01 -4.30533462e+00 -4.51435958e+00 -1.40818872e+01 -6.04462727e+01 -7.42587932e+00 -1.45691832e+01 -1.96023228e+01 -4.51435959e+00 -8.55996398e+00 -9.06854175e+00 -6.36650075e+01 -4.51132225e+00 -7.57228608e+00 -1.27134971e+01 -1.40818872e+01 -9.06854174e+00 -9.61054999e+00 -1.62911288e+02  1.59894781e+01  1.56619583e+02  9.49404021e+01  9.46335775e+01  1.56424377e+02  1.28436182e+01  1.59894780e+01  1.50992516e+02  1.67459620e+02 -1.50611813e+02  1.62716314e+02  1.15903556e+02 -7.67218712e+01  1.56619583e+02  1.67459620e+02  1.65755560e+02 -1.04173012e+02  2.97307537e+01  1.78097952e+00  1.11792822e+02  9.49404020e+01 -1.50611813e+02 -1.04173012e+02  1.35509397e+02  5.59869437e+01  2.99113424e+01  1.58648660e+02  9.46335774e+01  1.62716314e+02  2.97307537e+01  5.59869436e+01  1.35875291e+02 -1.04886388e+02 -1.52053793e+02  1.56424377e+02  1.15903556e+02  1.78097946e+00  2.99113424e+01 -1.04886387e+02  1.64083343e+02  1.66208545e+02  1.28436180e+01 -7.67218712e+01  1.11792822e+02  1.58648660e+02 -1.52053793e+02  1.66208545e+02  1.37169712e+02  1.09434180e+00  1.23902456e+00  5.00257757e+00  5.11832796e+00 -6.16791809e+01 -6.17907992e+01 -4.19285676e+01 -4.68127578e+01 
 1.20080000e+11 -5.00621111e-01 -6.32878198e+01 -6.02808096e+01 -5.91832235e+01 -5.91569895e+01 -6.03993058e+01 -6.36292548e+01 -6.32878198e+01 -1.06506448e+01 -8.72678156e+00 -1.37421590e+01 -1.25495290e+01 -7.41932054e+00 -4.51132571e+00 -6.02808096e+01 -8.72678157e+00 -8.76221609e+00 -4.50623824e+00 -1.95962397e+01 -1.45790328e+01 -7.56591512e+00 -5.91832235e+01 -1.37421590e+01 -4.50623824e+00 -4.32175707e+00 -3.38883459e+01 -1.96207007e+01 -1.27189533e+01 -5.91569895e+01 -1.25495290e+01 -1.95962397e+01 -3.38883459e+01 -4.30057530e+00 -4.51727758e+00 -1.40950043e+01 -6.03993059e+01 -7.41932054e+00 -1.45790328e+01 -1.96207007e+01 -4.51727759e+00 -8.55637028e+00 -9.06877018e+00 -6.36292549e+01 -4.51132571e+00 -7.56591511e+00 -1.27189533e+01 -1.40950043e+01 -9.06877018e+00 -9.60949883e+00 -1.62998394e+02  1.56677317e+01  1.56372790e+02  9.46571022e+01  9.43504371e+01  1.56180275e+02  1.25226142e+01  1.56677315e+01  1.50989068e+02  1.67315008e+02 -1.50665205e+02  1.62605432e+02  1.15711456e+02 -7.68433073e+01  1.56372790e+02  1.67315008e+02  1.65718538e+02 -1.04311224e+02  2.96098215e+01  1.54803105e+00  1.11599287e+02  9.46571020e+01 -1.50665205e+02 -1.04311224e+02  1.35386423e+02  5.60903247e+01  2.97908063e+01  1.58536540e+02  9.43504370e+01  1.62605432e+02  2.96098214e+01  5.60903246e+01  1.35751865e+02 -1.05025033e+02 -1.52101952e+02  1.56180275e+02  1.15711456e+02  1.54803099e+00  2.97908062e+01 -1.05025033e+02  1.64037816e+02  1.66068810e+02  1.25226141e+01 -7.68433073e+01  1.11599287e+02  1.58536540e+02 -1.52101952e+02  1.66068810e+02  1.37146569e+02  1.09758606e+00  1.24231636e+00  5.01537741e+00  5.13020844e+00 -6.17156875e+01 -6.18298378e+01 -4.20197872e+01 -4.68939763e+01 
 1.20160000e+11 -5.01643523e-01 -6.32514726e+01 -6.02334746e+01 -5.91326366e+01 -5.91064931e+01 -6.03521079e+01 -6.35932728e+01 -6.32514726e+01 -1.06491431e+01 -8.72708167e+00 -1.37552511e+01 -1.25548460e+01 -7.41276133e+00 -4.51135822e+00 -6.02334747e+01 -8.72708167e+00 -8.75772726e+00 -4.50901564e+00 -1.96147108e+01 -1.45888908e+01 -7.55954404e+00 -5.91326366e+01 -1.37552511e+01 -4.50901564e+00 -4.31698943e+00 -3.39371917e+01 -1.96390811e+01 -1.27244047e+01 -5.91064932e+01 -1.25548460e+01 -1.96147108e+01 -3.39371917e+01 -4.29583469e+00 -4.52021066e+00 -1.41081088e+01 -6.03521080e+01 -7.41276133e+00 -1.45888908e+01 -1.96390811e+01 -4.52021067e+00 -8.55280551e+00 -9.06899442e+00 -6.35932729e+01 -4.51135821e+00 -7.55954403e+00 -1.27244047e+01 -1.41081089e+01 -9.06899442e+00 -9.60843565e+00 -1.63085598e+02  1.53459497e+01  1.56125904e+02  9.43736160e+01  9.40671120e+01  1.55936085e+02  1.22015841e+01  1.53459495e+01  1.50985127e+02  1.67170521e+02 -1.50718089e+02  1.62494836e+02  1.15519343e+02 -7.69648401e+01  1.56125904e+02  1.67170521e+02  1.65681292e+02 -1.04449617e+02  2.94895140e+01  1.31510036e+00  1.11405744e+02  9.43736158e+01 -1.50718089e+02 -1.04449617e+02  1.35263132e+02  5.61970196e+01  2.96708893e+01  1.58424708e+02  9.40671119e+01  1.62494836e+02  2.94895140e+01  5.61970194e+01  1.35628125e+02 -1.05163860e+02 -1.52149589e+02  1.55936085e+02  1.15519343e+02  1.31510030e+00  2.96708892e+01 -1.05163860e+02  1.63992085e+02  1.65929207e+02  1.22015839e+01 -7.69648401e+01  1.11405744e+02  1.58424708e+02 -1.52149589e+02  1.65929207e+02  1.37123019e+02  1.10083807e+00  1.24561480e+00  5.02816938e+00  5.14208463e+00 -6.17522879e+01 -6.18689727e+01 -4.21113899e+01 -4.69754934e+01 
 1.20240000e+11 -5.02670971e-01 -6.32148961e+01 -6.01859092e+01 -5.90818115e+01 -5.90557583e+01 -6.03046781e+01 -6.35570607e+01 -6.32148962e+01 -1.06476253e+01 -8.72738177e+00 -1.37683350e+01 -1.25601580e+01 -7.40620163e+00 -4.51141981e+00 -6.01859093e+01 -8.72738178e+00 -8.75326151e+00 -4.51180882e+00 -1.96331846e+01 -1.45987572e+01 -7.55317277e+00 -5.90818116e+01 -1.37683350e+01 -4.51180881e+00 -4.31223978e+00 -3.39857478e+01 -1.96574635e+01 -1.27298510e+01 -5.90557583e+01 -1.25601580e+01 -1.96331846e+01 -3.39857478e+01 -4.29111277e+00 -4.52315889e+00 -1.41212003e+01 -6.03046781e+01 -7.40620163e+00 -1.45987571e+01 -1.96574635e+01 -4.52315890e+00 -8.54926980e+00 -9.06921429e+00 -6.35570607e+01 -4.51141981e+00 -7.55317276e+00 -1.27298510e+01 -1.41212003e+01 -9.06921429e+00 -9.60736090e+00 -1.63172903e+02  1.50241311e+01  1.55878925e+02  9.40899425e+01  9.37836012e+01  1.55691805e+02  1.18805268e+01  1.50241310e+01  1.50980689e+02  1.67026160e+02 -1.50770462e+02  1.62384527e+02  1.15327217e+02 -7.70864694e+01  1.55878925e+02  1.67026160e+02  1.65643823e+02 -1.04588190e+02  2.93698347e+01  1.08218648e+00  1.11212194e+02  9.40899424e+01 -1.50770462e+02 -1.04588190e+02  1.35139522e+02  5.63070314e+01  2.95515946e+01  1.58313166e+02  9.37836011e+01  1.62384527e+02  2.93698347e+01  5.63070313e+01  1.35504070e+02 -1.05302869e+02 -1.52196703e+02  1.55691805e+02  1.15327217e+02  1.08218642e+00  2.95515945e+01 -1.05302869e+02  1.63946149e+02  1.65789736e+02  1.18805266e+01 -7.70864695e+01  1.11212194e+02  1.58313166e+02 -1.52196703e+02  1.65789736e+02  1.37099062e+02  1.10409773e+00  1.24891977e+00  5.04095322e+00  5.15395639e+00 -6.17889823e+01 -6.19082043e+01 -4.22033775e+01 -4.70573100e+01 
 1.20320000e+11 -5.03703498e-01 -6.31780895e+01 -6.01381125e+01 -5.90307476e+01 -5.90047841e+01 -6.02570153e+01 -6.35206175e+01 -6.31780895e+01 -1.06460921e+01 -8.72768173e+00 -1.37814104e+01 -1.25654650e+01 -7.39964136e+00 -4.51151053e+00 -6.01381125e+01 -8.72768174e+00 -8.74881898e+00 -4.51461783e+00 -1.96516609e+01 -1.46086320e+01 -7.54680124e+00 -5.90307476e+01 -1.37814104e+01 -4.51461782e+00 -4.30750811e+00 -3.40340026e+01 -1.96758478e+01 -1.27352920e+01 -5.90047842e+01 -1.25654649e+01 -1.96516608e+01 -3.40340026e+01 -4.28640953e+00 -4.52612236e+00 -1.41342783e+01 -6.02570154e+01 -7.39964136e+00 -1.46086320e+01 -1.96758478e+01 -4.52612237e+00 -8.54576332e+00 -9.06942965e+00 -6.35206175e+01 -4.51151053e+00 -7.54680122e+00 -1.27352920e+01 -1.41342783e+01 -9.06942964e+00 -9.60627504e+00 -1.63260307e+02  1.47022749e+01  1.55631852e+02  9.38060810e+01  9.34999038e+01  1.55447437e+02  1.15594412e+01  1.47022748e+01  1.50975755e+02  1.66881924e+02 -1.50822324e+02  1.62274503e+02  1.15135077e+02 -7.72081952e+01  1.55631852e+02  1.66881924e+02  1.65606131e+02 -1.04726946e+02  2.92507872e+01  8.49288416e-01  1.11018635e+02  9.38060808e+01 -1.50822324e+02 -1.04726946e+02  1.35015592e+02  5.64203619e+01  2.94329258e+01  1.58201914e+02  9.34999037e+01  1.62274503e+02  2.92507871e+01  5.64203617e+01  1.35379699e+02 -1.05442061e+02 -1.52243292e+02  1.55447436e+02  1.15135077e+02  8.49288358e-01  2.94329258e+01 -1.05442061e+02  1.63900010e+02  1.65650396e+02  1.15594410e+01 -7.72081952e+01  1.11018635e+02  1.58201914e+02 -1.52243292e+02  1.65650396e+02  1.37074695e+02  1.10736494e+00  1.25223119e+00  5.05372867e+00  5.16582359e+00 -6.18257710e+01 -6.19475328e+01 -4.22957517e+01 -4.71394267e+01 
 1.20400000e+11 -5.04741144e-01 -6.31410518e+01 -6.00900834e+01 -5.89794438e+01 -5.89535698e+01 -6.02091187e+01 -6.34839424e+01 -6.31410518e+01 -1.06445439e+01 -8.72798139e+00 -1.37944769e+01 -1.25707665e+01 -7.39308043e+00 -4.51163041e+00 -6.00900835e+01 -8.72798140e+00 -8.74439985e+00 -4.51744277e+00 -1.96701391e+01 -1.46185153e+01 -7.54042935e+00 -5.89794439e+01 -1.37944769e+01 -4.51744276e+00 -4.30279442e+00 -3.40819442e+01 -1.96942335e+01 -1.27407275e+01 -5.89535698e+01 -1.25707665e+01 -1.96701391e+01 -3.40819442e+01 -4.28172498e+00 -4.52910113e+00 -1.41473424e+01 -6.02091188e+01 -7.39308043e+00 -1.46185153e+01 -1.96942335e+01 -4.52910114e+00 -8.54228620e+00 -9.06964032e+00 -6.34839424e+01 -4.51163041e+00 -7.54042934e+00 -1.27407275e+01 -1.41473424e+01 -9.06964032e+00 -9.60517850e+00 -1.63347814e+02  1.43803799e+01  1.55384685e+02  9.35220302e+01  9.32160187e+01  1.55202977e+02  1.12383262e+01  1.43803798e+01  1.50970322e+02  1.66737814e+02 -1.50873672e+02  1.62164767e+02  1.14942922e+02 -7.73300171e+01  1.55384685e+02  1.66737814e+02  1.65568217e+02 -1.04865886e+02  2.91323749e+01  6.16405159e-01  1.10825068e+02  9.35220301e+01 -1.50873672e+02 -1.04865886e+02  1.34891341e+02  5.65370107e+01  2.93148863e+01  1.58090951e+02  9.32160186e+01  1.62164767e+02  2.91323748e+01  5.65370105e+01  1.35255012e+02 -1.05581437e+02 -1.52289356e+02  1.55202977e+02  1.14942922e+02  6.16405101e-01  2.93148863e+01 -1.05581437e+02  1.63853667e+02  1.65511186e+02  1.12383260e+01 -7.73300171e+01  1.10825068e+02  1.58090951e+02 -1.52289356e+02  1.65511186e+02  1.37049918e+02  1.11063960e+00  1.25554894e+00  5.06649546e+00  5.17768609e+00 -6.18626544e+01 -6.19869586e+01 -4.23885141e+01 -4.72218446e+01 
 1.20480000e+11 -5.05783952e-01 -6.31037822e+01 -6.00418211e+01 -5.89278995e+01 -5.89021145e+01 -6.01609874e+01 -6.34470345e+01 -6.31037823e+01 -1.06429814e+01 -8.72828062e+00 -1.38075340e+01 -1.25760625e+01 -7.38651878e+00 -4.51177950e+00 -6.00418212e+01 -8.72828063e+00 -8.74000428e+00 -4.52028369e+00 -1.96886191e+01 -1.46284072e+01 -7.53405704e+00 -5.89278995e+01 -1.38075339e+01 -4.52028369e+00 -4.29809872e+00 -3.41295605e+01 -1.97126204e+01 -1.27461573e+01 -5.89021145e+01 -1.25760625e+01 -1.96886191e+01 -3.41295605e+01 -4.27705909e+00 -4.53209527e+00 -1.41603921e+01 -6.01609875e+01 -7.38651877e+00 -1.46284071e+01 -1.97126204e+01 -4.53209528e+00 -8.53883861e+00 -9.06984615e+00 -6.34470345e+01 -4.51177949e+00 -7.53405703e+00 -1.27461573e+01 -1.41603921e+01 -9.06984615e+00 -9.60407174e+00 -1.63435422e+02  1.40584449e+01  1.55137422e+02  9.32377893e+01  9.29319449e+01  1.54958427e+02  1.09171807e+01  1.40584448e+01  1.50964388e+02  1.66593828e+02 -1.50924506e+02  1.62055318e+02  1.14750754e+02 -7.74519351e+01  1.55137422e+02  1.66593828e+02  1.65530081e+02 -1.05005010e+02  2.90146013e+01  3.83535697e-01  1.10631492e+02  9.32377892e+01 -1.50924506e+02 -1.05005010e+02  1.34766769e+02  5.66569760e+01  2.91974796e+01  1.57980280e+02  9.29319448e+01  1.62055318e+02  2.90146013e+01  5.66569758e+01  1.35130007e+02 -1.05720998e+02 -1.52334893e+02  1.54958427e+02  1.14750754e+02  3.83535640e-01  2.91974795e+01 -1.05720998e+02  1.63807123e+02  1.65372107e+02  1.09171805e+01 -7.74519351e+01  1.10631492e+02  1.57980280e+02 -1.52334893e+02  1.65372107e+02  1.37024728e+02  1.11392162e+00  1.25887292e+00  5.07925332e+00  5.18954376e+00 -6.18996327e+01 -6.20264820e+01 -4.24816664e+01 -4.73045643e+01 
 1.20560000e+11 -5.06831966e-01 -6.30662799e+01 -5.99933247e+01 -5.88761138e+01 -5.88504174e+01 -6.01126204e+01 -6.34098929e+01 -6.30662799e+01 -1.06414053e+01 -8.72857927e+00 -1.38205813e+01 -1.25813528e+01 -7.37995632e+00 -4.51195782e+00 -5.99933247e+01 -8.72857927e+00 -8.73563241e+00 -4.52314069e+00 -1.97071005e+01 -1.46383076e+01 -7.52768423e+00 -5.88761138e+01 -1.38205813e+01 -4.52314069e+00 -4.29342098e+00 -3.41768393e+01 -1.97310081e+01 -1.27515812e+01 -5.88504174e+01 -1.25813528e+01 -1.97071005e+01 -3.41768393e+01 -4.27241187e+00 -4.53510487e+00 -1.41734270e+01 -6.01126205e+01 -7.37995632e+00 -1.46383075e+01 -1.97310081e+01 -4.53510487e+00 -8.53542069e+00 -9.07004699e+00 -6.34098930e+01 -4.51195782e+00 -7.52768421e+00 -1.27515812e+01 -1.41734270e+01 -9.07004698e+00 -9.60295521e+00 -1.63523133e+02  1.37364688e+01  1.54890063e+02  9.29533571e+01  9.26476812e+01  1.54713784e+02  1.05960035e+01  1.37364687e+01  1.50957952e+02  1.66449967e+02 -1.50974823e+02  1.61946158e+02  1.14558571e+02 -7.75739490e+01  1.54890063e+02  1.66449967e+02  1.65491725e+02 -1.05144320e+02  2.88974702e+01  1.50679007e-01  1.10437907e+02  9.29533570e+01 -1.50974823e+02 -1.05144320e+02  1.34641874e+02  5.67802541e+01  2.90807091e+01  1.57869900e+02  9.26476811e+01  1.61946158e+02  2.88974702e+01  5.67802540e+01  1.35004684e+02 -1.05860746e+02 -1.52379901e+02  1.54713784e+02  1.14558571e+02  1.50678949e-01  2.90807090e+01 -1.05860746e+02  1.63760376e+02  1.65233158e+02  1.05960033e+01 -7.75739490e+01  1.10437907e+02  1.57869900e+02 -1.52379901e+02  1.65233158e+02  1.36999125e+02  1.11721089e+00  1.26220305e+00  5.09200198e+00  5.20139645e+00 -6.19367063e+01 -6.20661032e+01 -4.25752103e+01 -4.73875868e+01 
 1.20640000e+11 -5.07885227e-01 -6.30285439e+01 -5.99445931e+01 -5.88240858e+01 -5.87984776e+01 -6.00640168e+01 -6.33725169e+01 -6.30285440e+01 -1.06398161e+01 -8.72887719e+00 -1.38336184e+01 -1.25866370e+01 -7.37339298e+00 -4.51216543e+00 -5.99445932e+01 -8.72887720e+00 -8.73128442e+00 -4.52601384e+00 -1.97255829e+01 -1.46482165e+01 -7.52131082e+00 -5.88240859e+01 -1.38336184e+01 -4.52601383e+00 -4.28876121e+00 -3.42237682e+01 -1.97493962e+01 -1.27569990e+01 -5.87984777e+01 -1.25866370e+01 -1.97255829e+01 -3.42237682e+01 -4.26778330e+00 -4.53812999e+00 -1.41864466e+01 -6.00640169e+01 -7.37339298e+00 -1.46482165e+01 -1.97493962e+01 -4.53812999e+00 -8.53203257e+00 -9.07024266e+00 -6.33725169e+01 -4.51216542e+00 -7.52131081e+00 -1.27569990e+01 -1.41864466e+01 -9.07024266e+00 -9.60182936e+00 -1.63610947e+02  1.34144503e+01  1.54642608e+02  9.26687325e+01  9.23632266e+01  1.54469049e+02  1.02747934e+01  1.34144502e+01  1.50951012e+02  1.66306230e+02 -1.51024623e+02  1.61837285e+02  1.14366372e+02 -7.76960587e+01  1.54642608e+02  1.66306230e+02  1.65453149e+02 -1.05283816e+02  2.87809851e+01 -8.21659471e-02  1.10244312e+02  9.26687324e+01 -1.51024623e+02 -1.05283816e+02  1.34516656e+02  5.69068395e+01  2.89645784e+01  1.57759811e+02  9.23632265e+01  1.61837285e+02  2.87809850e+01  5.69068394e+01  1.34879042e+02 -1.06000682e+02 -1.52424379e+02  1.54469049e+02  1.14366372e+02 -8.21660049e-02  2.89645783e+01 -1.06000682e+02  1.63713429e+02  1.65094339e+02  1.02747932e+01 -7.76960587e+01  1.10244312e+02  1.57759811e+02 -1.52424379e+02  1.65094339e+02  1.36973107e+02  1.12050732e+00  1.26553921e+00  5.10474117e+00  5.21324404e+00 -6.19738754e+01 -6.21058225e+01 -4.26691474e+01 -4.74709128e+01 
 1.20720000e+11 -5.08943780e-01 -6.29905735e+01 -5.98956256e+01 -5.87718148e+01 -5.87462944e+01 -6.00151757e+01 -6.33349054e+01 -6.29905735e+01 -1.06382144e+01 -8.72917424e+00 -1.38466448e+01 -1.25919151e+01 -7.36682868e+00 -4.51240234e+00 -5.98956256e+01 -8.72917425e+00 -8.72696045e+00 -4.52890321e+00 -1.97440659e+01 -1.46581342e+01 -7.51493675e+00 -5.87718148e+01 -1.38466448e+01 -4.52890320e+00 -4.28411941e+00 -3.42703347e+01 -1.97677844e+01 -1.27624104e+01 -5.87462944e+01 -1.25919150e+01 -1.97440659e+01 -3.42703347e+01 -4.26317338e+00 -4.54117070e+00 -1.41994505e+01 -6.00151758e+01 -7.36682868e+00 -1.46581342e+01 -1.97677844e+01 -4.54117071e+00 -8.52867442e+00 -9.07043303e+00 -6.33349054e+01 -4.51240234e+00 -7.51493673e+00 -1.27624104e+01 -1.41994505e+01 -9.07043302e+00 -9.60069464e+00 -1.63698866e+02  1.30923881e+01  1.54395055e+02  9.23839144e+01  9.20785799e+01  1.54224220e+02  9.95354904e+00  1.30923880e+01  1.50943566e+02  1.66162617e+02 -1.51073903e+02  1.61728702e+02  1.14174159e+02 -7.78182640e+01  1.54395055e+02  1.66162617e+02  1.65414353e+02 -1.05423500e+02  2.86651495e+01 -3.15000211e-01  1.10050708e+02  9.23839143e+01 -1.51073903e+02 -1.05423500e+02  1.34391114e+02  5.70367246e+01  2.88490910e+01  1.57650015e+02  9.20785797e+01  1.61728702e+02  2.86651495e+01  5.70367245e+01  1.34753079e+02 -1.06140806e+02 -1.52468327e+02  1.54224220e+02  1.14174159e+02 -3.15000269e-01  2.88490909e+01 -1.06140806e+02  1.63666281e+02  1.64955650e+02  9.95354887e+00 -7.78182640e+01  1.10050708e+02  1.57650015e+02 -1.52468327e+02  1.64955650e+02  1.36946673e+02  1.12381081e+00  1.26888131e+00  5.11747059e+00  5.22508637e+00 -6.20111403e+01 -6.21456402e+01 -4.27634795e+01 -4.75545433e+01 
