       frequency          s11_db          s12_db          s13_db          s14_db          s15_db          s16_db          s17_db          s21_db          s22_db          s23_db          s24_db          s25_db          s26_db          s27_db          s31_db          s32_db          s33_db          s34_db          s35_db          s36_db          s37_db          s41_db          s42_db          s43_db          s44_db          s45_db          s46_db          s47_db          s51_db          s52_db          s53_db          s54_db          s55_db          s56_db          s57_db          s61_db          s62_db          s63_db          s64_db          s65_db          s66_db          s67_db          s71_db          s72_db          s73_db          s74_db          s75_db          s76_db          s77_db         s11_deg         s12_deg         s13_deg         s14_deg         s15_deg         s16_deg         s17_deg         s21_deg         s22_deg         s23_deg         s24_deg         s25_deg         s26_deg         s27_deg         s31_deg         s32_deg         s33_deg         s34_deg         s35_deg         s36_deg         s37_deg         s41_deg         s42_deg         s43_deg         s44_deg         s45_deg         s46_deg         s47_deg         s51_deg         s52_deg         s53_deg         s54_deg         s55_deg         s56_deg         s57_deg         s61_deg         s62_deg         s63_deg         s64_deg         s65_deg         s66_deg         s67_deg         s71_deg         s72_deg         s73_deg         s74_deg         s75_deg         s76_deg         s77_deg
  1.20000000e+11 -4.99603696e-01 -6.33239385e+01 -6.03279149e+01 -5.92335732e+01 -5.92072481e+01 -6.04462727e+01 -6.36650075e+01 -6.33239386e+01 -1.06521297e+01 -8.72648159e+00 -1.37290592e+01 -1.25442073e+01 -7.42587932e+00 -4.51132226e+00 -6.03279150e+01 -8.72648160e+00 -8.76672784e+00 -4.50347654e+00 -1.95777716e+01 -1.45691832e+01 -7.57228609e+00 -5.92335732e+01 -1.37290592e+01 -4.50347653e+00 -4.32654272e+00 -3.38392219e+01 -1.96023228e+01 -1.27134971e+01 -5.92072482e+01 -1.25442073e+01 -1.95777716e+01 -3.38392219e+01 -4.30533462e+00 -4.51435958e+00 -1.40818872e+01 -6.04462727e+01 -7.42587932e+00 -1.45691832e+01 -1.96023228e+01 -4.51435959e+00 -8.55996398e+00 -9.06854175e+00 -6.36650075e+01 -4.51132225e+00 -7.57228608e+00 -1.27134971e+01 -1.40818872e+01 -9.06854174e+00 -9.61054999e+00 -1.62911288e+02  1.59894781e+01  1.56619583e+02  9.49404021e+01  9.46335775e+01  1.56424377e+02  1.28436182e+01  1.59894780e+01  1.50992516e+02  1.67459620e+02 -1.50611813e+02  1.62716314e+02  1.15903556e+02 -7.67218712e+01  1.56619583e+02  1.67459620e+02  1.65755560e+02 -1.04173012e+02  2.97307537e+01  1.78097952e+00  1.11792822e+02  9.49404020e+01 -1.50611813e+02 -1.04173012e+02  1.35509397e+02  5.59869437e+01  2.99113424e+01  1.58648660e+02  9.46335774e+01  1.62716314e+02  2.97307537e+01  5.59869436e+01  1.35875291e+02 -1.04886388e+02 -1.52053793e+02  1.56424377e+02  1.15903556e+02  1.78097946e+00  2.99113424e+01 -1.04886387e+02  1.64083343e+02  1.66208545e+02  1.28436180e+01 -7.67218712e+01  1.11792822e+02  1.58648660e+02 -1.52053793e+02  1.66208545e+02  1.37169712e+02
  1.20079920e+11 -5.00620092e-01 -6.32878560e+01 -6.02808567e+01 -5.91832739e+01 -5.91570398e+01 -6.03993529e+01 -6.36292906e+01 -6.32878560e+01 -1.06506462e+01 -8.72678126e+00 -1.37421459e+01 -1.25495237e+01 -7.41932709e+00 -4.51132570e+00 -6.02808568e+01 -8.72678127e+00 -8.76222059e+00 -4.50623548e+00 -1.95962212e+01 -1.45790229e+01 -7.56592148e+00 -5.91832740e+01 -1.37421459e+01 -4.50623547e+00 -4.32176185e+00 -3.38882970e+01 -1.96206824e+01 -1.27189479e+01 -5.91570398e+01 -1.25495237e+01 -1.95962212e+01 -3.38882970e+01 -4.30058005e+00 -4.51727466e+00 -1.40949912e+01 -6.03993529e+01 -7.41932709e+00 -1.45790229e+01 -1.96206824e+01 -4.51727466e+00 -8.55637386e+00 -9.06876996e+00 -6.36292907e+01 -4.51132569e+00 -7.56592147e+00 -1.27189479e+01 -1.40949912e+01 -9.06876995e+00 -9.60949989e+00 -1.62998307e+02  1.56680531e+01  1.56373036e+02  9.46573853e+01  9.43507201e+01  1.56180519e+02  1.25229349e+01  1.56680530e+01  1.50989072e+02  1.67315152e+02 -1.50665152e+02  1.62605543e+02  1.15711648e+02 -7.68431859e+01  1.56373036e+02  1.67315152e+02  1.65718575e+02 -1.04311086e+02  2.96099420e+01  1.54826375e+00  1.11599480e+02  9.46573851e+01 -1.50665152e+02 -1.04311086e+02  1.35386546e+02  5.60902197e+01  2.97909264e+01  1.58536652e+02  9.43507199e+01  1.62605543e+02  2.96099419e+01  5.60902196e+01  1.35751988e+02 -1.05024895e+02 -1.52101904e+02  1.56180519e+02  1.15711648e+02  1.54826370e+00  2.97909263e+01 -1.05024895e+02  1.64037862e+02  1.66068950e+02  1.25229348e+01 -7.68431859e+01  1.11599480e+02  1.58536652e+02 -1.52101904e+02  1.66068950e+02  1.37146592e+02
  1.20159840e+11 -5.01641475e-01 -6.32515455e+01 -6.02335694e+01 -5.91327379e+01 -5.91065943e+01 -6.03522025e+01 -6.35933450e+01 -6.32515455e+01 -1.06491461e+01 -8.72708107e+00 -1.37552249e+01 -1.25548354e+01 -7.41277444e+00 -4.51135812e+00 -6.02335695e+01 -8.72708108e+00 -8.75773621e+00 -4.50901008e+00 -1.96146739e+01 -1.45888711e+01 -7.55955677e+00 -5.91327379e+01 -1.37552249e+01 -4.50901007e+00 -4.31699894e+00 -3.39370944e+01 -1.96390444e+01 -1.27243938e+01 -5.91065943e+01 -1.25548353e+01 -1.96146739e+01 -3.39370944e+01 -4.29584414e+00 -4.52020478e+00 -1.41080827e+01 -6.03522025e+01 -7.41277444e+00 -1.45888710e+01 -1.96390444e+01 -4.52020479e+00 -8.55281260e+00 -9.06899398e+00 -6.35933450e+01 -4.51135812e+00 -7.55955676e+00 -1.27243938e+01 -1.41080827e+01 -9.06899397e+00 -9.60843779e+00 -1.63085424e+02  1.53465926e+01  1.56126397e+02  9.43741826e+01  9.40676783e+01  1.55936573e+02  1.22022255e+01  1.53465925e+01  1.50985135e+02  1.67170810e+02 -1.50717984e+02  1.62495057e+02  1.15519727e+02 -7.69645972e+01  1.56126397e+02  1.67170810e+02  1.65681366e+02 -1.04449340e+02  2.94897537e+01  1.31556574e+00  1.11406131e+02  9.43741824e+01 -1.50717984e+02 -1.04449340e+02  1.35263379e+02  5.61968031e+01  2.96711282e+01  1.58424931e+02  9.40676781e+01  1.62495057e+02  2.94897537e+01  5.61968029e+01  1.35628372e+02 -1.05163582e+02 -1.52149494e+02  1.55936573e+02  1.15519727e+02  1.31556568e+00  2.96711281e+01 -1.05163582e+02  1.63992176e+02  1.65929486e+02  1.22022254e+01 -7.69645972e+01  1.11406131e+02  1.58424931e+02 -1.52149494e+02  1.65929486e+02  1.37123067e+02
  1.20239760e+11 -5.02667884e-01 -6.32150061e+01 -6.01860521e+01 -5.90819642e+01 -5.90559107e+01 -6.03048206e+01 -6.35571695e+01 -6.32150061e+01 -1.06476299e+01 -8.72738087e+00 -1.37682958e+01 -1.25601421e+01 -7.40622129e+00 -4.51141958e+00 -6.01860522e+01 -8.72738088e+00 -8.75327485e+00 -4.51180042e+00 -1.96331293e+01 -1.45987276e+01 -7.55319187e+00 -5.90819642e+01 -1.37682958e+01 -4.51180041e+00 -4.31225398e+00 -3.39856028e+01 -1.96574084e+01 -1.27298347e+01 -5.90559107e+01 -1.25601421e+01 -1.96331292e+01 -3.39856027e+01 -4.29112689e+00 -4.52315004e+00 -1.41211611e+01 -6.03048206e+01 -7.40622129e+00 -1.45987276e+01 -1.96574084e+01 -4.52315004e+00 -8.54928035e+00 -9.06921364e+00 -6.35571696e+01 -4.51141958e+00 -7.55319185e+00 -1.27298347e+01 -1.41211611e+01 -9.06921364e+00 -9.60736414e+00 -1.63172641e+02  1.50250957e+01  1.55879665e+02  9.40907930e+01  9.37844512e+01  1.55692538e+02  1.18814890e+01  1.50250955e+01  1.50980703e+02  1.67026593e+02 -1.50770306e+02  1.62384857e+02  1.15327792e+02 -7.70861048e+01  1.55879665e+02  1.67026593e+02  1.65643935e+02 -1.04587775e+02  2.93701925e+01  1.08288450e+00  1.11212774e+02  9.40907928e+01 -1.50770306e+02 -1.04587775e+02  1.35139893e+02  5.63066968e+01  2.95519512e+01  1.58313500e+02  9.37844511e+01  1.62384857e+02  2.93701924e+01  5.63066966e+01  1.35504442e+02 -1.05302452e+02 -1.52196562e+02  1.55692538e+02  1.15327792e+02  1.08288444e+00  2.95519511e+01 -1.05302452e+02  1.63946287e+02  1.65790154e+02  1.18814888e+01 -7.70861048e+01  1.11212774e+02  1.58313500e+02 -1.52196563e+02  1.65790154e+02  1.37099134e+02
  1.20319680e+11 -5.03699361e-01 -6.31782370e+01 -6.01383039e+01 -5.90309521e+01 -5.90049883e+01 -6.02572062e+01 -6.35207636e+01 -6.31782370e+01 -1.06460982e+01 -8.72768053e+00 -1.37813582e+01 -1.25654438e+01 -7.39966757e+00 -4.51151011e+00 -6.01383040e+01 -8.72768054e+00 -8.74883669e+00 -4.51460657e+00 -1.96515870e+01 -1.46085925e+01 -7.54682670e+00 -5.90309521e+01 -1.37813582e+01 -4.51460657e+00 -4.30752698e+00 -3.40338104e+01 -1.96757743e+01 -1.27352703e+01 -5.90049883e+01 -1.25654438e+01 -1.96515870e+01 -3.40338104e+01 -4.28642829e+00 -4.52611049e+00 -1.41342261e+01 -6.02572063e+01 -7.39966757e+00 -1.46085925e+01 -1.96757743e+01 -4.52611050e+00 -8.54577727e+00 -9.06942879e+00 -6.35207636e+01 -4.51151011e+00 -7.54682668e+00 -1.27352703e+01 -1.41342261e+01 -9.06942879e+00 -9.60627940e+00 -1.63259958e+02  1.47035611e+01  1.55632839e+02  9.38072157e+01  9.35010378e+01  1.55448413e+02  1.15607243e+01  1.47035610e+01  1.50975776e+02  1.66882501e+02 -1.50822118e+02  1.62274942e+02  1.15135844e+02 -7.72077086e+01  1.55632839e+02  1.66882501e+02  1.65606282e+02 -1.04726391e+02  2.92512616e+01  8.50219047e-01  1.11019408e+02  9.38072155e+01 -1.50822118e+02 -1.04726392e+02  1.35016088e+02  5.64199024e+01  2.94333988e+01  1.58202358e+02  9.35010377e+01  1.62274942e+02  2.92512616e+01  5.64199023e+01  1.35380197e+02 -1.05441504e+02 -1.52243107e+02  1.55448413e+02  1.15135844e+02  8.50218990e-01  2.94333987e+01 -1.05441504e+02  1.63900195e+02  1.65650952e+02  1.15607241e+01 -7.72077086e+01  1.11019408e+02  1.58202358e+02 -1.52243107e+02  1.65650952e+02  1.37074793e+02
  1.20399600e+11 -5.04735948e-01 -6.31412374e+01 -6.00903239e+01 -5.89797007e+01 -5.89538262e+01 -6.02093586e+01 -6.34841261e+01 -6.31412374e+01 -1.06445517e+01 -8.72797990e+00 -1.37944116e+01 -1.25707401e+01 -7.39311320e+00 -4.51162974e+00 -6.00903239e+01 -8.72797990e+00 -8.74442187e+00 -4.51742862e+00 -1.96700468e+01 -1.46184659e+01 -7.54046118e+00 -5.89797007e+01 -1.37944116e+01 -4.51742861e+00 -4.30281792e+00 -3.40817055e+01 -1.96941417e+01 -1.27407004e+01 -5.89538263e+01 -1.25707401e+01 -1.96700468e+01 -3.40817055e+01 -4.28174833e+00 -4.52908621e+00 -1.41472772e+01 -6.02093586e+01 -7.39311320e+00 -1.46184659e+01 -1.96941417e+01 -4.52908622e+00 -8.54230350e+00 -9.06963928e+00 -6.34841262e+01 -4.51162974e+00 -7.54046117e+00 -1.27407004e+01 -1.41472772e+01 -9.06963927e+00 -9.60518400e+00 -1.63347376e+02  1.43819878e+01  1.55385919e+02  9.35234495e+01  9.32174372e+01  1.55204199e+02  1.12399302e+01  1.43819877e+01  1.50970350e+02  1.66738533e+02 -1.50873417e+02  1.62165314e+02  1.14943882e+02 -7.73294084e+01  1.55385919e+02  1.66738533e+02  1.65568407e+02 -1.04865191e+02  2.91329647e+01  6.17568377e-01  1.10826034e+02  9.35234494e+01 -1.50873417e+02 -1.04865191e+02  1.34891963e+02  5.65364198e+01  2.93154744e+01  1.58091505e+02  9.32174371e+01  1.62165314e+02  2.91329647e+01  5.65364196e+01  1.35255636e+02 -1.05580740e+02 -1.52289127e+02  1.55204198e+02  1.14943882e+02  6.17568319e-01  2.93154743e+01 -1.05580740e+02  1.63853899e+02  1.65511881e+02  1.12399301e+01 -7.73294084e+01  1.10826034e+02  1.58091505e+02 -1.52289127e+02  1.65511881e+02  1.37050042e+02
  1.20479520e+11 -5.05777686e-01 -6.31040063e+01 -6.00421111e+01 -5.89282092e+01 -5.89024236e+01 -6.01612766e+01 -6.34472564e+01 -6.31040063e+01 -1.06429908e+01 -8.72827883e+00 -1.38074557e+01 -1.25760308e+01 -7.38655811e+00 -4.51177852e+00 -6.00421111e+01 -8.72827883e+00 -8.74003055e+00 -4.52026662e+00 -1.96885083e+01 -1.46283478e+01 -7.53409524e+00 -5.89282092e+01 -1.38074557e+01 -4.52026661e+00 -4.29812681e+00 -3.41292760e+01 -1.97125102e+01 -1.27461248e+01 -5.89024237e+01 -1.25760308e+01 -1.96885083e+01 -3.41292760e+01 -4.27708700e+00 -4.53207728e+00 -1.41603140e+01 -6.01612767e+01 -7.38655811e+00 -1.46283478e+01 -1.97125102e+01 -4.53207729e+00 -8.53885919e+00 -9.06984493e+00 -6.34472564e+01 -4.51177851e+00 -7.53409523e+00 -1.27461248e+01 -1.41603140e+01 -9.06984493e+00 -9.60407840e+00 -1.63434896e+02  1.40603747e+01  1.55138904e+02  9.32394936e+01  9.29336482e+01  1.54959893e+02  1.09191057e+01  1.40603746e+01  1.50964425e+02  1.66594691e+02 -1.50924202e+02  1.62055973e+02  1.14751906e+02 -7.74512040e+01  1.55138904e+02  1.66594691e+02  1.65530311e+02 -1.05004176e+02  2.90153054e+01  3.84931479e-01  1.10632652e+02  9.32394935e+01 -1.50924202e+02 -1.05004176e+02  1.34767517e+02  5.66562470e+01  2.91981814e+01  1.57980943e+02  9.29336481e+01  1.62055973e+02  2.90153053e+01  5.66562469e+01  1.35130758e+02 -1.05720161e+02 -1.52334621e+02  1.54959893e+02  1.14751906e+02  3.84931422e-01  2.91981814e+01 -1.05720161e+02  1.63807402e+02  1.65372940e+02  1.09191056e+01 -7.74512040e+01  1.10632652e+02  1.57980942e+02 -1.52334621e+02  1.65372940e+02  1.37024880e+02
  1.20559441e+11 -5.06824619e-01 -6.30665429e+01 -5.99936646e+01 -5.88764768e+01 -5.88507798e+01 -6.01129595e+01 -6.34101535e+01 -6.30665430e+01 -1.06414164e+01 -8.72857718e+00 -1.38204901e+01 -1.25813158e+01 -7.38000221e+00 -4.51195648e+00 -5.99936647e+01 -8.72857719e+00 -8.73566290e+00 -4.52312066e+00 -1.97069712e+01 -1.46382383e+01 -7.52772879e+00 -5.88764768e+01 -1.38204901e+01 -4.52312065e+00 -4.29345363e+00 -3.41765099e+01 -1.97308795e+01 -1.27515433e+01 -5.88507798e+01 -1.25813158e+01 -1.97069712e+01 -3.41765098e+01 -4.27244430e+00 -4.53508377e+00 -1.41733359e+01 -6.01129595e+01 -7.38000221e+00 -1.46382383e+01 -1.97308795e+01 -4.53508377e+00 -8.53544448e+00 -9.07004560e+00 -6.34101535e+01 -4.51195647e+00 -7.52772878e+00 -1.27515433e+01 -1.41733359e+01 -9.07004560e+00 -9.60296305e+00 -1.63522519e+02  1.37387205e+01  1.54891794e+02  9.29553468e+01  9.26496697e+01  1.54715495e+02  1.05982496e+01  1.37387204e+01  1.50957998e+02  1.66450972e+02 -1.50974473e+02  1.61946920e+02  1.14559915e+02 -7.75730954e+01  1.54891793e+02  1.66450972e+02  1.65491994e+02 -1.05143345e+02  2.88982871e+01  1.52307334e-01  1.10439260e+02  9.29553467e+01 -1.50974473e+02 -1.05143345e+02  1.34642749e+02  5.67793805e+01  2.90815235e+01  1.57870671e+02  9.26496696e+01  1.61946920e+02  2.88982870e+01  5.67793804e+01  1.35005562e+02 -1.05859768e+02 -1.52379588e+02  1.54715495e+02  1.14559915e+02  1.52307276e-01  2.90815234e+01 -1.05859768e+02  1.63760704e+02  1.65234130e+02  1.05982494e+01 -7.75730954e+01  1.10439260e+02  1.57870671e+02 -1.52379588e+02  1.65234130e+02  1.36999305e+02
  1.20639361e+11 -5.07876789e-01 -6.30288464e+01 -5.99449835e+01 -5.88245026e+01 -5.87988937e+01 -6.00644062e+01 -6.33728165e+01 -6.30288465e+01 -1.06398288e+01 -8.72887481e+00 -1.38335142e+01 -1.25865948e+01 -7.37344543e+00 -4.51216365e+00 -5.99449836e+01 -8.72887482e+00 -8.73131907e+00 -4.52599081e+00 -1.97254352e+01 -1.46481373e+01 -7.52136176e+00 -5.88245026e+01 -1.38335142e+01 -4.52599080e+00 -4.28879838e+00 -3.42233946e+01 -1.97492492e+01 -1.27569557e+01 -5.87988937e+01 -1.25865948e+01 -1.97254351e+01 -3.42233945e+01 -4.26782022e+00 -4.53810575e+00 -1.41863426e+01 -6.00644063e+01 -7.37344543e+00 -1.46481373e+01 -1.97492492e+01 -4.53810575e+00 -8.53205953e+00 -9.07024112e+00 -6.33728165e+01 -4.51216365e+00 -7.52136174e+00 -1.27569557e+01 -1.41863427e+01 -9.07024112e+00 -9.60183839e+00 -1.63610245e+02  1.34170241e+01  1.54644586e+02  9.26710080e+01  9.23655007e+01  1.54471005e+02  1.02773606e+01  1.34170239e+01  1.50951069e+02  1.66307378e+02 -1.51024227e+02  1.61838154e+02  1.14367909e+02 -7.76950824e+01  1.54644586e+02  1.66307378e+02  1.65453458e+02 -1.05282700e+02  2.87819134e+01 -8.03050921e-02  1.10245859e+02  9.26710079e+01 -1.51024227e+02 -1.05282700e+02  1.34517658e+02  5.69058147e+01  2.89655039e+01  1.57760690e+02  9.23655006e+01  1.61838154e+02  2.87819134e+01  5.69058146e+01  1.34880047e+02 -1.05999563e+02 -1.52424026e+02  1.54471005e+02  1.14367909e+02 -8.03051499e-02  2.89655039e+01 -1.05999563e+02  1.63713805e+02  1.65095448e+02  1.02773604e+01 -7.76950824e+01  1.10245859e+02  1.57760690e+02 -1.52424026e+02  1.65095448e+02  1.36973316e+02
  1.20719281e+11 -5.08934239e-01 -6.29909159e+01 -5.98960669e+01 -5.87722858e+01 -5.87467647e+01 -6.00156159e+01 -6.33352446e+01 -6.29909159e+01 -1.06382289e+01 -8.72917158e+00 -1.38465278e+01 -1.25918676e+01 -7.36688770e+00 -4.51240008e+00 -5.98960670e+01 -8.72917158e+00 -8.72699922e+00 -4.52887716e+00 -1.97438998e+01 -1.46580450e+01 -7.51499406e+00 -5.87722859e+01 -1.38465278e+01 -4.52887715e+00 -4.28416106e+00 -3.42699177e+01 -1.97676191e+01 -1.27623618e+01 -5.87467647e+01 -1.25918676e+01 -1.97438997e+01 -3.42699176e+01 -4.26321474e+00 -4.54114329e+00 -1.41993337e+01 -6.00156160e+01 -7.36688770e+00 -1.46580450e+01 -1.97676191e+01 -4.54114330e+00 -8.52870448e+00 -9.07043134e+00 -6.33352446e+01 -4.51240008e+00 -7.51499405e+00 -1.27623618e+01 -1.41993337e+01 -9.07043133e+00 -9.60070488e+00 -1.63698075e+02  1.30952840e+01  1.54397281e+02  9.23864761e+01  9.20811400e+01  1.54226422e+02  9.95643750e+00  1.30952839e+01  1.50943635e+02  1.66163908e+02 -1.51073463e+02  1.61729677e+02  1.14175887e+02 -7.78171648e+01  1.54397281e+02  1.66163908e+02  1.65414703e+02 -1.05422243e+02  2.86661881e+01 -3.12906840e-01  1.10052449e+02  9.23864759e+01 -1.51073463e+02 -1.05422243e+02  1.34392244e+02  5.70355422e+01  2.88501264e+01  1.57651001e+02  9.20811399e+01  1.61729677e+02  2.86661881e+01  5.70355420e+01  1.34754213e+02 -1.06139545e+02 -1.52467934e+02  1.54226422e+02  1.14175887e+02 -3.12906898e-01  2.88501264e+01 -1.06139545e+02  1.63666706e+02  1.64956896e+02  9.95643733e+00 -7.78171648e+01  1.10052449e+02  1.57651001e+02 -1.52467934e+02  1.64956896e+02  1.36946912e+02
