 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 0.00000000e+00  7.36891230e-01  7.36891230e-01  7.36891230e-01  7.36891230e-01  7.30404157e-01  7.30404157e-01  7.30404157e-01  7.30404157e-01 
 1.50000000e-12  7.36892783e-01  7.36893052e-01  7.36891794e-01  7.36891517e-01  7.30404612e-01  7.30404691e-01  7.30404322e-01  7.30404241e-01 
 1.52958568e-12  7.36892543e-01  7.36893679e-01  7.36891850e-01  7.36891727e-01  7.30404584e-01  7.30404783e-01  7.30404332e-01  7.30404271e-01 
 1.58875703e-12  7.36891969e-01  7.36895198e-01  7.36891935e-01  7.36892343e-01  7.30404502e-01  7.30405031e-01  7.30404349e-01  7.30404367e-01 
 1.70709973e-12  7.36891257e-01  7.36897170e-01  7.36891807e-01  7.36893405e-01  7.30404340e-01  7.30405516e-01  7.30404341e-01  7.30404600e-01 
 1.94378514e-12  7.36891325e-01  7.36897188e-01  7.36890992e-01  7.36894074e-01  7.30404139e-01  7.30406083e-01  7.30404172e-01  7.30404997e-01 
 2.41715595e-12  7.36893152e-01  7.36894164e-01  7.36890193e-01  7.36893422e-01  7.30404174e-01  7.30406101e-01  7.30403696e-01  7.30405424e-01 
 3.06421952e-12  7.36894992e-01  7.36894581e-01  7.36891714e-01  7.36892738e-01  7.30404594e-01  7.30405775e-01  7.30403649e-01  7.30405487e-01 
 3.82783622e-12  7.36895889e-01  7.36899679e-01  7.36894274e-01  7.36894093e-01  7.30404955e-01  7.30406200e-01  7.30404565e-01  7.30405515e-01 
 4.32411372e-12  7.36896673e-01  7.36902003e-01  7.36895265e-01  7.36896093e-01  7.30405071e-01  7.30406385e-01  7.30405384e-01  7.30405773e-01 
 4.83149806e-12  7.36897952e-01  7.36901236e-01  7.36895461e-01  7.36898801e-01  7.30405083e-01  7.30405384e-01  7.30405986e-01  7.30406395e-01 
 5.40480416e-12  7.36899611e-01  7.36895246e-01  7.36895463e-01  7.36901181e-01  7.30404832e-01  7.30401108e-01  7.30406121e-01  7.30407097e-01 
 6.01705040e-12  7.36899802e-01  7.36884939e-01  7.36896415e-01  7.36900905e-01  7.30403466e-01  7.30392112e-01  7.30405797e-01  7.30406572e-01 
 6.78285892e-12  7.36894523e-01  7.36873048e-01  7.36898709e-01  7.36895252e-01  7.30397910e-01  7.30377286e-01  7.30404942e-01  7.30401820e-01 
 7.28778956e-12  7.36887100e-01  7.36868264e-01  7.36899638e-01  7.36888990e-01  7.30390985e-01  7.30367836e-01  7.30403828e-01  7.30395719e-01 
 7.77194601e-12  7.36877971e-01  7.36865913e-01  7.36898769e-01  7.36881939e-01  7.30381776e-01  7.30361027e-01  7.30401780e-01  7.30387809e-01 
 8.29807080e-12  7.36867587e-01  7.36864805e-01  7.36894876e-01  7.36874685e-01  7.30369847e-01  7.30357504e-01  7.30397637e-01  7.30378068e-01 
 8.82986884e-12  7.36858494e-01  7.36863372e-01  7.36887695e-01  7.36869251e-01  7.30357744e-01  7.30357971e-01  7.30390755e-01  7.30368938e-01 
 9.54171768e-12  7.36850471e-01  7.36857528e-01  7.36875035e-01  7.36865435e-01  7.30345938e-01  7.30361752e-01  7.30377660e-01  7.30361292e-01 
 1.04286964e-11  7.36844914e-01  7.36843143e-01  7.36860206e-01  7.36862420e-01  7.30342084e-01  7.30364001e-01  7.30360018e-01  7.30360483e-01 
 1.09700493e-11  7.36841875e-01  7.36831843e-01  7.36853577e-01  7.36859416e-01  7.30345087e-01  7.30361659e-01  7.30351246e-01  7.30363506e-01 
 1.14731469e-11  7.36837216e-01  7.36822007e-01  7.36849463e-01  7.36854998e-01  7.30349729e-01  7.30356283e-01  7.30346331e-01  7.30367072e-01 
 1.20001272e-11  7.36829742e-01  7.36813352e-01  7.36846417e-01  7.36848171e-01  7.30354033e-01  7.30347732e-01  7.30345298e-01  7.30369549e-01 
 1.25770256e-11  7.36819214e-01  7.36806345e-01  7.36842985e-01  7.36838438e-01  7.30355417e-01  7.30336615e-01  7.30348179e-01  7.30368650e-01 
 1.33525912e-11  7.36804448e-01  7.36801559e-01  7.36835712e-01  7.36824603e-01  7.30349282e-01  7.30323545e-01  7.30354200e-01  7.30360090e-01 
 1.39086076e-11  7.36795416e-01  7.36801100e-01  7.36827966e-01  7.36816301e-01  7.30339552e-01  7.30317902e-01  7.30357074e-01  7.30349736e-01 
 1.43837043e-11  7.36790229e-01  7.36801447e-01  7.36819886e-01  7.36811195e-01  7.30329054e-01  7.30316378e-01  7.30356765e-01  7.30339580e-01 
 1.48499337e-11  7.36788074e-01  7.36801680e-01  7.36811436e-01  7.36808418e-01  7.30318675e-01  7.30317751e-01  7.30353013e-01  7.30330232e-01 
 1.53430098e-11  7.36788716e-01  7.36801416e-01  7.36803031e-01  7.36807910e-01  7.30309795e-01  7.30321426e-01  7.30345234e-01  7.30322974e-01 
 1.58836305e-11  7.36791757e-01  7.36800019e-01  7.36795700e-01  7.36809335e-01  7.30304510e-01  7.30326329e-01  7.30333406e-01  7.30319680e-01 
 1.65947884e-11  7.36796417e-01  7.36796260e-01  7.36790572e-01  7.36811539e-01  7.30305177e-01  7.30330660e-01  7.30317011e-01  7.30322484e-01 
 1.72074551e-11  7.36798755e-01  7.36791973e-01  7.36790369e-01  7.36811597e-01  7.30310617e-01  7.30330307e-01  7.30306178e-01  7.30328877e-01 
 1.76869846e-11  7.36798444e-01  7.36789010e-01  7.36792245e-01  7.36809915e-01  7.30315958e-01  7.30326849e-01  7.30301717e-01  7.30334417e-01 
 1.81251022e-11  7.36796307e-01  7.36787258e-01  7.36794489e-01  7.36807130e-01  7.30319947e-01  7.30321396e-01  7.30301311e-01  7.30338330e-01 
 1.86018148e-11  7.36792575e-01  7.36786548e-01  7.36796253e-01  7.36803081e-01  7.30321736e-01  7.30313694e-01  7.30304296e-01  7.30339903e-01 
 1.90614805e-11  7.36788446e-01  7.36787267e-01  7.36796428e-01  7.36798836e-01  7.30320028e-01  7.30305659e-01  7.30309181e-01  7.30337977e-01 
 1.97076962e-11  7.36783726e-01  7.36790673e-01  7.36793529e-01  7.36794046e-01  7.30311837e-01  7.30296148e-01  7.30315676e-01  7.30329681e-01 
 2.03982538e-11  7.36781966e-01  7.36796673e-01  7.36787244e-01  7.36792478e-01  7.30298233e-01  7.30291056e-01  7.30317999e-01  7.30316509e-01 
 2.08417358e-11  7.36783202e-01  7.36800952e-01  7.36782271e-01  7.36793798e-01  7.30288656e-01  7.30291038e-01  7.30315711e-01  7.30307521e-01 
 2.12518614e-11  7.36786198e-01  7.36804369e-01  7.36777915e-01  7.36796458e-01  7.30280823e-01  7.30293080e-01  7.30310568e-01  7.30300316e-01 
 2.16838603e-11  7.36790838e-01  7.36807207e-01  7.36774488e-01  7.36800474e-01  7.30275032e-01  7.30296720e-01  7.30302369e-01  7.30295164e-01 
 2.21614075e-11  7.36796806e-01  7.36809253e-01  7.36772846e-01  7.36805668e-01  7.30272526e-01  7.30301336e-01  7.30291320e-01  7.30293240e-01 
 2.27476071e-11  7.36803729e-01  7.36810009e-01  7.36774414e-01  7.36811518e-01  7.30274810e-01  7.30305741e-01  7.30278049e-01  7.30295925e-01 
 2.33109575e-11  7.36808656e-01  7.36809263e-01  7.36779328e-01  7.36815162e-01  7.30280753e-01  7.30306911e-01  7.30268803e-01  7.30301834e-01 
 2.37455962e-11  7.36810746e-01  7.36808378e-01  7.36784751e-01  7.36816272e-01  7.30286280e-01  7.30305169e-01  7.30265443e-01  7.30307098e-01 
 2.42509306e-11  7.36811157e-01  7.36807959e-01  7.36791448e-01  7.36815904e-01  7.30291591e-01  7.30300231e-01  7.30266223e-01  7.30312031e-01 
 2.47215735e-11  7.36810074e-01  7.36808615e-01  7.36796810e-01  7.36814421e-01  7.30293923e-01  7.30293450e-01  7.30270688e-01  7.30314104e-01 
 2.53184315e-11  7.36808001e-01  7.36811382e-01  7.36800978e-01  7.36812184e-01  7.30291780e-01  7.30283825e-01  7.30278670e-01  7.30312009e-01 
 2.59529613e-11  7.36806552e-01  7.36816899e-01  7.36801812e-01  7.36811134e-01  7.30283271e-01  7.30275321e-01  7.30285884e-01  7.30304324e-01 
