 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 0.00000000e+00  7.36891230e-01  7.36891230e-01  7.36891230e-01  7.36891230e-01  7.30404157e-01  7.30404157e-01  7.30404157e-01  7.30404157e-01 
 1.50000000e-12  7.36891921e-01  7.36893005e-01  7.36891468e-01  7.36891829e-01  7.30404359e-01  7.30404677e-01  7.30404227e-01  7.30404332e-01 
 1.53030730e-12  7.36891940e-01  7.36893036e-01  7.36891469e-01  7.36891846e-01  7.30404364e-01  7.30404687e-01  7.30404227e-01  7.30404336e-01 
 1.59092189e-12  7.36891975e-01  7.36893105e-01  7.36891472e-01  7.36891878e-01  7.30404374e-01  7.30404708e-01  7.30404229e-01  7.30404345e-01 
 1.71215107e-12  7.36892026e-01  7.36893284e-01  7.36891501e-01  7.36891918e-01  7.30404391e-01  7.30404757e-01  7.30404236e-01  7.30404359e-01 
 1.95460943e-12  7.36892138e-01  7.36893658e-01  7.36891572e-01  7.36892011e-01  7.30404426e-01  7.30404869e-01  7.30404254e-01  7.30404389e-01 
 2.43952615e-12  7.36892552e-01  7.36894496e-01  7.36891675e-01  7.36892377e-01  7.30404542e-01  7.30405126e-01  7.30404289e-01  7.30404490e-01 
 3.18445329e-12  7.36893440e-01  7.36897023e-01  7.36891977e-01  7.36893150e-01  7.30404812e-01  7.30405889e-01  7.30404376e-01  7.30404726e-01 
 3.88169160e-12  7.36894907e-01  7.36899833e-01  7.36892480e-01  7.36894402e-01  7.30405262e-01  7.30406743e-01  7.30404524e-01  7.30405110e-01 
 4.42380324e-12  7.36896774e-01  7.36900793e-01  7.36893069e-01  7.36895959e-01  7.30405853e-01  7.30406795e-01  7.30404703e-01  7.30405595e-01 
 4.94432655e-12  7.36899047e-01  7.36899317e-01  7.36893947e-01  7.36897796e-01  7.30406607e-01  7.30405359e-01  7.30404975e-01  7.30406185e-01 
 5.57015791e-12  7.36901213e-01  7.36893758e-01  7.36895649e-01  7.36899414e-01  7.30407221e-01  7.30400397e-01  7.30405532e-01  7.30406570e-01 
 6.20148178e-12  7.36900844e-01  7.36885281e-01  7.36897948e-01  7.36898842e-01  7.30406249e-01  7.30391530e-01  7.30406319e-01  7.30405541e-01 
 6.98185312e-12  7.36894848e-01  7.36874851e-01  7.36900124e-01  7.36893679e-01  7.30400487e-01  7.30377699e-01  7.30406811e-01  7.30400487e-01 
 7.59399061e-12  7.36886237e-01  7.36868826e-01  7.36899841e-01  7.36886680e-01  7.30391696e-01  7.30367517e-01  7.30405790e-01  7.30393142e-01 
 8.10039032e-12  7.36877719e-01  7.36865751e-01  7.36897373e-01  7.36879983e-01  7.30381943e-01  7.30361447e-01  7.30403169e-01  7.30385220e-01 
 8.58571847e-12  7.36869854e-01  7.36863895e-01  7.36892722e-01  7.36873979e-01  7.30371629e-01  7.30358647e-01  7.30398524e-01  7.30377042e-01 
 9.09343819e-12  7.36863378e-01  7.36861822e-01  7.36885736e-01  7.36869165e-01  7.30361712e-01  7.30358851e-01  7.30391192e-01  7.30369370e-01 
 9.74325789e-12  7.36858602e-01  7.36856788e-01  7.36875390e-01  7.36865588e-01  7.30353539e-01  7.30361734e-01  7.30379099e-01  7.30363221e-01 
 1.05535178e-11  7.36855767e-01  7.36845631e-01  7.36864189e-01  7.36862881e-01  7.30352465e-01  7.30364205e-01  7.30364192e-01  7.30362410e-01 
 1.09969203e-11  7.36854299e-01  7.36837652e-01  7.36859857e-01  7.36861094e-01  7.30355664e-01  7.30363510e-01  7.30357847e-01  7.30364669e-01 
 1.14371657e-11  7.36851646e-01  7.36829226e-01  7.36857221e-01  7.36858161e-01  7.30360299e-01  7.30360480e-01  7.30354171e-01  7.30367800e-01 
 1.18742287e-11  7.36847101e-01  7.36821275e-01  7.36855965e-01  7.36853633e-01  7.30364800e-01  7.30354996e-01  7.30353728e-01  7.30370569e-01 
 1.23237475e-11  7.36840330e-01  7.36814378e-01  7.36855257e-01  7.36847337e-01  7.30367684e-01  7.30347282e-01  7.30356433e-01  7.30371824e-01 
 1.28310088e-11  7.36830869e-01  7.36808853e-01  7.36853795e-01  7.36838962e-01  7.30367136e-01  7.30337432e-01  7.30362013e-01  7.30370129e-01 
 1.35943479e-11  7.36816575e-01  7.36804881e-01  7.36847853e-01  7.36826782e-01  7.30357591e-01  7.30324600e-01  7.30370202e-01  7.30361032e-01 
 1.39930493e-11  7.36810248e-01  7.36804419e-01  7.36842703e-01  7.36821513e-01  7.30348917e-01  7.30319958e-01  7.30372738e-01  7.30353699e-01 
 1.43707883e-11  7.36805781e-01  7.36804467e-01  7.36836647e-01  7.36817786e-01  7.30339242e-01  7.30317460e-01  7.30372877e-01  7.30345907e-01 
 1.47194919e-11  7.36803336e-01  7.36804490e-01  7.36830383e-01  7.36815651e-01  7.30330022e-01  7.30316892e-01  7.30370468e-01  7.30338767e-01 
 1.50803732e-11  7.36802542e-01  7.36804109e-01  7.36823758e-01  7.36814721e-01  7.30321300e-01  7.30317827e-01  7.30365199e-01  7.30332263e-01 
 1.54472701e-11  7.36803251e-01  7.36803034e-01  7.36817517e-01  7.36814826e-01  7.30314326e-01  7.30319865e-01  7.30357183e-01  7.30327295e-01 
 1.58572469e-11  7.36805131e-01  7.36800880e-01  7.36811907e-01  7.36815617e-01  7.30309692e-01  7.30322612e-01  7.30345951e-01  7.30324262e-01 
 1.63908012e-11  7.36807604e-01  7.36796772e-01  7.36807662e-01  7.36816467e-01  7.30308906e-01  7.30325378e-01  7.30330398e-01  7.30324241e-01 
 1.68014822e-11  7.36808493e-01  7.36792932e-01  7.36806865e-01  7.36816275e-01  7.30311663e-01  7.30326039e-01  7.30319649e-01  7.30326621e-01 
 1.72435298e-11  7.36807626e-01  7.36788614e-01  7.36807995e-01  7.36814713e-01  7.30316464e-01  7.30324653e-01  7.30311247e-01  7.30330357e-01 
 1.77394033e-11  7.36804132e-01  7.36784135e-01  7.36810491e-01  7.36811186e-01  7.30321903e-01  7.30320225e-01  7.30307142e-01  7.30334309e-01 
 1.82768906e-11  7.36797973e-01  7.36780301e-01  7.36812734e-01  7.36805766e-01  7.30325368e-01  7.30312442e-01  7.30308839e-01  7.30336436e-01 
 1.88869305e-11  7.36789718e-01  7.36777726e-01  7.36812508e-01  7.36798863e-01  7.30323918e-01  7.30301519e-01  7.30315651e-01  7.30334460e-01 
 1.97171622e-11  7.36780207e-01  7.36777350e-01  7.36806350e-01  7.36790928e-01  7.30312308e-01  7.30287881e-01  7.30324921e-01  7.30324264e-01 
 2.03015821e-11  7.36776333e-01  7.36778863e-01  7.36798993e-01  7.36787477e-01  7.30299290e-01  7.30281493e-01  7.30327452e-01  7.30313491e-01 
 2.10048682e-11  7.36775835e-01  7.36781621e-01  7.36789533e-01  7.36786384e-01  7.30283002e-01  7.30279096e-01  7.30322724e-01  7.30300378e-01 
 2.16496613e-11  7.36778953e-01  7.36784002e-01  7.36782725e-01  7.36788004e-01  7.30271824e-01  7.30281462e-01  7.30310963e-01  7.30291589e-01 
 2.24102592e-11  7.36784891e-01  7.36785379e-01  7.36779491e-01  7.36791616e-01  7.30267025e-01  7.30286817e-01  7.30292150e-01  7.30288023e-01 
 2.31117364e-11  7.36790109e-01  7.36784888e-01  7.36781686e-01  7.36794823e-01  7.30270232e-01  7.30290785e-01  7.30275944e-01  7.30290845e-01 
 2.36561065e-11  7.36792770e-01  7.36783594e-01  7.36786250e-01  7.36796329e-01  7.30275911e-01  7.30291450e-01  7.30267501e-01  7.30295587e-01 
 2.42714596e-11  7.36793637e-01  7.36782053e-01  7.36792782e-01  7.36796471e-01  7.30282445e-01  7.30288514e-01  7.30264556e-01  7.30301037e-01 
 2.49098830e-11  7.36792491e-01  7.36781768e-01  7.36798876e-01  7.36795138e-01  7.30286023e-01  7.30281785e-01  7.30268175e-01  7.30304110e-01 
 2.56508551e-11  7.36790296e-01  7.36784929e-01  7.36802788e-01  7.36793129e-01  7.30283283e-01  7.30272261e-01  7.30276331e-01  7.30302173e-01 
