 time            v1              v2              v3             
 0.00000000e+00  5.00000000e-01  3.75209135e-01  3.75201817e-01 
 1.00000000e-15  5.01005309e-01  3.75455366e-01  3.75447655e-01 
 2.00000000e-15  5.02010618e-01  3.75699536e-01  3.75691434e-01 
 4.00000000e-15  5.04021228e-01  3.76182956e-01  3.76174071e-01 
 8.00000000e-15  5.08042390e-01  3.77126419e-01  3.77115981e-01 
 1.60000000e-14  5.16084261e-01  3.78918863e-01  3.78905361e-01 
 3.20000000e-14  5.32164360e-01  3.82140320e-01  3.82120847e-01 
 6.40000000e-14  5.64295436e-01  3.87254151e-01  3.87223345e-01 
 1.28000000e-13  6.28324806e-01  3.93043711e-01  3.92992573e-01 
 2.28000000e-13  7.27208840e-01  3.93360283e-01  3.93283877e-01 
 3.28000000e-13  8.23798527e-01  3.86553678e-01  3.86460945e-01 
 4.28000000e-13  9.17118507e-01  3.75878477e-01  3.75779735e-01 
 5.28000000e-13  1.00622644e+00  3.64029260e-01  3.63936083e-01 
 6.28000000e-13  1.09022251e+00  3.53163279e-01  3.53088013e-01 
 7.28000000e-13  1.16825854e+00  3.44993292e-01  3.44948338e-01 
 8.28000000e-13  1.23954652e+00  3.40867063e-01  3.40864070e-01 
 9.28000000e-13  1.30336658e+00  3.41818061e-01  3.41867156e-01 
 1.02800000e-12  1.35907427e+00  3.48592996e-01  3.48702111e-01 
 1.12800000e-12  1.40610706e+00  3.61665893e-01  3.61840262e-01 
 1.22800000e-12  1.44399001e+00  3.81247070e-01  3.81488906e-01 
 1.32800000e-12  1.47234058e+00  4.07292789e-01  4.07601149e-01 
 1.42800000e-12  1.49087249e+00  4.39518936e-01  4.39889769e-01 
 1.52800000e-12  1.49939860e+00  4.77420254e-01  4.77846604e-01 
 1.62800000e-12  1.49783282e+00  5.20295304e-01  5.20767651e-01 
 1.72800000e-12  1.48619096e+00  5.67276508e-01  5.67783205e-01 
 1.82800000e-12  1.46459057e+00  6.17364057e-01  6.17891844e-01 
 1.92800000e-12  1.43324978e+00  6.69462268e-01  6.69996818e-01 
 2.02800000e-12  1.39248507e+00  7.22416831e-01  7.22943312e-01 
 2.12800000e-12  1.34270807e+00  7.75051511e-01  7.75555130e-01 
 2.22800000e-12  1.28442144e+00  8.26202974e-01  8.26669480e-01 
 2.32800000e-12  1.21821374e+00  8.74752626e-01  8.75168763e-01 
 2.42800000e-12  1.14475355e+00  9.19654614e-01  9.20008504e-01 
 2.52800000e-12  1.06478266e+00  9.59959376e-01  9.60240821e-01 
 2.62800000e-12  9.79108608e-01  9.94832375e-01  9.95033085e-01 
 2.72800000e-12  8.88596537e-01  1.02356790e+00  1.02368164e+00 
 2.82800000e-12  7.94160431e-01  1.04559802e+00  1.04562067e+00 
 2.92800000e-12  6.96753904e-01  1.06049698e+00  1.06042652e+00 
 3.02800000e-12  5.97360561e-01  1.06798135e+00  1.06781782e+00 
 3.12800000e-12  4.96984076e-01  1.06790664e+00  1.06765199e+00 
 3.22800000e-12  3.96638045e-01  1.06026069e+00  1.05991864e+00 
 3.32800000e-12  2.97335759e-01  1.04515469e+00  1.04473051e+00 
 3.42800000e-12  2.00079970e-01  1.02281236e+00  1.02231265e+00 
 3.52800000e-12  1.05852763e-01  9.93557784e-01  9.92990252e-01 
 3.62800000e-12  1.56056422e-02  9.57802658e-01  9.57175886e-01 
 3.72800000e-12 -6.97500813e-02  9.16033235e-01  9.15356443e-01 
 3.82800000e-12 -1.49352488e-01  8.68797513e-01  8.68080340e-01 
 3.92800000e-12 -2.22397755e-01  8.16692936e-01  8.15945242e-01 
 4.02800000e-12 -2.88148274e-01  7.60354880e-01  7.59586562e-01 
 4.12800000e-12 -3.45940099e-01  7.00446092e-01  6.99666925e-01 
 4.22800000e-12 -3.95189649e-01  6.37647176e-01  6.36866677e-01 
 4.32800000e-12 -4.35399604e-01  5.72648158e-01  5.71875476e-01 
 4.42800000e-12 -4.66163927e-01  5.06141108e-01  5.05384929e-01 
 4.52800000e-12 -4.87171958e-01  4.38813738e-01  4.38082221e-01 
 4.62800000e-12 -4.98211561e-01  3.71343883e-01  3.70644606e-01 
 4.72800000e-12 -4.99171257e-01  3.04394734e-01  3.03734658e-01 
 4.82800000e-12 -4.90041356e-01  2.38610684e-01  2.37996133e-01 
 4.92800000e-12 -4.70914051e-01  1.74613651e-01  1.74050298e-01 
 5.02800000e-12 -4.41982489e-01  1.12999752e-01  1.12492615e-01 
 5.12800000e-12 -4.03538819e-01  5.43362018e-02  5.38896445e-02 
 5.22800000e-12 -3.55971246e-01 -8.41645342e-04 -1.22391159e-03 
 5.32800000e-12 -2.99760103e-01 -5.20332002e-02 -5.23481093e-02 
 5.42800000e-12 -2.35473011e-01 -9.87755230e-02 -9.90206490e-02 
 5.52800000e-12 -1.63759136e-01 -1.40646218e-01 -1.40819770e-01 
 5.62800000e-12 -8.53426450e-02 -1.77266336e-01 -1.77367152e-01 
 5.72800000e-12 -1.01538351e-03 -2.08303251e-01 -2.08330799e-01 
 5.82800000e-12  8.83711143e-02 -2.33473491e-01 -2.33427859e-01 
 5.92800000e-12  1.81914227e-01 -2.52545428e-01 -2.52427326e-01 
 6.02800000e-12  2.78669358e-01 -2.65341796e-01 -2.65152550e-01 
 6.12800000e-12  3.77659479e-01 -2.71741929e-01 -2.71483474e-01 
 6.22800000e-12  4.77884991e-01 -2.71683658e-01 -2.71358532e-01 
 6.32800000e-12  5.78333819e-01 -2.65164780e-01 -2.64776109e-01 
 6.42800000e-12  6.77991635e-01 -2.52244025e-01 -2.51795512e-01 
 6.52800000e-12  7.75852097e-01 -2.33041466e-01 -2.32537364e-01 
 6.62800000e-12  8.70927014e-01 -2.07738303e-01 -2.07183391e-01 
 6.72800000e-12  9.62256323e-01 -1.76575987e-01 -1.75975538e-01 
 6.82800000e-12  1.04891778e+00 -1.39854666e-01 -1.39214406e-01 
 6.92800000e-12  1.13003629e+00 -9.79309241e-02 -9.72569865e-02 
 7.02800000e-12  1.20479271e+00 -5.12148290e-02 -5.05137038e-02 
 7.12800000e-12  1.27243216e+00 -1.66304340e-04  5.55219017e-04 
 7.22800000e-12  1.33227162e+00  5.47091400e-02  5.54440357e-02 
 7.32800000e-12  1.38370682e+00  1.12865275e-01  1.13606348e-01 
 7.42800000e-12  1.42621838e+00  1.73720559e-01  1.74460515e-01 
 7.52800000e-12  1.45937703e+00  2.36664013e-01  2.37395531e-01 
 7.62800000e-12  1.48284791e+00  3.01061494e-01  3.01777304e-01 
 7.72800000e-12  1.49639403e+00  3.66262281e-01  3.66955236e-01 
 7.82800000e-12  1.49987860e+00  4.31605888e-01  4.32269045e-01 
 7.92800000e-12  1.49326643e+00  4.96429023e-01  4.97055710e-01 
 8.02800000e-12  1.47662428e+00  5.60072588e-01  5.60656480e-01 
 8.12800000e-12  1.45012022e+00  6.21888654e-01  6.22423840e-01 
 8.22800000e-12  1.41402187e+00  6.81247307e-01  6.81728353e-01 
 8.32800000e-12  1.36869377e+00  7.37543291e-01  7.37965298e-01 
 8.42800000e-12  1.31459362e+00  7.90202376e-01  7.90561035e-01 
 8.52800000e-12  1.25226774e+00  8.38687371e-01  8.38979007e-01 
 8.62800000e-12  1.18234548e+00  8.82503719e-01  8.82725329e-01 
 8.72800000e-12  1.10553292e+00  9.21204623e-01  9.21353911e-01 
 8.82800000e-12  1.02260571e+00  9.54395637e-01  9.54471035e-01 
 8.92800000e-12  9.34401240e-01  9.81738696e-01  9.81739383e-01 
 9.02800000e-12  8.41810205e-01  1.00295553e+00  1.00288144e+00 
 9.12800000e-12  7.45767583e-01  1.01783045e+00  1.01768227e+00 
 9.22800000e-12  6.47243207e-01  1.02621247e+00  1.02599163e+00 
 9.32800000e-12  5.47231975e-01  1.02801675e+00  1.02772541e+00 
 9.42800000e-12  4.46743795e-01  1.02322535e+00  1.02286639e+00 
 9.52800000e-12  3.46793395e-01  1.01188735e+00  1.01146432e+00 
 9.62800000e-12  2.48390070e-01  9.94118215e-01  9.93635298e-01 
 9.72800000e-12  1.52527494e-01  9.70098524e-01  9.69560520e-01 
 9.82800000e-12  6.01736831e-02  9.40072079e-01  9.39484332e-01 
 9.92800000e-12 -2.77387765e-02  9.04343342e-01  9.03711691e-01 
 1.00280000e-11 -1.10322148e-01  8.63274286e-01  8.62605007e-01 
 1.01280000e-11 -1.86742507e-01  8.17280685e-01  8.16580430e-01 
 1.02280000e-11 -2.56228163e-01  7.66827866e-01  7.66103596e-01 
 1.03280000e-11 -3.18077454e-01  7.12425985e-01  7.11684899e-01 
 1.04280000e-11 -3.71665826e-01  6.54624857e-01  6.53874320e-01 
 1.05280000e-11 -4.16452146e-01  5.94008399e-01  5.93255871e-01 
 1.06280000e-11 -4.51984163e-01  5.31188744e-01  5.30441706e-01 
 1.07280000e-11 -4.77903076e-01  4.66800076e-01  4.66065954e-01 
 1.08280000e-11 -4.93947158e-01  4.01492251e-01  4.00778344e-01 
 1.09280000e-11 -4.99954395e-01  3.35924268e-01  3.35237674e-01 
 1.10280000e-11 -4.95864126e-01  2.70757642e-01  2.70105188e-01 
 1.11280000e-11 -4.81717656e-01  2.06649764e-01  2.06037941e-01 
 1.12280000e-11 -4.57657833e-01  1.44247295e-01  1.43682188e-01 
 1.13280000e-11 -4.23927615e-01  8.41796677e-02  8.36669009e-02 
 1.14280000e-11 -3.80867606e-01  2.70527625e-02  2.65974383e-02 
 1.15280000e-11 -3.28912627e-01 -2.65571882e-02 -2.69505381e-02 
 1.16280000e-11 -2.68587316e-01 -7.61093968e-02 -7.64368577e-02 
 1.17280000e-11 -2.00500836e-01 -1.21103966e-01 -1.21362280e-01 
 1.18280000e-11 -1.25340723e-01 -1.61086927e-01 -1.61273526e-01 
 1.19280000e-11 -4.38659406e-02 -1.95654819e-01 -1.95767850e-01 
 1.20280000e-11  4.31007819e-02 -2.24458759e-01 -2.24497106e-01 
 1.21280000e-11  1.34681257e-01 -2.47207972e-01 -2.47171268e-01 
 1.22280000e-11  2.29950709e-01 -2.63672735e-01 -2.63561364e-01 
 1.23280000e-11  3.27947109e-01 -2.73686703e-01 -2.73501800e-01 
 1.24280000e-11  4.27680893e-01 -2.77148602e-01 -2.76892041e-01 
 1.25280000e-11  5.28144953e-01 -2.74023267e-01 -2.73697644e-01 
 1.26280000e-11  6.28324806e-01 -2.64342009e-01 -2.63950617e-01 
 1.27280000e-11  7.27208840e-01 -2.48202314e-01 -2.47749111e-01 
 1.28280000e-11  8.23798527e-01 -2.25766871e-01 -2.25256443e-01 
 1.29280000e-11  9.17118507e-01 -1.97261946e-01 -1.96699458e-01 
 1.30280000e-11  1.00622644e+00 -1.62975104e-01 -1.62366252e-01 
 1.31280000e-11  1.09022251e+00 -1.23252316e-01 -1.22603269e-01 
 1.32280000e-11  1.16825854e+00 -7.84944780e-02 -7.78118160e-02 
 1.33280000e-11  1.23954652e+00 -2.91533625e-02 -2.84440125e-02 
 1.34280000e-11  1.30336658e+00  2.42729345e-02  2.50017691e-02 
 1.35280000e-11  1.35907427e+00  8.12450224e-02  8.19859339e-02 
 1.36280000e-11  1.40610706e+00  1.41187661e-01  1.41933112e-01 
 1.37280000e-11  1.44399001e+00  2.03495571e-01  2.04237971e-01 
 1.38280000e-11  1.47234058e+00  2.67539547e-01  2.68271327e-01 
 1.39280000e-11  1.49087249e+00  3.32672814e-01  3.33386506e-01 
 1.40280000e-11  1.49939860e+00  3.98237564e-01  3.98925874e-01 
 1.41280000e-11  1.49783282e+00  4.63571599e-01  4.64227485e-01 
 1.42280000e-11  1.48619096e+00  5.28015030e-01  5.28631768e-01 
 1.43280000e-11  1.46459057e+00  5.90916937e-01  5.91488194e-01 
 1.44280000e-11  1.43324978e+00  6.51641953e-01  6.52161851e-01 
 1.45280000e-11  1.39248507e+00  7.09576684e-01  7.10039857e-01 
 1.46280000e-11  1.34270807e+00  7.64135905e-01  7.64537559e-01 
 1.47280000e-11  1.28442144e+00  8.14768477e-01  8.15104435e-01 
 1.48280000e-11  1.21821374e+00  8.60962914e-01  8.61229661e-01 
 1.49280000e-11  1.14475355e+00  9.02252555e-01  9.02447274e-01 
 1.50280000e-11  1.06478266e+00  9.38220274e-01  9.38340877e-01 
 1.51280000e-11  9.79108608e-01  9.68502699e-01  9.68547845e-01 
 1.52280000e-11  8.88596537e-01  9.92793883e-01  9.92762996e-01 
 1.53280000e-11  7.94160431e-01  1.01084839e+00  1.01074167e+00 
 1.54280000e-11  6.96753904e-01  1.02248379e+00  1.02230218e+00 
 1.55280000e-11  5.97360561e-01  1.02758246e+00  1.02732771e+00 
 1.56280000e-11  4.96984076e-01  1.02609285e+00  1.02576741e+00 
 1.57280000e-11  3.96638045e-01  1.01802991e+00  1.01763697e+00 
 1.58280000e-11  2.97335759e-01  1.00347502e+00  1.00301845e+00 
 1.59280000e-11  2.00079970e-01  9.82575113e-01  9.82059433e-01 
 1.60280000e-11  1.05852763e-01  9.55541212e-01  9.54971545e-01 
 1.61280000e-11  1.56056422e-02  9.22646305e-01  9.22028325e-01 
 1.62280000e-11 -6.97500813e-02  8.84222575e-01  8.83562450e-01 
 1.63280000e-11 -1.49352488e-01  8.40658051e-01  8.39962379e-01 
 1.64280000e-11 -2.22397755e-01  7.92392686e-01  7.91668431e-01 
 1.65280000e-11 -2.88148274e-01  7.39913915e-01  7.39168335e-01 
 1.66280000e-11 -3.45940099e-01  6.83751732e-01  6.82992304e-01 
 1.67280000e-11 -3.95189649e-01  6.24473334e-01  6.23707679e-01 
 1.68280000e-11 -4.35399604e-01  5.62677394e-01  5.61913201e-01 
 1.69280000e-11 -4.66163927e-01  4.98988016e-01  4.98232962e-01 
 1.70280000e-11 -4.87171958e-01  4.34048429e-01  4.33310101e-01 
 1.71280000e-11 -4.98211561e-01  3.68514488e-01  3.67800307e-01 
 1.72280000e-11 -4.99171257e-01  3.03048056e-01  3.02365200e-01 
 1.73280000e-11 -4.90041356e-01  2.38310314e-01  2.37665644e-01 
 1.74280000e-11 -4.70914051e-01  1.74955082e-01  1.74355076e-01 
 1.75280000e-11 -4.41982489e-01  1.13622220e-01  1.13072902e-01 
 1.76280000e-11 -4.03538819e-01  5.49311602e-02  5.44380432e-02 
 1.77280000e-11 -3.55971246e-01 -5.25345267e-04 -9.57320082e-04 
 1.78280000e-11 -2.99760103e-01 -5.21872149e-02 -5.25537255e-02 
 1.79280000e-11 -2.35473011e-01 -9.95326927e-02 -9.98300814e-02 
 1.80280000e-11 -1.63759136e-01 -1.42083619e-01 -1.42308930e-01 
 1.81280000e-11 -8.53426450e-02 -1.79410259e-01 -1.79561267e-01 
 1.82280000e-11 -1.01538351e-03 -2.11135645e-01 -2.11210881e-01 
 1.83280000e-11  8.83711143e-02 -2.36939381e-01 -2.36938145e-01 
 1.84280000e-11  1.81914227e-01 -2.56560880e-01 -2.56483249e-01 
 1.85280000e-11  2.78669358e-01 -2.69801996e-01 -2.69648823e-01 
 1.86280000e-11  3.77659479e-01 -2.76529025e-01 -2.76301931e-01 
 1.87280000e-11  4.77884991e-01 -2.76674054e-01 -2.76375411e-01 
 1.88280000e-11  5.78333819e-01 -2.70235646e-01 -2.69868554e-01 
 1.89280000e-11  6.77991635e-01 -2.57278858e-01 -2.56847110e-01 
 1.90280000e-11  7.75852097e-01 -2.37934575e-01 -2.37442624e-01 
 1.91280000e-11  8.70927014e-01 -2.12398199e-01 -2.11851107e-01 
 1.92280000e-11  9.62256323e-01 -1.80927662e-01 -1.80331052e-01 
 1.93280000e-11  1.04891778e+00 -1.43840830e-01 -1.43200828e-01 
 1.94280000e-11  1.13003629e+00 -1.01512287e-01 -1.00835460e-01 
 1.95280000e-11  1.20479271e+00 -5.43695535e-02 -5.36628409e-02 
 1.96280000e-11  1.27243216e+00 -2.88876492e-03 -2.15940889e-03 
 1.97280000e-11  1.33227162e+00  5.24101357e-02  5.31546634e-02 
 1.98280000e-11  1.38370682e+00  1.10968650e-01  1.11720725e-01 
 1.99140000e-11  1.42082098e+00  1.63507408e-01  1.64259821e-01 
 2.00000000e-11  1.45105652e+00  2.17644789e-01  2.18391837e-01 
