 frequency       s11_db          s22_db          s12_db          s21_db          s11_deg         s22_deg         s12_deg         s21_deg        
 1.20000000e+11 -4.99544616e-01 -5.00989309e-01 -4.89124968e+01 -4.89124967e+01 -1.62928569e+02 -1.67490793e+02 -8.48522080e+01 -8.48522083e+01 
 1.20080000e+11 -5.00563470e-01 -5.01938850e-01 -4.88679703e+01 -4.88679702e+01 -1.63015773e+02 -1.67581439e+02 -8.50376172e+01 -8.50376176e+01 
 1.20160000e+11 -5.01587329e-01 -5.02893161e-01 -4.88232356e+01 -4.88232356e+01 -1.63103077e+02 -1.67672184e+02 -8.52231488e+01 -8.52231492e+01 
 1.20240000e+11 -5.02616235e-01 -5.03852282e-01 -4.87782920e+01 -4.87782920e+01 -1.63190481e+02 -1.67763029e+02 -8.54088033e+01 -8.54088036e+01 
 1.20320000e+11 -5.03650229e-01 -5.04816253e-01 -4.87331387e+01 -4.87331387e+01 -1.63277986e+02 -1.67853974e+02 -8.55945809e+01 -8.55945812e+01 
 1.20400000e+11 -5.04689353e-01 -5.05785114e-01 -4.86877750e+01 -4.86877749e+01 -1.63365592e+02 -1.67945021e+02 -8.57804821e+01 -8.57804825e+01 
 1.20480000e+11 -5.05733650e-01 -5.06758907e-01 -4.86421999e+01 -4.86421999e+01 -1.63453301e+02 -1.68036169e+02 -8.59665075e+01 -8.59665078e+01 
 1.20560000e+11 -5.06783161e-01 -5.07737674e-01 -4.85964129e+01 -4.85964129e+01 -1.63541113e+02 -1.68127420e+02 -8.61526575e+01 -8.61526578e+01 
 1.20640000e+11 -5.07837932e-01 -5.08721456e-01 -4.85504131e+01 -4.85504131e+01 -1.63629029e+02 -1.68218774e+02 -8.63389326e+01 -8.63389329e+01 
 1.20720000e+11 -5.08898004e-01 -5.09710296e-01 -4.85041997e+01 -4.85041997e+01 -1.63717050e+02 -1.68310232e+02 -8.65253334e+01 -8.65253338e+01 
 1.20800000e+11 -5.09963423e-01 -5.10704237e-01 -4.84577720e+01 -4.84577719e+01 -1.63805176e+02 -1.68401796e+02 -8.67118606e+01 -8.67118609e+01 
 1.20880000e+11 -5.11034234e-01 -5.11703323e-01 -4.84111291e+01 -4.84111291e+01 -1.63893408e+02 -1.68493465e+02 -8.68985146e+01 -8.68985150e+01 
 1.20960000e+11 -5.12110481e-01 -5.12707598e-01 -4.83642703e+01 -4.83642703e+01 -1.63981748e+02 -1.68585240e+02 -8.70852963e+01 -8.70852967e+01 
 1.21040000e+11 -5.13192212e-01 -5.13717107e-01 -4.83171949e+01 -4.83171948e+01 -1.64070195e+02 -1.68677123e+02 -8.72722063e+01 -8.72722066e+01 
 1.21120000e+11 -5.14279471e-01 -5.14731894e-01 -4.82699019e+01 -4.82699018e+01 -1.64158752e+02 -1.68769115e+02 -8.74592452e+01 -8.74592456e+01 
 1.21200000e+11 -5.15372306e-01 -5.15752005e-01 -4.82223906e+01 -4.82223906e+01 -1.64247418e+02 -1.68861215e+02 -8.76464140e+01 -8.76464143e+01 
 1.21280000e+11 -5.16470765e-01 -5.16777487e-01 -4.81746603e+01 -4.81746602e+01 -1.64336194e+02 -1.68953425e+02 -8.78337133e+01 -8.78337136e+01 
 1.21360000e+11 -5.17574896e-01 -5.17808385e-01 -4.81267100e+01 -4.81267100e+01 -1.64425081e+02 -1.69045745e+02 -8.80211440e+01 -8.80211443e+01 
 1.21440000e+11 -5.18684746e-01 -5.18844749e-01 -4.80785391e+01 -4.80785391e+01 -1.64514081e+02 -1.69138177e+02 -8.82087069e+01 -8.82087072e+01 
 1.21520000e+11 -5.19800367e-01 -5.19886624e-01 -4.80301467e+01 -4.80301467e+01 -1.64603193e+02 -1.69230722e+02 -8.83964030e+01 -8.83964033e+01 
 1.21600000e+11 -5.20921806e-01 -5.20934060e-01 -4.79815320e+01 -4.79815320e+01 -1.64692420e+02 -1.69323379e+02 -8.85842331e+01 -8.85842335e+01 
 1.21680000e+11 -5.22049115e-01 -5.21987106e-01 -4.79326942e+01 -4.79326941e+01 -1.64781761e+02 -1.69416150e+02 -8.87721984e+01 -8.87721987e+01 
 1.21760000e+11 -5.23182345e-01 -5.23045811e-01 -4.78836324e+01 -4.78836324e+01 -1.64871217e+02 -1.69509037e+02 -8.89602996e+01 -8.89602999e+01 
 1.21840000e+11 -5.24321547e-01 -5.24110226e-01 -4.78343459e+01 -4.78343459e+01 -1.64960790e+02 -1.69602039e+02 -8.91485380e+01 -8.91485383e+01 
 1.21920000e+11 -5.25466773e-01 -5.25180401e-01 -4.77848339e+01 -4.77848339e+01 -1.65050480e+02 -1.69695157e+02 -8.93369146e+01 -8.93369149e+01 
 1.22000000e+11 -5.26618077e-01 -5.26256388e-01 -4.77350955e+01 -4.77350954e+01 -1.65140289e+02 -1.69788393e+02 -8.95254305e+01 -8.95254308e+01 
 1.22080000e+11 -5.27775512e-01 -5.27338238e-01 -4.76851298e+01 -4.76851298e+01 -1.65230216e+02 -1.69881748e+02 -8.97140868e+01 -8.97140871e+01 
 1.22160000e+11 -5.28939131e-01 -5.28426005e-01 -4.76349361e+01 -4.76349361e+01 -1.65320263e+02 -1.69975221e+02 -8.99028848e+01 -8.99028852e+01 
 1.22240000e+11 -5.30108991e-01 -5.29519742e-01 -4.75845135e+01 -4.75845135e+01 -1.65410432e+02 -1.70068815e+02 -9.00918258e+01 -9.00918261e+01 
 1.22320000e+11 -5.31285145e-01 -5.30619502e-01 -4.75338612e+01 -4.75338612e+01 -1.65500722e+02 -1.70162530e+02 -9.02809109e+01 -9.02809112e+01 
 1.22400000e+11 -5.32467652e-01 -5.31725341e-01 -4.74829784e+01 -4.74829783e+01 -1.65591135e+02 -1.70256367e+02 -9.04701416e+01 -9.04701419e+01 
 1.22480000e+11 -5.33656566e-01 -5.32837314e-01 -4.74318641e+01 -4.74318641e+01 -1.65681671e+02 -1.70350326e+02 -9.06595192e+01 -9.06595195e+01 
 1.22560000e+11 -5.34851947e-01 -5.33955477e-01 -4.73805176e+01 -4.73805175e+01 -1.65772333e+02 -1.70444410e+02 -9.08490450e+01 -9.08490453e+01 
 1.22640000e+11 -5.36053852e-01 -5.35079886e-01 -4.73289379e+01 -4.73289379e+01 -1.65863120e+02 -1.70538618e+02 -9.10387206e+01 -9.10387209e+01 
 1.22720000e+11 -5.37262341e-01 -5.36210599e-01 -4.72771244e+01 -4.72771243e+01 -1.65954033e+02 -1.70632952e+02 -9.12285475e+01 -9.12285478e+01 
 1.22800000e+11 -5.38477472e-01 -5.37347674e-01 -4.72250760e+01 -4.72250759e+01 -1.66045074e+02 -1.70727413e+02 -9.14185271e+01 -9.14185274e+01 
 1.22880000e+11 -5.39699307e-01 -5.38491171e-01 -4.71727919e+01 -4.71727918e+01 -1.66136243e+02 -1.70822001e+02 -9.16086611e+01 -9.16086614e+01 
 1.22960000e+11 -5.40927908e-01 -5.39641148e-01 -4.71202712e+01 -4.71202712e+01 -1.66227542e+02 -1.70916718e+02 -9.17989511e+01 -9.17989514e+01 
 1.23040000e+11 -5.42163335e-01 -5.40797667e-01 -4.70675131e+01 -4.70675131e+01 -1.66318971e+02 -1.71011564e+02 -9.19893988e+01 -9.19893990e+01 
 1.23120000e+11 -5.43405652e-01 -5.41960787e-01 -4.70145167e+01 -4.70145167e+01 -1.66410532e+02 -1.71106541e+02 -9.21800058e+01 -9.21800061e+01 
 1.23200000e+11 -5.44654923e-01 -5.43130573e-01 -4.69612812e+01 -4.69612811e+01 -1.66502226e+02 -1.71201650e+02 -9.23707741e+01 -9.23707743e+01 
 1.23280000e+11 -5.45911213e-01 -5.44307085e-01 -4.69078055e+01 -4.69078055e+01 -1.66594052e+02 -1.71296891e+02 -9.25617053e+01 -9.25617056e+01 
 1.23360000e+11 -5.47174585e-01 -5.45490389e-01 -4.68540889e+01 -4.68540889e+01 -1.66686014e+02 -1.71392266e+02 -9.27528014e+01 -9.27528016e+01 
