       frequency          s11_db          s12_db          s21_db          s22_db         s11_deg         s12_deg         s21_deg         s22_deg
  1.20000000e+11 -4.99620395e-01 -4.89048447e+01 -4.89048447e+01 -5.01429094e-01 -1.62911284e+02 -8.49762396e+01 -8.49762397e+01 -1.67515680e+02
  1.20079920e+11 -5.00636933e-01 -4.88605170e+01 -4.88605170e+01 -5.02375658e-01 -1.62998301e+02 -8.51611323e+01 -8.51611324e+01 -1.67606250e+02
  1.20159840e+11 -5.01658456e-01 -4.88159809e+01 -4.88159809e+01 -5.03326976e-01 -1.63085417e+02 -8.53461437e+01 -8.53461438e+01 -1.67696919e+02
  1.20239760e+11 -5.02685008e-01 -4.87712356e+01 -4.87712357e+01 -5.04283087e-01 -1.63172633e+02 -8.55312742e+01 -8.55312743e+01 -1.67787688e+02
  1.20319680e+11 -5.03716628e-01 -4.87262804e+01 -4.87262805e+01 -5.05244032e-01 -1.63259949e+02 -8.57165243e+01 -8.57165244e+01 -1.67878557e+02
  1.20399600e+11 -5.04753358e-01 -4.86811145e+01 -4.86811146e+01 -5.06209851e-01 -1.63347366e+02 -8.59018943e+01 -8.59018944e+01 -1.67969527e+02
  1.20479520e+11 -5.05795241e-01 -4.86357371e+01 -4.86357372e+01 -5.07180584e-01 -1.63434885e+02 -8.60873848e+01 -8.60873849e+01 -1.68060598e+02
  1.20559441e+11 -5.06842318e-01 -4.85901475e+01 -4.85901475e+01 -5.08156274e-01 -1.63522507e+02 -8.62729962e+01 -8.62729963e+01 -1.68151773e+02
  1.20639361e+11 -5.07894634e-01 -4.85443448e+01 -4.85443449e+01 -5.09136963e-01 -1.63610232e+02 -8.64587290e+01 -8.64587291e+01 -1.68243050e+02
  1.20719281e+11 -5.08952231e-01 -4.84983284e+01 -4.84983284e+01 -5.10122692e-01 -1.63698061e+02 -8.66445839e+01 -8.66445840e+01 -1.68334432e+02
