 frequency       s11_db          s12_db          s13_db          s14_db          s15_db          s16_db          s17_db          s21_db          s22_db          s23_db          s24_db          s25_db          s26_db          s27_db          s31_db          s32_db          s33_db          s34_db          s35_db          s36_db          s37_db          s41_db          s42_db          s43_db          s44_db          s45_db          s46_db          s47_db          s51_db          s52_db          s53_db          s54_db          s55_db          s56_db          s57_db          s61_db          s62_db          s63_db          s64_db          s65_db          s66_db          s67_db          s71_db          s72_db          s73_db          s74_db          s75_db          s76_db          s77_db          s11_deg         s12_deg         s13_deg         s14_deg         s15_deg         s16_deg         s17_deg         s21_deg         s22_deg         s23_deg         s24_deg         s25_deg         s26_deg         s27_deg         s31_deg         s32_deg         s33_deg         s34_deg         s35_deg         s36_deg         s37_deg         s41_deg         s42_deg         s43_deg         s44_deg         s45_deg         s46_deg         s47_deg         s51_deg         s52_deg         s53_deg         s54_deg         s55_deg         s56_deg         s57_deg         s61_deg         s62_deg         s63_deg         s64_deg         s65_deg         s66_deg         s67_deg         s71_deg         s72_deg         s73_deg         s74_deg         s75_deg         s76_deg         s77_deg         s41_31_db       s51_61_db       s32_42_db       s62_52_db       s41_31_deg      s51_61_deg      s32_42_deg      s62_52_deg     
 1.20000000e+11 -4.99527668e-01 -6.33300729e+01 -6.03341493e+01 -5.92419890e+01 -5.92156106e+01 -6.04542560e+01 -6.36733032e+01 -6.33300730e+01 -1.06543178e+01 -8.72521771e+00 -1.37290217e+01 -1.25477774e+01 -7.42822198e+00 -4.51037751e+00 -6.03341494e+01 -8.72521770e+00 -8.76519303e+00 -4.50540527e+00 -1.95818751e+01 -1.45693696e+01 -7.57306313e+00 -5.92419892e+01 -1.37290217e+01 -4.50540528e+00 -4.32517982e+00 -3.38601384e+01 -1.96067067e+01 -1.27154994e+01 -5.92156107e+01 -1.25477774e+01 -1.95818751e+01 -3.38601385e+01 -4.30409328e+00 -4.51529910e+00 -1.40872130e+01 -6.04542561e+01 -7.42822198e+00 -1.45693696e+01 -1.96067066e+01 -4.51529909e+00 -8.55305832e+00 -9.07240714e+00 -6.36733033e+01 -4.51037752e+00 -7.57306315e+00 -1.27154994e+01 -1.40872130e+01 -9.07240715e+00 -9.60736075e+00 -1.62928571e+02  1.61189618e+01  1.56711963e+02  9.50592320e+01  9.47489507e+01  1.56504977e+02  1.29688184e+01  1.61189625e+01  1.51055043e+02  1.67447447e+02 -1.50636180e+02  1.62723352e+02  1.15921106e+02 -7.67195162e+01  1.56711964e+02  1.67447447e+02  1.65810598e+02 -1.04161586e+02  2.97243629e+01  1.80572700e+00  1.11808352e+02  9.50592327e+01 -1.50636180e+02 -1.04161586e+02  1.35492178e+02  5.59398505e+01  2.99054729e+01  1.58652247e+02  9.47489513e+01  1.62723352e+02  2.97243631e+01  5.59398508e+01  1.35862055e+02 -1.04886023e+02 -1.52059086e+02  1.56504977e+02  1.15921106e+02  1.80572717e+00  2.99054729e+01 -1.04886023e+02  1.64135628e+02  1.66218287e+02  1.29688191e+01 -7.67195161e+01  1.11808352e+02  1.58652247e+02 -1.52059086e+02  1.66218287e+02  1.37152536e+02  1.09216025e+00  1.23864542e+00  5.00380404e+00  5.11955545e+00 -6.16527309e+01 -6.17560258e+01 -4.19163730e+01 -4.68022465e+01 
 1.20080000e+11 -5.00546379e-01 -6.32938011e+01 -6.02868955e+01 -5.91914923e+01 -5.91652061e+01 -6.04071447e+01 -6.36374017e+01 -6.32938012e+01 -1.06528198e+01 -8.72551946e+00 -1.37421284e+01 -1.25531080e+01 -7.42166653e+00 -4.51038154e+00 -6.02868956e+01 -8.72551945e+00 -8.76065984e+00 -4.50817513e+00 -1.96003563e+01 -1.45792226e+01 -7.56669629e+00 -5.91914924e+01 -1.37421284e+01 -4.50817514e+00 -4.32039012e+00 -3.39094274e+01 -1.96250966e+01 -1.27209646e+01 -5.91652062e+01 -1.25531081e+01 -1.96003563e+01 -3.39094274e+01 -4.29933073e+00 -4.51822545e+00 -1.41003435e+01 -6.04071449e+01 -7.42166653e+00 -1.45792226e+01 -1.96250966e+01 -4.51822544e+00 -8.54944171e+00 -9.07264166e+00 -6.36374018e+01 -4.51038154e+00 -7.56669632e+00 -1.27209646e+01 -1.41003435e+01 -9.07264167e+00 -9.60630444e+00 -1.63015777e+02  1.57969003e+01  1.56464794e+02  9.47755879e+01  9.44654675e+01  1.56260512e+02  1.26475000e+01  1.57969010e+01  1.51051734e+02  1.67302798e+02 -1.50689629e+02  1.62612495e+02  1.15729029e+02 -7.68409296e+01  1.56464795e+02  1.67302798e+02  1.65773653e+02 -1.04299779e+02  2.96034450e+01  1.57286525e+00  1.11614825e+02  9.47755885e+01 -1.50689628e+02 -1.04299779e+02  1.35369227e+02  5.60435841e+01  2.97849537e+01  1.58540136e+02  9.44654681e+01  1.62612495e+02  2.96034453e+01  5.60435844e+01  1.35738636e+02 -1.05024655e+02 -1.52107219e+02  1.56260512e+02  1.15729029e+02  1.57286542e+00  2.97849538e+01 -1.05024655e+02  1.64090060e+02  1.66078591e+02  1.26475007e+01 -7.68409295e+01  1.11614825e+02  1.58540136e+02 -1.52107219e+02  1.66078591e+02  1.37129331e+02  1.09540322e+00  1.24193865e+00  5.01660891e+00  5.13144152e+00 -6.16892061e+01 -6.17950443e+01 -4.20075737e+01 -4.68834653e+01 
 1.20160000e+11 -5.01570094e-01 -6.32573014e+01 -6.02394128e+01 -5.91407589e+01 -5.91145646e+01 -6.03598031e+01 -6.36012715e+01 -6.32573015e+01 -1.06513050e+01 -8.72582138e+00 -1.37552273e+01 -1.25584340e+01 -7.41511066e+00 -4.51041459e+00 -6.02394129e+01 -8.72582137e+00 -8.75614951e+00 -4.51096072e+00 -1.96188405e+01 -1.45890840e+01 -7.56032936e+00 -5.91407590e+01 -1.37552273e+01 -4.51096073e+00 -4.31561841e+00 -3.39584389e+01 -1.96434890e+01 -1.27264251e+01 -5.91145647e+01 -1.25584340e+01 -1.96188405e+01 -3.39584390e+01 -4.29458689e+00 -4.52116691e+00 -1.41134614e+01 -6.03598032e+01 -7.41511066e+00 -1.45890840e+01 -1.96434890e+01 -4.52116689e+00 -8.54585400e+00 -9.07287198e+00 -6.36012717e+01 -4.51041460e+00 -7.56032938e+00 -1.27264251e+01 -1.41134614e+01 -9.07287199e+00 -9.60523610e+00 -1.63103082e+02  1.54748000e+01  1.56217529e+02  9.44917541e+01  9.41817963e+01  1.56015955e+02  1.23261520e+01  1.54748007e+01  1.51047931e+02  1.67158274e+02 -1.50742568e+02  1.62501923e+02  1.15536940e+02 -7.69624397e+01  1.56217530e+02  1.67158274e+02  1.65736484e+02 -1.04438152e+02  2.94831521e+01  1.34002169e+00  1.11421291e+02  9.44917548e+01 -1.50742568e+02 -1.04438152e+02  1.35245959e+02  5.61506468e+01  2.96650539e+01  1.58428315e+02  9.41817969e+01  1.62501923e+02  2.94831524e+01  5.61506471e+01  1.35614902e+02 -1.05163468e+02 -1.52154830e+02  1.56015956e+02  1.15536940e+02  1.34002186e+00  2.96650539e+01 -1.05163468e+02  1.64044287e+02  1.65939027e+02  1.23261528e+01 -7.69624396e+01  1.11421291e+02  1.58428315e+02 -1.52154830e+02  1.65939027e+02  1.37105720e+02  1.09865394e+00  1.24523852e+00  5.02940595e+00  5.14332332e+00 -6.17257749e+01 -6.18341590e+01 -4.20991576e+01 -4.69649829e+01 
 1.20240000e+11 -5.02598855e-01 -6.32205731e+01 -6.01917004e+01 -5.90897880e+01 -5.90636852e+01 -6.03122301e+01 -6.35649119e+01 -6.32205732e+01 -1.06497741e+01 -8.72612331e+00 -1.37683182e+01 -1.25637550e+01 -7.40855429e+00 -4.51047672e+00 -6.01917005e+01 -8.72612330e+00 -8.75166221e+00 -4.51376211e+00 -1.96373274e+01 -1.45989538e+01 -7.55396224e+00 -5.90897882e+01 -1.37683182e+01 -4.51376212e+00 -4.31086468e+00 -3.40071615e+01 -1.96618835e+01 -1.27318804e+01 -5.90636853e+01 -1.25637550e+01 -1.96373274e+01 -3.40071615e+01 -4.28986175e+00 -4.52412353e+00 -1.41265662e+01 -6.03122302e+01 -7.40855429e+00 -1.45989538e+01 -1.96618835e+01 -4.52412352e+00 -8.54229536e+00 -9.07309794e+00 -6.35649120e+01 -4.51047673e+00 -7.55396226e+00 -1.27318804e+01 -1.41265662e+01 -9.07309795e+00 -9.60415621e+00 -1.63190487e+02  1.51526597e+01  1.55970167e+02  9.42077298e+01  9.38979362e+01  1.55771307e+02  1.20047736e+01  1.51526604e+01  1.51043632e+02  1.67013876e+02 -1.50794997e+02  1.62391638e+02  1.15344838e+02 -7.70840463e+01  1.55970168e+02  1.67013876e+02  1.65699092e+02 -1.04576706e+02  2.93634877e+01  1.10719536e+00  1.11227749e+02  9.42077305e+01 -1.50794997e+02 -1.04576706e+02  1.35122373e+02  5.62610421e+01  2.95457766e+01  1.58316783e+02  9.38979368e+01  1.62391638e+02  2.93634880e+01  5.62610424e+01  1.35490854e+02 -1.05302463e+02 -1.52201917e+02  1.55771307e+02  1.15344838e+02  1.10719553e+00  2.95457767e+01 -1.05302463e+02  1.63998310e+02  1.65799595e+02  1.20047743e+01 -7.70840462e+01  1.11227749e+02  1.58316783e+02 -1.52201917e+02  1.65799595e+02  1.37081701e+02  1.10191232e+00  1.24854494e+00  5.04219489e+00  5.15520070e+00 -6.17624376e+01 -6.18733703e+01 -4.21911264e+01 -4.70468001e+01 
 1.20320000e+11 -5.03632703e-01 -6.31836154e+01 -6.01437573e+01 -5.90385790e+01 -5.90125672e+01 -6.02644250e+01 -6.35283219e+01 -6.31836155e+01 -1.06482276e+01 -8.72642511e+00 -1.37814006e+01 -1.25690709e+01 -7.40199734e+00 -4.51056795e+00 -6.01437574e+01 -8.72642510e+00 -8.74719810e+00 -4.51657938e+00 -1.96558167e+01 -1.46088321e+01 -7.54759486e+00 -5.90385791e+01 -1.37814006e+01 -4.51657939e+00 -4.30612893e+00 -3.40555833e+01 -1.96802798e+01 -1.27373305e+01 -5.90125673e+01 -1.25690709e+01 -1.96558168e+01 -3.40555834e+01 -4.28515529e+00 -4.52709539e+00 -1.41396577e+01 -6.02644251e+01 -7.40199734e+00 -1.46088321e+01 -1.96802798e+01 -4.52709538e+00 -8.53876592e+00 -9.07331938e+00 -6.35283220e+01 -4.51056796e+00 -7.54759488e+00 -1.27373306e+01 -1.41396577e+01 -9.07331939e+00 -9.60306519e+00 -1.63277993e+02  1.48304785e+01  1.55722709e+02  9.39235141e+01  9.36138860e+01  1.55526565e+02  1.16833636e+01  1.48304792e+01  1.51038837e+02  1.66869603e+02 -1.50846915e+02  1.62281640e+02  1.15152722e+02 -7.72057492e+01  1.55722709e+02  1.66869603e+02  1.65661477e+02 -1.04715443e+02  2.92444553e+01  8.74385257e-01  1.11034199e+02  9.39235147e+01 -1.50846915e+02 -1.04715443e+02  1.34998466e+02  5.63747718e+01  2.94271254e+01  1.58205541e+02  9.36138867e+01  1.62281640e+02  2.92444555e+01  5.63747721e+01  1.35366491e+02 -1.05441641e+02 -1.52248480e+02  1.55526565e+02  1.15152722e+02  8.74385429e-01  2.94271255e+01 -1.05441641e+02  1.63952129e+02  1.65660294e+02  1.16833643e+01 -7.72057491e+01  1.11034199e+02  1.58205541e+02 -1.52248480e+02  1.65660294e+02  1.37057273e+02  1.10517827e+00  1.25185780e+00  5.05497547e+00  5.16707354e+00 -6.17991945e+01 -6.19126785e+01 -4.22834817e+01 -4.71289177e+01 
 1.20400000e+11 -5.04671681e-01 -6.31464272e+01 -6.00955825e+01 -5.89871308e+01 -5.89612097e+01 -6.02163867e+01 -6.34915006e+01 -6.31464273e+01 -1.06466663e+01 -8.72672665e+00 -1.37944741e+01 -1.25743814e+01 -7.39543974e+00 -4.51068833e+00 -6.00955826e+01 -8.72672664e+00 -8.74275734e+00 -4.51941259e+00 -1.96743081e+01 -1.46187188e+01 -7.54122713e+00 -5.89871310e+01 -1.37944741e+01 -4.51941260e+00 -4.30141116e+00 -3.41036926e+01 -1.96986775e+01 -1.27427752e+01 -5.89612098e+01 -1.25743814e+01 -1.96743082e+01 -3.41036926e+01 -4.28046752e+00 -4.53008257e+00 -1.41527352e+01 -6.02163868e+01 -7.39543974e+00 -1.46187188e+01 -1.96986775e+01 -4.53008256e+00 -8.53526583e+00 -9.07353614e+00 -6.34915007e+01 -4.51068834e+00 -7.54122716e+00 -1.27427752e+01 -1.41527352e+01 -9.07353615e+00 -9.60196351e+00 -1.63365600e+02  1.45082550e+01  1.55475152e+02  9.36391058e+01  9.33296449e+01  1.55281729e+02  1.13619209e+01  1.45082557e+01  1.51033542e+02  1.66725456e+02 -1.50898319e+02  1.62171928e+02  1.14960592e+02 -7.73275482e+01  1.55475152e+02  1.66725456e+02  1.65623640e+02 -1.04854363e+02  2.91260584e+01  6.41590387e-01  1.10840641e+02  9.36391064e+01 -1.50898319e+02 -1.04854363e+02  1.34874240e+02  5.64918359e+01  2.93091037e+01  1.58094589e+02  9.33296455e+01  1.62171929e+02  2.91260586e+01  5.64918363e+01  1.35241811e+02 -1.05581003e+02 -1.52294517e+02  1.55281729e+02  1.14960592e+02  6.41590559e-01  2.93091038e+01 -1.05581003e+02  1.63905744e+02  1.65521125e+02  1.13619216e+01 -7.73275481e+01  1.10840641e+02  1.58094589e+02 -1.52294517e+02  1.65521125e+02  1.37032434e+02  1.10845167e+00  1.25517701e+00  5.06774743e+00  5.17894170e+00 -6.18360460e+01 -6.19520838e+01 -4.23762251e+01 -4.72113365e+01 
 1.20480000e+11 -5.05715830e-01 -6.31090078e+01 -6.00471752e+01 -5.89354428e+01 -5.89096119e+01 -6.01681144e+01 -6.34544472e+01 -6.31090079e+01 -1.06450906e+01 -8.72702776e+00 -1.38075382e+01 -1.25796864e+01 -7.38888141e+00 -4.51083790e+00 -6.00471753e+01 -8.72702776e+00 -8.73834008e+00 -4.52226183e+00 -1.96928013e+01 -1.46286141e+01 -7.53485899e+00 -5.89354429e+01 -1.38075383e+01 -4.52226185e+00 -4.29671134e+00 -3.41514771e+01 -1.97170764e+01 -1.27482141e+01 -5.89096120e+01 -1.25796864e+01 -1.96928013e+01 -3.41514771e+01 -4.27579842e+00 -4.53308514e+00 -1.41657984e+01 -6.01681145e+01 -7.38888141e+00 -1.46286141e+01 -1.97170764e+01 -4.53308513e+00 -8.53179525e+00 -9.07374806e+00 -6.34544473e+01 -4.51083790e+00 -7.53485901e+00 -1.27482141e+01 -1.41657984e+01 -9.07374808e+00 -9.60085160e+00 -1.63453310e+02  1.41859883e+01  1.55227496e+02  9.33545040e+01  9.30452118e+01  1.55036798e+02  1.10404443e+01  1.41859890e+01  1.51027746e+02  1.66581432e+02 -1.50949209e+02  1.62062505e+02  1.14768448e+02 -7.74494433e+01  1.55227497e+02  1.66581432e+02  1.65585581e+02 -1.04993467e+02  2.90083005e+01  4.08809738e-01  1.10647074e+02  9.33545046e+01 -1.50949209e+02 -1.04993467e+02  1.34749691e+02  5.66122330e+01  2.91917149e+01  1.57983929e+02  9.30452124e+01  1.62062505e+02  2.90083007e+01  5.66122334e+01  1.35116814e+02 -1.05720550e+02 -1.52340026e+02  1.55036799e+02  1.14768448e+02  4.08809911e-01  2.91917150e+01 -1.05720550e+02  1.63859157e+02  1.65382086e+02  1.10404450e+01 -7.74494432e+01  1.10647074e+02  1.57983929e+02 -1.52340027e+02  1.65382086e+02  1.37007184e+02  1.11173243e+00  1.25850248e+00  5.08051049e+00  5.19080504e+00 -6.18729924e+01 -6.19915866e+01 -4.24693585e+01 -4.72940574e+01 
 1.20560000e+11 -5.06765194e-01 -6.30713563e+01 -5.99985345e+01 -5.88835140e+01 -5.88577730e+01 -6.01196071e+01 -6.34171609e+01 -6.30713565e+01 -1.06435012e+01 -8.72732832e+00 -1.38205927e+01 -1.25849857e+01 -7.38232227e+00 -4.51101668e+00 -5.99985346e+01 -8.72732832e+00 -8.73394649e+00 -4.52512718e+00 -1.97112958e+01 -1.46385179e+01 -7.52849034e+00 -5.88835142e+01 -1.38205927e+01 -4.52512719e+00 -4.29202949e+00 -3.41989246e+01 -1.97354761e+01 -1.27536472e+01 -5.88577731e+01 -1.25849857e+01 -1.97112958e+01 -3.41989246e+01 -4.27114799e+00 -4.53610318e+00 -1.41788468e+01 -6.01196072e+01 -7.38232227e+00 -1.46385179e+01 -1.97354761e+01 -4.53610317e+00 -8.52835433e+00 -9.07395499e+00 -6.34171610e+01 -4.51101669e+00 -7.52849037e+00 -1.27536472e+01 -1.41788468e+01 -9.07395500e+00 -9.59972992e+00 -1.63541123e+02  1.38636770e+01  1.54979741e+02  9.30697075e+01  9.27605855e+01  1.54791773e+02  1.07189327e+01  1.38636777e+01  1.51021448e+02  1.66437534e+02 -1.50999583e+02  1.61953370e+02  1.14576289e+02 -7.75714342e+01  1.54979742e+02  1.66437534e+02  1.65547301e+02 -1.05132756e+02  2.88911852e+01  1.76042290e-01  1.10453498e+02  9.30697082e+01 -1.50999583e+02 -1.05132756e+02  1.34624821e+02  5.67359596e+01  2.90749626e+01  1.57873560e+02  9.27605861e+01  1.61953370e+02  2.88911855e+01  5.67359599e+01  1.34991498e+02 -1.05860284e+02 -1.52385007e+02  1.54791773e+02  1.14576289e+02  1.76042463e-01  2.90749627e+01 -1.05860284e+02  1.63812368e+02  1.65243177e+02  1.07189334e+01 -7.75714342e+01  1.10453498e+02  1.57873560e+02 -1.52385007e+02  1.65243177e+02  1.36981519e+02  1.11502046e+00  1.26183408e+00  5.09326439e+00  5.20266342e+00 -6.19100338e+01 -6.20311871e+01 -4.25628834e+01 -4.73770811e+01 
 1.20640000e+11 -5.07819816e-01 -6.30334719e+01 -5.99496594e+01 -5.88313437e+01 -5.88056921e+01 -6.00708639e+01 -6.33796406e+01 -6.30334720e+01 -1.06418988e+01 -8.72762818e+00 -1.38336370e+01 -1.25902789e+01 -7.37576225e+00 -4.51122473e+00 -5.99496595e+01 -8.72762817e+00 -8.72957672e+00 -4.52800870e+00 -1.97297913e+01 -1.46484303e+01 -7.52212112e+00 -5.88313438e+01 -1.38336370e+01 -4.52800871e+00 -4.28736560e+00 -3.42460227e+01 -1.97538763e+01 -1.27590741e+01 -5.88056922e+01 -1.25902790e+01 -1.97297914e+01 -3.42460227e+01 -4.26651621e+00 -4.53913675e+00 -1.41918799e+01 -6.00708640e+01 -7.37576225e+00 -1.46484303e+01 -1.97538763e+01 -4.53913674e+00 -8.52494320e+00 -9.07415676e+00 -6.33796408e+01 -4.51122474e+00 -7.52212114e+00 -1.27590741e+01 -1.41918799e+01 -9.07415677e+00 -9.59859893e+00 -1.63629041e+02  1.35413200e+01  1.54731886e+02  9.27847154e+01  9.24757648e+01  1.54546651e+02  1.03973848e+01  1.35413206e+01  1.51014647e+02  1.66293760e+02 -1.51049439e+02  1.61844524e+02  1.14384115e+02 -7.76935209e+01  1.54731887e+02  1.66293760e+02  1.65508801e+02 -1.05272232e+02  2.87747162e+01 -5.67129890e-02  1.10259912e+02  9.27847160e+01 -1.51049439e+02 -1.05272232e+02  1.34499627e+02  5.68630104e+01  2.89588502e+01  1.57763483e+02  9.24757654e+01  1.61844524e+02  2.87747165e+01  5.68630107e+01  1.34865864e+02 -1.06000204e+02 -1.52429458e+02  1.54546651e+02  1.14384115e+02 -5.67128159e-02  2.89588503e+01 -1.06000205e+02  1.63765378e+02  1.65104398e+02  1.03973855e+01 -7.76935208e+01  1.10259912e+02  1.57763483e+02 -1.52429458e+02  1.65104398e+02  1.36955440e+02  1.11831566e+00  1.26517174e+00  5.10600884e+00  5.21451671e+00 -6.19471706e+01 -6.20708857e+01 -4.26568016e+01 -4.74604086e+01 
 1.20720000e+11 -5.08879739e-01 -6.29953536e+01 -5.99005490e+01 -5.87789310e+01 -5.87533684e+01 -6.00218838e+01 -6.33418857e+01 -6.29953537e+01 -1.06402838e+01 -8.72792719e+00 -1.38466707e+01 -1.25955660e+01 -7.36920127e+00 -4.51146207e+00 -5.99005491e+01 -8.72792718e+00 -8.72523094e+00 -4.53090647e+00 -1.97482876e+01 -1.46583514e+01 -7.51575123e+00 -5.87789311e+01 -1.38466707e+01 -4.53090648e+00 -4.28271967e+00 -3.42927587e+01 -1.97722765e+01 -1.27644946e+01 -5.87533686e+01 -1.25955660e+01 -1.97482876e+01 -3.42927588e+01 -4.26190309e+00 -4.54218594e+00 -1.42048974e+01 -6.00218839e+01 -7.36920127e+00 -1.46583514e+01 -1.97722765e+01 -4.54218593e+00 -8.52156201e+00 -9.07435321e+00 -6.33418858e+01 -4.51146208e+00 -7.51575125e+00 -1.27644947e+01 -1.42048974e+01 -9.07435323e+00 -9.59745906e+00 -1.63717062e+02  1.32189159e+01  1.54483930e+02  9.24995263e+01  9.21907488e+01  1.54301431e+02  1.00757994e+01  1.32189165e+01  1.51007340e+02  1.66150109e+02 -1.51098776e+02  1.61735967e+02  1.14191926e+02 -7.78157031e+01  1.54483930e+02  1.66150109e+02  1.65470081e+02 -1.05411896e+02  2.86588972e+01 -2.89457141e-01  1.10066318e+02  9.24995270e+01 -1.51098776e+02 -1.05411896e+02  1.34374109e+02  5.69933781e+01  2.88433814e+01  1.57653698e+02  9.21907494e+01  1.61735967e+02  2.86588974e+01  5.69933784e+01  1.34739909e+02 -1.06140314e+02 -1.52473377e+02  1.54301432e+02  1.14191926e+02 -2.89456967e-01  2.88433815e+01 -1.06140314e+02  1.63718188e+02  1.64965749e+02  1.00758001e+01 -7.78157030e+01  1.10066318e+02  1.57653698e+02 -1.52473377e+02  1.64965749e+02  1.36928945e+02  1.12161792e+00  1.26851534e+00  5.11874356e+00  5.22636476e+00 -6.19844032e+01 -6.21106826e+01 -4.27511146e+01 -4.75440407e+01 
