       frequency          s11_db          s12_db          s13_db          s14_db          s15_db          s16_db          s17_db          s21_db          s22_db          s23_db          s24_db          s25_db          s26_db          s27_db          s31_db          s32_db          s33_db          s34_db          s35_db          s36_db          s37_db          s41_db          s42_db          s43_db          s44_db          s45_db          s46_db          s47_db          s51_db          s52_db          s53_db          s54_db          s55_db          s56_db          s57_db          s61_db          s62_db          s63_db          s64_db          s65_db          s66_db          s67_db          s71_db          s72_db          s73_db          s74_db          s75_db          s76_db          s77_db         s11_deg         s12_deg         s13_deg         s14_deg         s15_deg         s16_deg         s17_deg         s21_deg         s22_deg         s23_deg         s24_deg         s25_deg         s26_deg         s27_deg         s31_deg         s32_deg         s33_deg         s34_deg         s35_deg         s36_deg         s37_deg         s41_deg         s42_deg         s43_deg         s44_deg         s45_deg         s46_deg         s47_deg         s51_deg         s52_deg         s53_deg         s54_deg         s55_deg         s56_deg         s57_deg         s61_deg         s62_deg         s63_deg         s64_deg         s65_deg         s66_deg         s67_deg         s71_deg         s72_deg         s73_deg         s74_deg         s75_deg         s76_deg         s77_deg
  1.20000000e+11 -4.99527668e-01 -6.33300729e+01 -6.03341493e+01 -5.92419890e+01 -5.92156106e+01 -6.04542560e+01 -6.36733032e+01 -6.33300730e+01 -1.06543178e+01 -8.72521771e+00 -1.37290217e+01 -1.25477774e+01 -7.42822198e+00 -4.51037751e+00 -6.03341494e+01 -8.72521770e+00 -8.76519303e+00 -4.50540527e+00 -1.95818751e+01 -1.45693696e+01 -7.57306313e+00 -5.92419892e+01 -1.37290217e+01 -4.50540528e+00 -4.32517982e+00 -3.38601384e+01 -1.96067067e+01 -1.27154994e+01 -5.92156107e+01 -1.25477774e+01 -1.95818751e+01 -3.38601385e+01 -4.30409328e+00 -4.51529910e+00 -1.40872130e+01 -6.04542561e+01 -7.42822198e+00 -1.45693696e+01 -1.96067066e+01 -4.51529909e+00 -8.55305832e+00 -9.07240714e+00 -6.36733033e+01 -4.51037752e+00 -7.57306315e+00 -1.27154994e+01 -1.40872130e+01 -9.07240715e+00 -9.60736075e+00 -1.62928571e+02  1.61189618e+01  1.56711963e+02  9.50592320e+01  9.47489507e+01  1.56504977e+02  1.29688184e+01  1.61189625e+01  1.51055043e+02  1.67447447e+02 -1.50636180e+02  1.62723352e+02  1.15921106e+02 -7.67195162e+01  1.56711964e+02  1.67447447e+02  1.65810598e+02 -1.04161586e+02  2.97243629e+01  1.80572700e+00  1.11808352e+02  9.50592327e+01 -1.50636180e+02 -1.04161586e+02  1.35492178e+02  5.59398505e+01  2.99054729e+01  1.58652247e+02  9.47489513e+01  1.62723352e+02  2.97243631e+01  5.59398508e+01  1.35862055e+02 -1.04886023e+02 -1.52059086e+02  1.56504977e+02  1.15921106e+02  1.80572717e+00  2.99054729e+01 -1.04886023e+02  1.64135628e+02  1.66218287e+02  1.29688191e+01 -7.67195161e+01  1.11808352e+02  1.58652247e+02 -1.52059086e+02  1.66218287e+02  1.37152536e+02
  1.20079920e+11 -5.00545358e-01 -6.32938374e+01 -6.02869428e+01 -5.91915428e+01 -5.91652566e+01 -6.04071919e+01 -6.36374377e+01 -6.32938375e+01 -1.06528213e+01 -8.72551916e+00 -1.37421153e+01 -1.25531027e+01 -7.42167308e+00 -4.51038152e+00 -6.02869429e+01 -8.72551915e+00 -8.76066435e+00 -4.50817236e+00 -1.96003378e+01 -1.45792127e+01 -7.56670265e+00 -5.91915430e+01 -1.37421153e+01 -4.50817237e+00 -4.32039490e+00 -3.39093783e+01 -1.96250782e+01 -1.27209592e+01 -5.91652567e+01 -1.25531027e+01 -1.96003378e+01 -3.39093783e+01 -4.29933548e+00 -4.51822252e+00 -1.41003304e+01 -6.04071920e+01 -7.42167308e+00 -1.45792127e+01 -1.96250782e+01 -4.51822251e+00 -8.54944531e+00 -9.07264143e+00 -6.36374378e+01 -4.51038152e+00 -7.56670268e+00 -1.27209592e+01 -1.41003304e+01 -9.07264144e+00 -9.60630550e+00 -1.63015690e+02  1.57972221e+01  1.56465041e+02  9.47758713e+01  9.44657508e+01  1.56260756e+02  1.26478210e+01  1.57972228e+01  1.51051737e+02  1.67302942e+02 -1.50689575e+02  1.62612605e+02  1.15729221e+02 -7.68408083e+01  1.56465042e+02  1.67302942e+02  1.65773690e+02 -1.04299641e+02  2.96035655e+01  1.57309787e+00  1.11615018e+02  9.47758720e+01 -1.50689575e+02 -1.04299641e+02  1.35369350e+02  5.60434788e+01  2.97850738e+01  1.58540248e+02  9.44657514e+01  1.62612605e+02  2.96035657e+01  5.60434791e+01  1.35738759e+02 -1.05024517e+02 -1.52107171e+02  1.56260757e+02  1.15729221e+02  1.57309804e+00  2.97850739e+01 -1.05024517e+02  1.64090106e+02  1.66078730e+02  1.26478217e+01 -7.68408082e+01  1.11615018e+02  1.58540248e+02 -1.52107171e+02  1.66078730e+02  1.37129354e+02
  1.20159840e+11 -5.01568043e-01 -6.32573746e+01 -6.02395079e+01 -5.91408605e+01 -5.91146660e+01 -6.03598979e+01 -6.36013440e+01 -6.32573747e+01 -1.06513080e+01 -8.72582077e+00 -1.37552011e+01 -1.25584233e+01 -7.41512376e+00 -4.51041450e+00 -6.02395080e+01 -8.72582076e+00 -8.75615850e+00 -4.51095514e+00 -1.96188035e+01 -1.45890643e+01 -7.56034208e+00 -5.91408606e+01 -1.37552011e+01 -4.51095515e+00 -4.31562793e+00 -3.39583413e+01 -1.96434522e+01 -1.27264142e+01 -5.91146661e+01 -1.25584233e+01 -1.96188036e+01 -3.39583413e+01 -4.29459635e+00 -4.52116101e+00 -1.41134352e+01 -6.03598980e+01 -7.41512376e+00 -1.45890643e+01 -1.96434522e+01 -4.52116100e+00 -8.54586114e+00 -9.07287152e+00 -6.36013441e+01 -4.51041450e+00 -7.56034210e+00 -1.27264142e+01 -1.41134352e+01 -9.07287154e+00 -9.60523825e+00 -1.63102907e+02  1.54754436e+01  1.56218023e+02  9.44923214e+01  9.41823633e+01  1.56016444e+02  1.23267941e+01  1.54754443e+01  1.51047939e+02  1.67158563e+02 -1.50742463e+02  1.62502144e+02  1.15537324e+02 -7.69621968e+01  1.56218024e+02  1.67158563e+02  1.65736559e+02 -1.04437875e+02  2.94833919e+01  1.34048690e+00  1.11421678e+02  9.44923221e+01 -1.50742463e+02 -1.04437875e+02  1.35246206e+02  5.61504295e+01  2.96652928e+01  1.58428538e+02  9.41823639e+01  1.62502144e+02  2.94833921e+01  5.61504299e+01  1.35615150e+02 -1.05163191e+02 -1.52154735e+02  1.56016445e+02  1.15537324e+02  1.34048707e+00  2.96652929e+01 -1.05163191e+02  1.64044379e+02  1.65939306e+02  1.23267949e+01 -7.69621967e+01  1.11421678e+02  1.58428538e+02 -1.52154735e+02  1.65939306e+02  1.37105768e+02
  1.20239760e+11 -5.02595764e-01 -6.32206836e+01 -6.01918437e+01 -5.90899412e+01 -5.90638380e+01 -6.03123731e+01 -6.35650212e+01 -6.32206837e+01 -1.06497787e+01 -8.72612240e+00 -1.37682790e+01 -1.25637390e+01 -7.40857394e+00 -4.51047649e+00 -6.01918438e+01 -8.72612239e+00 -8.75167562e+00 -4.51375369e+00 -1.96372720e+01 -1.45989242e+01 -7.55398132e+00 -5.90899413e+01 -1.37682790e+01 -4.51375370e+00 -4.31087890e+00 -3.40070159e+01 -1.96618283e+01 -1.27318641e+01 -5.90638382e+01 -1.25637391e+01 -1.96372720e+01 -3.40070159e+01 -4.28987588e+00 -4.52411464e+00 -1.41265270e+01 -6.03123732e+01 -7.40857394e+00 -1.45989242e+01 -1.96618283e+01 -4.52411463e+00 -8.54230598e+00 -9.07309727e+00 -6.35650213e+01 -4.51047650e+00 -7.55398135e+00 -1.27318641e+01 -1.41265270e+01 -9.07309728e+00 -9.60415946e+00 -1.63190225e+02  1.51536253e+01  1.55970909e+02  9.42085813e+01  9.38987872e+01  1.55772040e+02  1.20057368e+01  1.51536259e+01  1.51043646e+02  1.67014309e+02 -1.50794841e+02  1.62391968e+02  1.15345414e+02 -7.70836817e+01  1.55970910e+02  1.67014309e+02  1.65699204e+02 -1.04576291e+02  2.93638454e+01  1.10789312e+00  1.11228329e+02  9.42085820e+01 -1.50794841e+02 -1.04576291e+02  1.35122744e+02  5.62607062e+01  2.95461332e+01  1.58317117e+02  9.38987878e+01  1.62391968e+02  2.93638457e+01  5.62607066e+01  1.35491227e+02 -1.05302046e+02 -1.52201777e+02  1.55772040e+02  1.15345414e+02  1.10789329e+00  2.95461332e+01 -1.05302047e+02  1.63998448e+02  1.65800013e+02  1.20057376e+01 -7.70836816e+01  1.11228329e+02  1.58317117e+02 -1.52201777e+02  1.65800013e+02  1.37081774e+02
  1.20319680e+11 -5.03628562e-01 -6.31837635e+01 -6.01439493e+01 -5.90387841e+01 -5.90127719e+01 -6.02646165e+01 -6.35284685e+01 -6.31837636e+01 -1.06482338e+01 -8.72642391e+00 -1.37813483e+01 -1.25690496e+01 -7.40202354e+00 -4.51056753e+00 -6.01439494e+01 -8.72642390e+00 -8.74721589e+00 -4.51656809e+00 -1.96557428e+01 -1.46087926e+01 -7.54762030e+00 -5.90387842e+01 -1.37813483e+01 -4.51656810e+00 -4.30614782e+00 -3.40553904e+01 -1.96802062e+01 -1.27373088e+01 -5.90127720e+01 -1.25690496e+01 -1.96557429e+01 -3.40553905e+01 -4.28517406e+00 -4.52708349e+00 -1.41396054e+01 -6.02646166e+01 -7.40202354e+00 -1.46087926e+01 -1.96802062e+01 -4.52708347e+00 -8.53877996e+00 -9.07331850e+00 -6.35284687e+01 -4.51056754e+00 -7.54762033e+00 -1.27373088e+01 -1.41396054e+01 -9.07331852e+00 -9.60306957e+00 -1.63277643e+02  1.48317660e+01  1.55723698e+02  9.39246502e+01  9.36150215e+01  1.55527543e+02  1.16846480e+01  1.48317667e+01  1.51038857e+02  1.66870180e+02 -1.50846709e+02  1.62282079e+02  1.15153490e+02 -7.72052627e+01  1.55723698e+02  1.66870180e+02  1.65661628e+02 -1.04714888e+02  2.92449297e+01  8.75315536e-01  1.11034972e+02  9.39246508e+01 -1.50846709e+02 -1.04714888e+02  1.34998962e+02  5.63743107e+01  2.94275983e+01  1.58205985e+02  9.36150221e+01  1.62282079e+02  2.92449299e+01  5.63743110e+01  1.35366988e+02 -1.05441085e+02 -1.52248295e+02  1.55527543e+02  1.15153490e+02  8.75315708e-01  2.94275984e+01 -1.05441085e+02  1.63952313e+02  1.65660851e+02  1.16846487e+01 -7.72052626e+01  1.11034972e+02  1.58205985e+02 -1.52248295e+02  1.65660851e+02  1.37057372e+02
  1.20399600e+11 -5.04666479e-01 -6.31466135e+01 -6.00958237e+01 -5.89873884e+01 -5.89614668e+01 -6.02166272e+01 -6.34916851e+01 -6.31466136e+01 -1.06466741e+01 -8.72672514e+00 -1.37944088e+01 -1.25743549e+01 -7.39547249e+00 -4.51068766e+00 -6.00958238e+01 -8.72672513e+00 -8.74277946e+00 -4.51939840e+00 -1.96742158e+01 -1.46186694e+01 -7.54125894e+00 -5.89873885e+01 -1.37944088e+01 -4.51939841e+00 -4.30143468e+00 -3.41034530e+01 -1.96985856e+01 -1.27427480e+01 -5.89614669e+01 -1.25743549e+01 -1.96742158e+01 -3.41034531e+01 -4.28049089e+00 -4.53006761e+00 -1.41526699e+01 -6.02166274e+01 -7.39547250e+00 -1.46186694e+01 -1.96985856e+01 -4.53006760e+00 -8.53528324e+00 -9.07353507e+00 -6.34916852e+01 -4.51068767e+00 -7.54125897e+00 -1.27427480e+01 -1.41526699e+01 -9.07353508e+00 -9.60196904e+00 -1.63365162e+02  1.45098647e+01  1.55476389e+02  9.36405269e+01  9.33310652e+01  1.55282952e+02  1.13635265e+01  1.45098653e+01  1.51033569e+02  1.66726175e+02 -1.50898064e+02  1.62172476e+02  1.14961552e+02 -7.73269396e+01  1.55476389e+02  1.66726175e+02  1.65623829e+02 -1.04853668e+02  2.91266482e+01  6.42753162e-01  1.10841607e+02  9.36405275e+01 -1.50898064e+02 -1.04853668e+02  1.34874861e+02  5.64912429e+01  2.93096916e+01  1.58095143e+02  9.33310658e+01  1.62172476e+02  2.91266484e+01  5.64912433e+01  1.35242435e+02 -1.05580307e+02 -1.52294288e+02  1.55282953e+02  1.14961552e+02  6.42753334e-01  2.93096917e+01 -1.05580307e+02  1.63905976e+02  1.65521819e+02  1.13635273e+01 -7.73269395e+01  1.10841607e+02  1.58095143e+02 -1.52294289e+02  1.65521819e+02  1.37032560e+02
  1.20479520e+11 -5.05709556e-01 -6.31092328e+01 -6.00474661e+01 -5.89357533e+01 -5.89099219e+01 -6.01684044e+01 -6.34546700e+01 -6.31092329e+01 -1.06451001e+01 -8.72702596e+00 -1.38074600e+01 -1.25796546e+01 -7.38892072e+00 -4.51083691e+00 -6.00474662e+01 -8.72702595e+00 -8.73836649e+00 -4.52224471e+00 -1.96926904e+01 -1.46285547e+01 -7.53489716e+00 -5.89357534e+01 -1.38074600e+01 -4.52224472e+00 -4.29673946e+00 -3.41511916e+01 -1.97169661e+01 -1.27481815e+01 -5.89099220e+01 -1.25796547e+01 -1.96926904e+01 -3.41511917e+01 -4.27582635e+00 -4.53306710e+00 -1.41657201e+01 -6.01684045e+01 -7.38892072e+00 -1.46285547e+01 -1.97169661e+01 -4.53306709e+00 -8.53181597e+00 -9.07374681e+00 -6.34546701e+01 -4.51083692e+00 -7.53489719e+00 -1.27481816e+01 -1.41657201e+01 -9.07374682e+00 -9.60085830e+00 -1.63452784e+02  1.41879201e+01  1.55228981e+02  9.33562104e+01  9.30469172e+01  1.55038267e+02  1.10423713e+01  1.41879208e+01  1.51027782e+02  1.66582295e+02 -1.50948906e+02  1.62063160e+02  1.14769600e+02 -7.74487124e+01  1.55228982e+02  1.66582295e+02  1.65585809e+02 -1.04992632e+02  2.90090044e+01  4.10204986e-01  1.10648234e+02  9.33562111e+01 -1.50948906e+02 -1.04992632e+02  1.34750439e+02  5.66115015e+01  2.91924167e+01  1.57984591e+02  9.30469178e+01  1.62063160e+02  2.90090047e+01  5.66115018e+01  1.35117564e+02 -1.05719713e+02 -1.52339755e+02  1.55038267e+02  1.14769600e+02  4.10205159e-01  2.91924167e+01 -1.05719713e+02  1.63859437e+02  1.65382919e+02  1.10423720e+01 -7.74487123e+01  1.10648234e+02  1.57984591e+02 -1.52339755e+02  1.65382919e+02  1.37007336e+02
  1.20559441e+11 -5.06757838e-01 -6.30716205e+01 -5.99988755e+01 -5.88838780e+01 -5.88581363e+01 -6.01199471e+01 -6.34174224e+01 -6.30716206e+01 -1.06435124e+01 -8.72732622e+00 -1.38205014e+01 -1.25849486e+01 -7.38236814e+00 -4.51101533e+00 -5.99988756e+01 -8.72732622e+00 -8.73397713e+00 -4.52510708e+00 -1.97111664e+01 -1.46384486e+01 -7.52853488e+00 -5.88838781e+01 -1.38205015e+01 -4.52510709e+00 -4.29206217e+00 -3.41985940e+01 -1.97353474e+01 -1.27536092e+01 -5.88581364e+01 -1.25849487e+01 -1.97111665e+01 -3.41985940e+01 -4.27118044e+00 -4.53608202e+00 -1.41787556e+01 -6.01199472e+01 -7.38236814e+00 -1.46384486e+01 -1.97353474e+01 -4.53608201e+00 -8.52837829e+00 -9.07395356e+00 -6.34174225e+01 -4.51101534e+00 -7.52853491e+00 -1.27536092e+01 -1.41787556e+01 -9.07395357e+00 -9.59973780e+00 -1.63540509e+02  1.38659311e+01  1.54981474e+02  9.30716998e+01  9.27625765e+01  1.54793486e+02  1.07211811e+01  1.38659318e+01  1.51021494e+02  1.66438540e+02 -1.50999232e+02  1.61954132e+02  1.14577633e+02 -7.75705808e+01  1.54981475e+02  1.66438540e+02  1.65547569e+02 -1.05131782e+02  2.88920020e+01  1.77669991e-01  1.10454851e+02  9.30717004e+01 -1.50999232e+02 -1.05131782e+02  1.34625695e+02  5.67350828e+01  2.90757768e+01  1.57874330e+02  9.27625771e+01  1.61954132e+02  2.88920022e+01  5.67350832e+01  1.34992376e+02 -1.05859306e+02 -1.52384694e+02  1.54793487e+02  1.14577633e+02  1.77670164e-01  2.90757769e+01 -1.05859306e+02  1.63812696e+02  1.65244148e+02  1.07211818e+01 -7.75705807e+01  1.10454851e+02  1.57874330e+02 -1.52384695e+02  1.65244148e+02  1.36981700e+02
  1.20639361e+11 -5.07811366e-01 -6.30337756e+01 -5.99500509e+01 -5.88317616e+01 -5.88061093e+01 -6.00712543e+01 -6.33799414e+01 -6.30337757e+01 -1.06419116e+01 -8.72762579e+00 -1.38335328e+01 -1.25902367e+01 -7.37581468e+00 -4.51122295e+00 -5.99500510e+01 -8.72762578e+00 -8.72961155e+00 -4.52798560e+00 -1.97296435e+01 -1.46483511e+01 -7.52217202e+00 -5.88317617e+01 -1.38335328e+01 -4.52798561e+00 -4.28740281e+00 -3.42456477e+01 -1.97537292e+01 -1.27590307e+01 -5.88061094e+01 -1.25902367e+01 -1.97296435e+01 -3.42456477e+01 -4.26655316e+00 -4.53911245e+00 -1.41917758e+01 -6.00712545e+01 -7.37581468e+00 -1.46483511e+01 -1.97537292e+01 -4.53911243e+00 -8.52497034e+00 -9.07415516e+00 -6.33799416e+01 -4.51122296e+00 -7.52217205e+00 -1.27590307e+01 -1.41917758e+01 -9.07415518e+00 -9.59860800e+00 -1.63628338e+02  1.35438964e+01  1.54733867e+02  9.27869938e+01  9.24780419e+01  1.54548610e+02  1.03999547e+01  1.35438971e+01  1.51014703e+02  1.66294908e+02 -1.51049043e+02  1.61845392e+02  1.14385651e+02 -7.76925448e+01  1.54733868e+02  1.66294908e+02  1.65509109e+02 -1.05271117e+02  2.87756445e+01 -5.48528524e-02  1.10261460e+02  9.27869944e+01 -1.51049043e+02 -1.05271117e+02  1.34500629e+02  5.68619818e+01  2.89597757e+01  1.57764361e+02  9.24780425e+01  1.61845393e+02  2.87756447e+01  5.68619822e+01  1.34866869e+02 -1.05999085e+02 -1.52429105e+02  1.54548611e+02  1.14385651e+02 -5.48526793e-02  2.89597757e+01 -1.05999086e+02  1.63765755e+02  1.65105507e+02  1.03999555e+01 -7.76925447e+01  1.10261460e+02  1.57764361e+02 -1.52429105e+02  1.65105507e+02  1.36955650e+02
  1.20719281e+11 -5.08870185e-01 -6.29956974e+01 -5.99009916e+01 -5.87794033e+01 -5.87538400e+01 -6.00223252e+01 -6.33422262e+01 -6.29956975e+01 -1.06402984e+01 -8.72792451e+00 -1.38465536e+01 -1.25955185e+01 -7.36926026e+00 -4.51145981e+00 -5.99009917e+01 -8.72792450e+00 -8.72526990e+00 -4.53088034e+00 -1.97481213e+01 -1.46582621e+01 -7.51580850e+00 -5.87794035e+01 -1.38465536e+01 -4.53088036e+00 -4.28276136e+00 -3.42923402e+01 -1.97721111e+01 -1.27644459e+01 -5.87538401e+01 -1.25955185e+01 -1.97481213e+01 -3.42923402e+01 -4.26194448e+00 -4.54215845e+00 -1.42047804e+01 -6.00223253e+01 -7.36926026e+00 -1.46582621e+01 -1.97721111e+01 -4.54215844e+00 -8.52159228e+00 -9.07435147e+00 -6.33422263e+01 -4.51145981e+00 -7.51580853e+00 -1.27644459e+01 -1.42047804e+01 -9.07435148e+00 -9.59746934e+00 -1.63716271e+02  1.32218148e+01  1.54486159e+02  9.25020914e+01  9.21933122e+01  1.54303637e+02  1.00786909e+01  1.32218155e+01  1.51007408e+02  1.66151400e+02 -1.51098335e+02  1.61736941e+02  1.14193654e+02 -7.78146042e+01  1.54486160e+02  1.66151400e+02  1.65470430e+02 -1.05410639e+02  2.86599356e+01 -2.87364583e-01  1.10068058e+02  9.25020920e+01 -1.51098335e+02 -1.05410639e+02  1.34375239e+02  5.69921912e+01  2.88444167e+01  1.57654684e+02  9.21933128e+01  1.61736941e+02  2.86599358e+01  5.69921915e+01  1.34741043e+02 -1.06139053e+02 -1.52472984e+02  1.54303637e+02  1.14193654e+02 -2.87364409e-01  2.88444168e+01 -1.06139053e+02  1.63718613e+02  1.64966995e+02  1.00786916e+01 -7.78146041e+01  1.10068058e+02  1.57654684e+02 -1.52472985e+02  1.64966995e+02  1.36929185e+02
