plo_dbm,nf_dsb_db,nf_dsb_nopnp_db,g_usb
-5.602060e+01,8.688406e+01,8.355095e+01,1.150300e-06
-5.270889e+01,8.357226e+01,8.023916e+01,2.465987e-06
-4.939717e+01,8.026049e+01,7.692739e+01,5.286493e-06
-4.608546e+01,7.694870e+01,7.361560e+01,1.133304e-05
-4.277375e+01,7.363683e+01,7.030373e+01,2.429595e-05
-3.946203e+01,7.032477e+01,6.699167e+01,5.208821e-05
-3.615032e+01,6.701233e+01,6.367923e+01,1.116822e-04
-3.283860e+01,6.369906e+01,6.036596e+01,2.395031e-04
-2.952689e+01,6.038405e+01,5.705095e+01,5.138212e-04
-2.621518e+01,5.705602e+01,5.372292e+01,1.105645e-03
-2.290346e+01,5.372011e+01,5.038703e+01,2.383456e-03
-1.959175e+01,5.036217e+01,4.702911e+01,5.164207e-03
-1.628004e+01,4.697611e+01,4.364311e+01,1.126197e-02
-1.296832e+01,4.360620e+01,4.027332e+01,2.446896e-02
-9.656608e+00,4.050212e+01,3.716946e+01,5.000845e-02
-6.344894e+00,3.821952e+01,3.488717e+01,8.459218e-02
-3.033180e+00,3.688818e+01,3.355611e+01,1.149443e-01
2.785334e-01,3.555731e+01,3.222560e+01,1.561731e-01
3.590247e+00,2.976238e+01,2.643457e+01,5.935225e-01
6.901961e+00,2.900733e+01,2.568053e+01,7.063656e-01
