plo_dbm,nf_dsb_db,nf_dsb_nopnp_db,g_usb
-5.602060e+01,7.101989e+01,6.752421e+01,3.481630e-05
-5.270889e+01,6.771293e+01,6.421725e+01,7.455528e-05
-4.939717e+01,6.440108e+01,6.090540e+01,1.598320e-04
-4.608546e+01,6.108976e+01,5.759409e+01,3.426063e-04
-4.277375e+01,5.777891e+01,5.428324e+01,7.343134e-04
-3.946203e+01,5.446903e+01,5.097337e+01,1.573512e-03
-3.615032e+01,5.116125e+01,4.766561e+01,3.370153e-03
-3.283860e+01,4.785946e+01,4.436387e+01,7.208301e-03
-2.952689e+01,4.456744e+01,4.107195e+01,1.538306e-02
-2.621518e+01,4.129764e+01,3.780236e+01,3.266180e-02
-2.290346e+01,3.807437e+01,3.457953e+01,6.861233e-02
-1.959175e+01,3.494610e+01,3.145214e+01,1.410263e-01
-1.628004e+01,3.200177e+01,2.850947e+01,2.778873e-01
-1.296832e+01,2.937852e+01,2.588904e+01,5.086517e-01
-9.656608e+00,2.722450e+01,2.373898e+01,8.358822e-01
-6.344894e+00,2.562534e+01,2.214434e+01,1.209007e+00
-3.033180e+00,2.454773e+01,2.107086e+01,1.550690e+00
2.785334e-01,2.390792e+01,2.043402e+01,1.797834e+00
3.590247e+00,2.351221e+01,2.004039e+01,1.970104e+00
6.901961e+00,2.330107e+01,1.983043e+01,2.068713e+00
