plo_dbm,nf_dsb_db,nf_dsb_nopnp_db,g_usb
-5.602060e+01,8.776646e+01,8.455678e+01,5.841426e-07
-5.270889e+01,8.445467e+01,8.124499e+01,1.252269e-06
-4.939717e+01,8.114291e+01,7.793323e+01,2.684565e-06
-4.608546e+01,7.783113e+01,7.462145e+01,5.755082e-06
-4.277375e+01,7.451928e+01,7.130961e+01,1.233776e-05
-3.946203e+01,7.120728e+01,6.799761e+01,2.645064e-05
-3.615032e+01,6.789496e+01,6.468529e+01,5.671116e-05
-3.283860e+01,6.458195e+01,6.137227e+01,1.216102e-04
-2.952689e+01,6.126748e+01,5.805781e+01,2.608653e-04
-2.621518e+01,5.794143e+01,5.473177e+01,5.610760e-04
-2.290346e+01,5.460872e+01,5.139907e+01,1.208630e-03
-1.959175e+01,5.125674e+01,4.804710e+01,2.615133e-03
-1.628004e+01,4.787960e+01,4.467000e+01,5.691300e-03
-1.296832e+01,4.451392e+01,4.130441e+01,1.235343e-02
-9.656608e+00,4.137821e+01,3.816888e+01,2.543170e-02
-6.344894e+00,3.899438e+01,3.578530e+01,4.403333e-02
-3.033180e+00,3.760805e+01,3.439920e+01,6.059471e-02
2.785334e-01,3.694740e+01,3.373869e+01,7.055244e-02
3.590247e+00,3.704791e+01,3.383918e+01,6.893800e-02
6.901961e+00,3.732919e+01,3.412039e+01,6.461387e-02
