f_hz,asd_v,beta_f_vw,nep_w,nep_nopnp_w,g_usb,g_lsb,vif_dbv,nf_dsb_db,nf_ssb_db,nf_dsb_nopnp_db
1.000000e+03,9.066254e-06,2.507852e+02,3.615147e-08,3.261359e-09,4.424662e+00,4.424662e+00,-6.700907e+01,9.365464e+01,9.666494e+01,7.276010e+01
1.121999e+03,8.559172e-06,2.507852e+02,3.412949e-08,3.078970e-09,4.424662e+00,4.424662e+00,-6.700907e+01,9.315472e+01,9.616502e+01,7.226023e+01
1.258881e+03,8.080451e-06,2.507852e+02,3.222061e-08,2.906782e-09,4.424662e+00,4.424662e+00,-6.700907e+01,9.265480e+01,9.566510e+01,7.176037e+01
1.412463e+03,7.628506e-06,2.507852e+02,3.041849e-08,2.744225e-09,4.424662e+00,4.424662e+00,-6.700907e+01,9.215488e+01,9.516518e+01,7.126052e+01
1.584781e+03,7.201838e-06,2.507852e+02,2.871716e-08,2.590761e-09,4.424662e+00,4.424662e+00,-6.700907e+01,9.165495e+01,9.466525e+01,7.076067e+01
1.778122e+03,6.799034e-06,2.507852e+02,2.711099e-08,2.445881e-09,4.424662e+00,4.424662e+00,-6.700907e+01,9.115503e+01,9.416533e+01,7.026083e+01
1.995050e+03,6.418760e-06,2.507852e+02,2.559465e-08,2.309105e-09,4.424662e+00,4.424662e+00,-6.700907e+01,9.065511e+01,9.366541e+01,6.976100e+01
2.238444e+03,6.059754e-06,2.507852e+02,2.416313e-08,2.179979e-09,4.424662e+00,4.424662e+00,-6.700907e+01,9.015519e+01,9.316549e+01,6.926117e+01
2.511531e+03,5.720828e-06,2.507852e+02,2.281167e-08,2.058076e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.965526e+01,9.266556e+01,6.876135e+01
2.817934e+03,5.400858e-06,2.507852e+02,2.153579e-08,1.942993e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.915534e+01,9.216564e+01,6.826155e+01
3.161718e+03,5.098785e-06,2.507852e+02,2.033128e-08,1.834347e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.865542e+01,9.166572e+01,6.776175e+01
3.547443e+03,4.813606e-06,2.507852e+02,1.919414e-08,1.731778e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.815550e+01,9.116580e+01,6.726197e+01
3.980226e+03,4.544378e-06,2.507852e+02,1.812060e-08,1.634948e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.765558e+01,9.066588e+01,6.676220e+01
4.465808e+03,4.290208e-06,2.507852e+02,1.710710e-08,1.543534e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.715565e+01,9.016595e+01,6.626245e+01
5.010631e+03,4.050254e-06,2.507852e+02,1.615029e-08,1.457235e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.665573e+01,8.966603e+01,6.576272e+01
5.621921e+03,3.823721e-06,2.507852e+02,1.524700e-08,1.375764e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.615581e+01,8.916611e+01,6.526300e+01
6.307787e+03,3.609858e-06,2.507852e+02,1.439422e-08,1.298851e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.565589e+01,8.866619e+01,6.476331e+01
7.077328e+03,3.407957e-06,2.507852e+02,1.358915e-08,1.226242e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.515597e+01,8.816627e+01,6.426365e+01
7.940752e+03,3.217348e-06,2.507852e+02,1.282910e-08,1.157695e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.465605e+01,8.766635e+01,6.376401e+01
8.909513e+03,3.037400e-06,2.507852e+02,1.211156e-08,1.092984e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.415613e+01,8.716643e+01,6.326441e+01
9.996461e+03,2.867517e-06,2.507852e+02,1.143416e-08,1.031895e-09,4.424662e+00,4.424662e+00,-6.700907e+01,8.365621e+01,8.666651e+01,6.276484e+01
1.121602e+04,2.707136e-06,2.507852e+02,1.079464e-08,9.742244e-10,4.424662e+00,4.424663e+00,-6.700907e+01,8.315629e+01,8.616659e+01,6.226531e+01
1.258435e+04,2.555725e-06,2.507852e+02,1.019089e-08,9.197816e-10,4.424662e+00,4.424663e+00,-6.700907e+01,8.265637e+01,8.566667e+01,6.176582e+01
1.411963e+04,2.412782e-06,2.507852e+02,9.620911e-09,8.683863e-10,4.424662e+00,4.424663e+00,-6.700907e+01,8.215645e+01,8.516675e+01,6.126639e+01
1.584220e+04,2.277835e-06,2.507852e+02,9.082811e-09,8.198682e-10,4.424662e+00,4.424663e+00,-6.700907e+01,8.165653e+01,8.466683e+01,6.076701e+01
1.777493e+04,2.150435e-06,2.507852e+02,8.574807e-09,7.740665e-10,4.424662e+00,4.424663e+00,-6.700907e+01,8.115661e+01,8.416691e+01,6.026769e+01
1.994344e+04,2.030161e-06,2.507852e+02,8.095216e-09,7.308294e-10,4.424663e+00,4.424663e+00,-6.700907e+01,8.065669e+01,8.366699e+01,5.976845e+01
2.237652e+04,1.916613e-06,2.507852e+02,7.642450e-09,6.900137e-10,4.424663e+00,4.424664e+00,-6.700907e+01,8.015678e+01,8.316708e+01,5.926928e+01
2.510642e+04,1.809417e-06,2.507852e+02,7.215007e-09,6.514842e-10,4.424663e+00,4.424664e+00,-6.700907e+01,7.965686e+01,8.266716e+01,5.877021e+01
2.816937e+04,1.708217e-06,2.507852e+02,6.811472e-09,6.151132e-10,4.424664e+00,4.424665e+00,-6.700907e+01,7.915694e+01,8.216724e+01,5.827123e+01
3.160599e+04,1.612676e-06,2.507853e+02,6.430507e-09,5.807801e-10,4.424664e+00,4.424665e+00,-6.700907e+01,7.865703e+01,8.166733e+01,5.777237e+01
3.546188e+04,1.522480e-06,2.507853e+02,6.070850e-09,5.483713e-10,4.424665e+00,4.424666e+00,-6.700907e+01,7.815711e+01,8.116741e+01,5.727363e+01
3.978818e+04,1.437328e-06,2.507853e+02,5.731310e-09,5.177794e-10,4.424666e+00,4.424667e+00,-6.700907e+01,7.765720e+01,8.066750e+01,5.677503e+01
4.464228e+04,1.356939e-06,2.507853e+02,5.410760e-09,4.889029e-10,4.424667e+00,4.424668e+00,-6.700907e+01,7.715729e+01,8.016759e+01,5.627659e+01
5.008857e+04,1.281046e-06,2.507854e+02,5.108139e-09,4.616462e-10,4.424668e+00,4.424670e+00,-6.700907e+01,7.665738e+01,7.966768e+01,5.577832e+01
5.619931e+04,1.209399e-06,2.507854e+02,4.822444e-09,4.359190e-10,4.424670e+00,4.424672e+00,-6.700907e+01,7.615747e+01,7.916777e+01,5.528025e+01
6.305555e+04,1.141758e-06,2.507855e+02,4.552729e-09,4.116361e-10,4.424672e+00,4.424674e+00,-6.700906e+01,7.565756e+01,7.866786e+01,5.478241e+01
