pin_dbm,dv_v,squarelaw_v,beta_vw,zin_re,zin_im
-7.602060e+01,1.067308e-09,1.030396e-09,4.269231e+01,5.094130e+01,-9.798172e+00
-7.358170e+01,1.826830e-09,1.806733e-09,4.167430e+01,5.094130e+01,-9.798172e+00
-7.114280e+01,3.179741e-09,3.167991e-09,4.136871e+01,5.094130e+01,-9.798172e+00
-6.870390e+01,5.551984e-09,5.554869e-09,4.119444e+01,5.094130e+01,-9.798172e+00
-6.626500e+01,9.711561e-09,9.740107e-09,4.109505e+01,5.094130e+01,-9.798172e+00
-6.382611e+01,1.700511e-08,1.707865e-08,4.103837e+01,5.094130e+01,-9.798172e+00
-6.138721e+01,2.979389e-08,2.994632e-08,4.100605e+01,5.094130e+01,-9.798172e+00
-5.894831e+01,5.221822e-08,5.250896e-08,4.098763e+01,5.094130e+01,-9.798173e+00
-5.650941e+01,9.153787e-08,9.207109e-08,4.097715e+01,5.094130e+01,-9.798174e+00
-5.407051e+01,1.604825e-07,1.614407e-07,4.097120e+01,5.094130e+01,-9.798175e+00
-5.163161e+01,2.813729e-07,2.830760e-07,4.096788e+01,5.094130e+01,-9.798177e+00
-4.919271e+01,4.933479e-07,4.963556e-07,4.096609e+01,5.094131e+01,-9.798181e+00
-4.675381e+01,8.650364e-07,8.703277e-07,4.096526e+01,5.094131e+01,-9.798189e+00
-4.431491e+01,1.516781e-06,1.526064e-06,4.096513e+01,5.094133e+01,-9.798201e+00
-4.187602e+01,2.659612e-06,2.675855e-06,4.096565e+01,5.094135e+01,-9.798224e+00
-3.943712e+01,4.663611e-06,4.691940e-06,4.096699e+01,5.094138e+01,-9.798263e+00
-3.699822e+01,8.177858e-06,8.227016e-06,4.096957e+01,5.094145e+01,-9.798331e+00
-3.455932e+01,1.434098e-05,1.442555e-05,4.097423e+01,5.094156e+01,-9.798452e+00
-3.212042e+01,2.515105e-05,2.529427e-05,4.098247e+01,5.094175e+01,-9.798662e+00
-2.968152e+01,4.411628e-05,4.435188e-05,4.099690e+01,5.094210e+01,-9.799032e+00
-2.724262e+01,7.740344e-05,7.776817e-05,4.102254e+01,5.094270e+01,-9.799679e+00
-2.480372e+01,1.358674e-04,1.363615e-04,4.106649e+01,5.094375e+01,-9.800814e+00
-2.236483e+01,2.386720e-04,2.391011e-04,4.114186e+01,5.094558e+01,-9.802799e+00
-1.992593e+01,4.197878e-04,4.192485e-04,4.126885e+01,5.094876e+01,-9.806267e+00
-1.748703e+01,7.397584e-04,7.351254e-04,4.147560e+01,5.095425e+01,-9.812302e+00
-1.504813e+01,1.306937e-03,1.288995e-03,4.178953e+01,5.096358e+01,-9.822698e+00
-1.260923e+01,2.313926e-03,2.260170e-03,4.219611e+01,5.097901e+01,-9.840185e+00
-1.017033e+01,4.088303e-03,3.963064e-03,4.251833e+01,5.100325e+01,-9.867969e+00
-7.731432e+00,7.119355e-03,6.948978e-03,4.222638e+01,5.103811e+01,-9.907128e+00
-5.292533e+00,1.197789e-02,1.218459e-02,4.051668e+01,5.108298e+01,-9.952255e+00
-2.853635e+00,1.917079e-02,2.136489e-02,3.698312e+01,5.113589e+01,-9.992399e+00
-4.147357e-01,2.906366e-02,3.746197e-02,3.197598e+01,5.119405e+01,-1.002006e+01
2.024163e+00,4.159596e-02,6.568716e-02,2.609966e+01,5.125647e+01,-1.003489e+01
4.463062e+00,5.515962e-02,1.151782e-01,1.973854e+01,5.132708e+01,-1.004105e+01
6.901961e+00,6.751489e-02,2.019576e-01,1.377855e+01,5.140713e+01,-1.004074e+01
