pin_dbm,dv_v,squarelaw_v,beta_vw,zin_re,zin_im
-7.602060e+01,1.071922e-09,1.035930e-09,4.287689e+01,4.995453e+01,-1.376712e+01
-7.358170e+01,1.836827e-09,1.816438e-09,4.190236e+01,4.995453e+01,-1.376712e+01
-7.114280e+01,3.196931e-09,3.185007e-09,4.159235e+01,4.995453e+01,-1.376712e+01
-6.870390e+01,5.581785e-09,5.584705e-09,4.141555e+01,4.995453e+01,-1.376712e+01
-6.626500e+01,9.763474e-09,9.792422e-09,4.131472e+01,4.995453e+01,-1.376712e+01
-6.382611e+01,1.709580e-08,1.717038e-08,4.125722e+01,4.995453e+01,-1.376712e+01
-6.138721e+01,2.995257e-08,3.010717e-08,4.122443e+01,4.995453e+01,-1.376712e+01
-5.894831e+01,5.249610e-08,5.279099e-08,4.120575e+01,4.995453e+01,-1.376712e+01
-5.650941e+01,9.202477e-08,9.256561e-08,4.119511e+01,4.995453e+01,-1.376713e+01
-5.407051e+01,1.613359e-07,1.623079e-07,4.118908e+01,4.995453e+01,-1.376713e+01
-5.163161e+01,2.828690e-07,2.845964e-07,4.118570e+01,4.995453e+01,-1.376713e+01
-4.919271e+01,4.959708e-07,4.990216e-07,4.118389e+01,4.995453e+01,-1.376713e+01
-4.675381e+01,8.696351e-07,8.750023e-07,4.118304e+01,4.995454e+01,-1.376714e+01
-4.431491e+01,1.524844e-06,1.534260e-06,4.118290e+01,4.995455e+01,-1.376716e+01
-4.187602e+01,2.673749e-06,2.690227e-06,4.118341e+01,4.995457e+01,-1.376718e+01
-3.943712e+01,4.688399e-06,4.717141e-06,4.118473e+01,4.995459e+01,-1.376722e+01
-3.699822e+01,8.221319e-06,8.271204e-06,4.118730e+01,4.995464e+01,-1.376730e+01
-3.455932e+01,1.441718e-05,1.450303e-05,4.119195e+01,4.995473e+01,-1.376743e+01
-3.212042e+01,2.528463e-05,2.543013e-05,4.120015e+01,4.995488e+01,-1.376766e+01
-2.968152e+01,4.435045e-05,4.459009e-05,4.121451e+01,4.995515e+01,-1.376806e+01
-2.724262e+01,7.781384e-05,7.818587e-05,4.124004e+01,4.995561e+01,-1.376877e+01
-2.480372e+01,1.365864e-04,1.370939e-04,4.128381e+01,4.995643e+01,-1.377000e+01
-2.236483e+01,2.399313e-04,2.403854e-04,4.135894e+01,4.995785e+01,-1.377217e+01
-1.992593e+01,4.219930e-04,4.215003e-04,4.148565e+01,4.996032e+01,-1.377594e+01
-1.748703e+01,7.436244e-04,7.390738e-04,4.169235e+01,4.996457e+01,-1.378251e+01
-1.504813e+01,1.313756e-03,1.295919e-03,4.200759e+01,4.997178e+01,-1.379381e+01
-1.260923e+01,2.326212e-03,2.272310e-03,4.242016e+01,4.998368e+01,-1.381280e+01
-1.017033e+01,4.111618e-03,3.984350e-03,4.276080e+01,5.000235e+01,-1.384301e+01
-7.731432e+00,7.166977e-03,6.986302e-03,4.250884e+01,5.002941e+01,-1.388593e+01
-5.292533e+00,1.207741e-02,1.225003e-02,4.085329e+01,5.006517e+01,-1.393650e+01
-2.853635e+00,1.936555e-02,2.147965e-02,3.735883e+01,5.010946e+01,-1.398390e+01
-4.147357e-01,2.940961e-02,3.766318e-02,3.235660e+01,5.016087e+01,-1.402026e+01
2.024163e+00,4.216751e-02,6.603997e-02,2.645828e+01,5.021844e+01,-1.404490e+01
4.463062e+00,5.605936e-02,1.157969e-01,2.006051e+01,5.028511e+01,-1.406233e+01
6.901961e+00,6.870901e-02,2.030424e-01,1.402225e+01,5.036210e+01,-1.407512e+01
