pin_dbm,dv_v,squarelaw_v,beta_vw,zin_re,zin_im
-7.602060e+01,5.765071e-09,6.269630e-09,2.306028e+02,2.792739e+01,-2.843207e+01
-7.358170e+01,1.054108e-08,1.099339e-08,2.404669e+02,2.792739e+01,-2.843207e+01
-7.114280e+01,1.891551e-08,1.927621e-08,2.460925e+02,2.792739e+01,-2.843207e+01
-6.870390e+01,3.359954e-08,3.379960e-08,2.493008e+02,2.792739e+01,-2.843207e+01
-6.626500e+01,5.934702e-08,5.926543e-08,2.511304e+02,2.792739e+01,-2.843207e+01
-6.382611e+01,1.044935e-07,1.039181e-07,2.521738e+02,2.792739e+01,-2.843207e+01
-6.138721e+01,1.836550e-07,1.822138e-07,2.527687e+02,2.792739e+01,-2.843207e+01
-5.894831e+01,3.224591e-07,3.195002e-07,2.531077e+02,2.792739e+01,-2.843207e+01
-5.650941e+01,5.658422e-07,5.602230e-07,2.533006e+02,2.792739e+01,-2.843208e+01
-5.407051e+01,9.925956e-07,9.823152e-07,2.534098e+02,2.792739e+01,-2.843208e+01
-5.163161e+01,1.740870e-06,1.722427e-06,2.534706e+02,2.792739e+01,-2.843209e+01
-4.919271e+01,3.052891e-06,3.020165e-06,2.535027e+02,2.792739e+01,-2.843211e+01
-4.675381e+01,5.353342e-06,5.295665e-06,2.535166e+02,2.792739e+01,-2.843214e+01
-4.431491e+01,9.386747e-06,9.285609e-06,2.535167e+02,2.792740e+01,-2.843219e+01
-4.187602e+01,1.645817e-05,1.628172e-05,2.535031e+02,2.792740e+01,-2.843228e+01
-3.943712e+01,2.885473e-05,2.854895e-05,2.534713e+02,2.792742e+01,-2.843244e+01
-3.699822e+01,5.058292e-05,5.005876e-05,2.534111e+02,2.792744e+01,-2.843272e+01
-3.455932e+01,8.865612e-05,8.777482e-05,2.533032e+02,2.792748e+01,-2.843321e+01
-3.212042e+01,1.553365e-04,1.539075e-04,2.531137e+02,2.792755e+01,-2.843407e+01
-2.968152e+01,2.720141e-04,2.698670e-04,2.527805e+02,2.792768e+01,-2.843557e+01
-2.724262e+01,4.758609e-04,4.731944e-04,2.521984e+02,2.792791e+01,-2.843819e+01
-2.480372e+01,8.310404e-04,8.297160e-04,2.511855e+02,2.792834e+01,-2.844275e+01
-2.236483e+01,1.447012e-03,1.454854e-03,2.494334e+02,2.792917e+01,-2.845065e+01
-1.992593e+01,2.506723e-03,2.550993e-03,2.464331e+02,2.793082e+01,-2.846419e+01
-1.748703e+01,4.305261e-03,4.473002e-03,2.413805e+02,2.793429e+01,-2.848707e+01
-1.504813e+01,7.290060e-03,7.843123e-03,2.331009e+02,2.794185e+01,-2.852486e+01
-1.260923e+01,1.206938e-02,1.375241e-02,2.200939e+02,2.795858e+01,-2.858538e+01
-1.017033e+01,1.931281e-02,2.411397e-02,2.008531e+02,2.799476e+01,-2.867878e+01
-7.731432e+00,2.941596e-02,4.228231e-02,1.744722e+02,2.806496e+01,-2.881522e+01
-5.292533e+00,4.181235e-02,7.413931e-02,1.414353e+02,2.818294e+01,-2.900272e+01
-2.853635e+00,5.430861e-02,1.299985e-01,1.047688e+02,2.836044e+01,-2.924755e+01
-4.147357e-01,6.460900e-02,2.279441e-01,7.108314e+01,2.860569e+01,-2.954049e+01
2.024163e+00,7.383723e-02,3.996853e-01,4.632966e+01,2.891888e+01,-2.984644e+01
4.463062e+00,8.496100e-02,7.008226e-01,3.040279e+01,2.928761e+01,-3.013253e+01
6.901961e+00,9.995310e-02,1.228847e+00,2.039859e+01,2.969376e+01,-3.038325e+01
