pin_dbm,dv_v,squarelaw_v,beta_vw,zin_re,zin_im
-7.602060e+01,1.003252e-09,9.694714e-10,4.013007e+01,4.026851e+01,-2.500860e+01
-7.358170e+01,1.718504e-09,1.699906e-09,3.920313e+01,4.026851e+01,-2.500860e+01
-7.114280e+01,2.991546e-09,2.980676e-09,3.892027e+01,4.026851e+01,-2.500860e+01
-6.870390e+01,5.223743e-09,5.226424e-09,3.875896e+01,4.026851e+01,-2.500860e+01
-6.626500e+01,9.137758e-09,9.164200e-09,3.866697e+01,4.026851e+01,-2.500860e+01
-6.382611e+01,1.600073e-08,1.606884e-08,3.861451e+01,4.026851e+01,-2.500860e+01
-6.138721e+01,2.803453e-08,2.817567e-08,3.858459e+01,4.026851e+01,-2.500860e+01
-5.894831e+01,4.913502e-08,4.940424e-08,3.856754e+01,4.026851e+01,-2.500860e+01
-5.650941e+01,8.613343e-08,8.662716e-08,3.855784e+01,4.026851e+01,-2.500860e+01
-5.407051e+01,1.510079e-07,1.518952e-07,3.855233e+01,4.026851e+01,-2.500860e+01
-5.163161e+01,2.647614e-07,2.663384e-07,3.854925e+01,4.026851e+01,-2.500860e+01
-4.919271e+01,4.642222e-07,4.670074e-07,3.854758e+01,4.026851e+01,-2.500860e+01
-4.675381e+01,8.139673e-07,8.188675e-07,3.854680e+01,4.026851e+01,-2.500861e+01
-4.431491e+01,1.427234e-06,1.435832e-06,3.854665e+01,4.026851e+01,-2.500862e+01
-4.187602e+01,2.502591e-06,2.517639e-06,3.854708e+01,4.026851e+01,-2.500865e+01
-3.943712e+01,4.388263e-06,4.414518e-06,3.854822e+01,4.026851e+01,-2.500869e+01
-3.699822e+01,7.694984e-06,7.740574e-06,3.855046e+01,4.026852e+01,-2.500875e+01
-3.455932e+01,1.349408e-05,1.357260e-05,3.855450e+01,4.026852e+01,-2.500887e+01
-3.212042e+01,2.366538e-05,2.379868e-05,3.856165e+01,4.026852e+01,-2.500908e+01
-2.968152e+01,4.150921e-05,4.172947e-05,3.857418e+01,4.026852e+01,-2.500944e+01
-2.724262e+01,7.282577e-05,7.316994e-05,3.859645e+01,4.026852e+01,-2.501008e+01
-2.480372e+01,1.278217e-04,1.282988e-04,3.863466e+01,4.026853e+01,-2.501120e+01
-2.236483e+01,2.245082e-04,2.249637e-04,3.870034e+01,4.026853e+01,-2.501315e+01
-1.992593e+01,3.947903e-04,3.944594e-04,3.881139e+01,4.026853e+01,-2.501656e+01
-1.748703e+01,6.954865e-04,6.916593e-04,3.899343e+01,4.026851e+01,-2.502247e+01
-1.504813e+01,1.228263e-03,1.212780e-03,3.927393e+01,4.026841e+01,-2.503261e+01
-1.260923e+01,2.174319e-03,2.126532e-03,3.965028e+01,4.026811e+01,-2.504963e+01
-1.017033e+01,3.845236e-03,3.728738e-03,3.999043e+01,4.026742e+01,-2.507682e+01
-7.731432e+00,6.719296e-03,6.538103e-03,3.985355e+01,4.026667e+01,-2.511626e+01
-5.292533e+00,1.137908e-02,1.146414e-02,3.849112e+01,4.026796e+01,-2.516534e+01
-2.853635e+00,1.835977e-02,2.010164e-02,3.541854e+01,4.027582e+01,-2.521694e+01
-4.147357e-01,2.806008e-02,3.524694e-02,3.087184e+01,4.029324e+01,-2.526472e+01
2.024163e+00,4.053117e-02,6.180325e-02,2.543155e+01,4.031997e+01,-2.530715e+01
4.463062e+00,5.445844e-02,1.083680e-01,1.948763e+01,4.035582e+01,-2.534800e+01
6.901961e+00,6.725425e-02,1.900164e-01,1.372536e+01,4.040055e+01,-2.539065e+01
