f_hz,vif1_dbv,vif2_dbv,vif3_dbv,vif4_dbv
1.000000e+06,-5.650211e+01,-5.765473e+01,-5.428161e+01,-5.552302e+01
1.258845e+06,-5.650221e+01,-5.765460e+01,-5.428167e+01,-5.552311e+01
1.584690e+06,-5.650236e+01,-5.765446e+01,-5.428177e+01,-5.552322e+01
1.994879e+06,-5.650258e+01,-5.765430e+01,-5.428193e+01,-5.552339e+01
2.511242e+06,-5.650292e+01,-5.765414e+01,-5.428219e+01,-5.552363e+01
3.161264e+06,-5.650343e+01,-5.765398e+01,-5.428260e+01,-5.552398e+01
3.979541e+06,-5.650420e+01,-5.765386e+01,-5.428325e+01,-5.552448e+01
5.009624e+06,-5.650536e+01,-5.765383e+01,-5.428427e+01,-5.552521e+01
6.306339e+06,-5.650710e+01,-5.765396e+01,-5.428583e+01,-5.552626e+01
7.938701e+06,-5.650963e+01,-5.765434e+01,-5.428817e+01,-5.552773e+01
9.993592e+06,-5.651321e+01,-5.765505e+01,-5.429154e+01,-5.552969e+01
1.258038e+07,-5.651798e+01,-5.765608e+01,-5.429615e+01,-5.553211e+01
1.583675e+07,-5.652376e+01,-5.765715e+01,-5.430185e+01,-5.553463e+01
1.993600e+07,-5.652963e+01,-5.765742e+01,-5.430786e+01,-5.553635e+01
2.509633e+07,-5.653353e+01,-5.765516e+01,-5.431225e+01,-5.553546e+01
3.159239e+07,-5.653205e+01,-5.764762e+01,-5.431181e+01,-5.552920e+01
3.976991e+07,-5.652079e+01,-5.763119e+01,-5.430233e+01,-5.551408e+01
5.006414e+07,-5.649524e+01,-5.760202e+01,-5.427947e+01,-5.548648e+01
6.302298e+07,-5.645199e+01,-5.755698e+01,-5.423994e+01,-5.544353e+01
7.933614e+07,-5.639019e+01,-5.749494e+01,-5.418294e+01,-5.538440e+01
9.987188e+07,-5.631290e+01,-5.741812e+01,-5.411153e+01,-5.531165e+01
1.257232e+08,-5.622746e+01,-5.733269e+01,-5.403304e+01,-5.523176e+01
1.582660e+08,-5.614385e+01,-5.724735e+01,-5.395748e+01,-5.515382e+01
1.992323e+08,-5.607170e+01,-5.717063e+01,-5.389460e+01,-5.508677e+01
2.508025e+08,-5.601839e+01,-5.710906e+01,-5.385212e+01,-5.503770e+01
3.157214e+08,-5.599057e+01,-5.706850e+01,-5.383707e+01,-5.501307e+01
3.974443e+08,-5.599981e+01,-5.705955e+01,-5.386145e+01,-5.502430e+01
5.003206e+08,-5.607407e+01,-5.710900e+01,-5.395373e+01,-5.509914e+01
6.298259e+08,-5.627967e+01,-5.728194e+01,-5.418073e+01,-5.530384e+01
7.928531e+08,-5.675673e+01,-5.771845e+01,-5.468334e+01,-5.577967e+01
9.980789e+08,-5.774350e+01,-5.866018e+01,-5.570132e+01,-5.676900e+01
1.256426e+09,-5.949974e+01,-6.037406e+01,-5.749642e+01,-5.853808e+01
1.581646e+09,-6.209926e+01,-6.293837e+01,-6.014193e+01,-6.116294e+01
1.991046e+09,-6.535303e+01,-6.616339e+01,-6.344274e+01,-6.444978e+01
2.506418e+09,-6.899262e+01,-6.978396e+01,-6.711833e+01,-6.812525e+01
3.155191e+09,-7.282770e+01,-7.362377e+01,-7.095941e+01,-7.199736e+01
3.971896e+09,-7.675799e+01,-7.760598e+01,-7.484128e+01,-7.596534e+01
5.000000e+09,-8.073282e+01,-8.170273e+01,-7.869676e+01,-7.997626e+01
