f_hz,vif1_dbv,vif2_dbv,vif3_dbv,vif4_dbv
1.000000e+06,-5.682848e+01,-5.810347e+01,-5.455092e+01,-5.583097e+01
1.258845e+06,-5.682859e+01,-5.810341e+01,-5.455095e+01,-5.583106e+01
1.584690e+06,-5.682874e+01,-5.810335e+01,-5.455102e+01,-5.583120e+01
1.994879e+06,-5.682897e+01,-5.810329e+01,-5.455114e+01,-5.583140e+01
2.511242e+06,-5.682932e+01,-5.810326e+01,-5.455135e+01,-5.583169e+01
3.161264e+06,-5.682985e+01,-5.810327e+01,-5.455170e+01,-5.583212e+01
3.979541e+06,-5.683065e+01,-5.810339e+01,-5.455228e+01,-5.583275e+01
5.009624e+06,-5.683185e+01,-5.810366e+01,-5.455321e+01,-5.583369e+01
6.306339e+06,-5.683364e+01,-5.810420e+01,-5.455466e+01,-5.583507e+01
7.938701e+06,-5.683625e+01,-5.810512e+01,-5.455689e+01,-5.583704e+01
9.993592e+06,-5.683995e+01,-5.810656e+01,-5.456014e+01,-5.583976e+01
1.258038e+07,-5.684489e+01,-5.810854e+01,-5.456460e+01,-5.584328e+01
1.583675e+07,-5.685093e+01,-5.811085e+01,-5.457016e+01,-5.584732e+01
1.993600e+07,-5.685716e+01,-5.811264e+01,-5.457599e+01,-5.585097e+01
2.509633e+07,-5.686151e+01,-5.811216e+01,-5.458011e+01,-5.585234e+01
3.159239e+07,-5.686053e+01,-5.810654e+01,-5.457918e+01,-5.584840e+01
3.976991e+07,-5.684968e+01,-5.809203e+01,-5.456880e+01,-5.583530e+01
5.006414e+07,-5.682431e+01,-5.806464e+01,-5.454439e+01,-5.580908e+01
6.302298e+07,-5.678092e+01,-5.802122e+01,-5.450249e+01,-5.576669e+01
7.933614e+07,-5.671867e+01,-5.796075e+01,-5.444221e+01,-5.570732e+01
9.987188e+07,-5.664080e+01,-5.788578e+01,-5.436665e+01,-5.563373e+01
1.257232e+08,-5.655494e+01,-5.780293e+01,-5.428325e+01,-5.555275e+01
1.582660e+08,-5.647141e+01,-5.772141e+01,-5.420212e+01,-5.547385e+01
1.992323e+08,-5.640008e+01,-5.765023e+01,-5.413304e+01,-5.540624e+01
2.508025e+08,-5.634857e+01,-5.759639e+01,-5.408357e+01,-5.535715e+01
3.157214e+08,-5.632370e+01,-5.756618e+01,-5.406051e+01,-5.533312e+01
3.974443e+08,-5.633723e+01,-5.757074e+01,-5.407559e+01,-5.534560e+01
5.003206e+08,-5.641740e+01,-5.763739e+01,-5.415697e+01,-5.542231e+01
6.298259e+08,-5.663068e+01,-5.783173e+01,-5.437103e+01,-5.562935e+01
7.928531e+08,-5.711680e+01,-5.829363e+01,-5.485776e+01,-5.610719e+01
9.980789e+08,-5.811227e+01,-5.926290e+01,-5.585494e+01,-5.709605e+01
1.256426e+09,-5.987388e+01,-6.100262e+01,-5.762174e+01,-5.885874e+01
1.581646e+09,-6.247353e+01,-6.358721e+01,-6.023163e+01,-6.146861e+01
1.991046e+09,-6.572186e+01,-6.682276e+01,-6.349470e+01,-6.473069e+01
2.506418e+09,-6.934855e+01,-7.043492e+01,-6.714016e+01,-6.836947e+01
3.155191e+09,-7.315846e+01,-7.423031e+01,-7.097403e+01,-7.218953e+01
3.971896e+09,-7.704569e+01,-7.811066e+01,-7.489301e+01,-7.608925e+01
5.000000e+09,-8.095832e+01,-8.203728e+01,-7.884775e+01,-8.002529e+01
