plo_dbm,vif1_dbv,vif2_dbv,vif3_dbv,vif4_dbv,ph1_deg,ph2_deg,ph3_deg,ph4_deg
-6.026858e+00,-8.221195e+01,-8.208708e+01,-8.008260e+01,-8.037269e+01,1.564782e+02,-3.650882e+01,6.226272e+01,-1.107208e+02
-5.070710e+00,-8.124938e+01,-8.112195e+01,-7.911926e+01,-7.940778e+01,1.564639e+02,-3.652830e+01,6.224769e+01,-1.107415e+02
-4.114562e+00,-8.028362e+01,-8.015242e+01,-7.815237e+01,-7.843855e+01,1.564487e+02,-3.654857e+01,6.223199e+01,-1.107634e+02
-3.158414e+00,-7.931582e+01,-7.918036e+01,-7.718327e+01,-7.746684e+01,1.564303e+02,-3.657316e+01,6.221287e+01,-1.107899e+02
-2.202266e+00,-7.834584e+01,-7.820586e+01,-7.621182e+01,-7.649273e+01,1.564074e+02,-3.660348e+01,6.218922e+01,-1.108226e+02
-1.246118e+00,-7.736835e+01,-7.722182e+01,-7.523223e+01,-7.550922e+01,1.563865e+02,-3.663030e+01,6.216814e+01,-1.108527e+02
-2.899696e-01,-7.639254e+01,-7.624188e+01,-7.425476e+01,-7.452974e+01,1.563533e+02,-3.667370e+01,6.213398e+01,-1.108998e+02
6.661785e-01,-7.541443e+01,-7.526135e+01,-7.327518e+01,-7.354966e+01,1.563126e+02,-3.672662e+01,6.209202e+01,-1.109572e+02
1.622327e+00,-7.443478e+01,-7.428265e+01,-7.229458e+01,-7.257133e+01,1.562629e+02,-3.679066e+01,6.204073e+01,-1.110266e+02
2.578475e+00,-7.345512e+01,-7.330983e+01,-7.131504e+01,-7.159869e+01,1.562024e+02,-3.686735e+01,6.197844e+01,-1.111098e+02
3.534623e+00,-7.247823e+01,-7.234923e+01,-7.034014e+01,-7.063796e+01,1.561294e+02,-3.695796e+01,6.190350e+01,-1.112080e+02
4.490771e+00,-7.150870e+01,-7.141007e+01,-6.937556e+01,-6.969819e+01,1.560425e+02,-3.706308e+01,6.181445e+01,-1.113221e+02
5.446919e+00,-7.055353e+01,-7.050481e+01,-6.842979e+01,-6.879167e+01,1.559404e+02,-3.718238e+01,6.171041e+01,-1.114518e+02
6.403067e+00,-6.962279e+01,-6.964874e+01,-6.751454e+01,-6.793357e+01,1.558228e+02,-3.731452e+01,6.159159e+01,-1.115957e+02
7.359215e+00,-6.872987e+01,-6.885841e+01,-6.664469e+01,-6.714048e+01,1.556909e+02,-3.745805e+01,6.145980e+01,-1.117516e+02
8.315363e+00,-6.789097e+01,-6.814860e+01,-6.583712e+01,-6.642756e+01,1.555476e+02,-3.761342e+01,6.131889e+01,-1.119179e+02
9.271511e+00,-6.712329e+01,-6.752865e+01,-6.510794e+01,-6.580499e+01,1.553976e+02,-3.778545e+01,6.117472e+01,-1.120941e+02
1.022766e+01,-6.644166e+01,-6.699972e+01,-6.446824e+01,-6.527544e+01,1.552472e+02,-3.798305e+01,6.103464e+01,-1.122776e+02
1.118381e+01,-6.585400e+01,-6.655496e+01,-6.391946e+01,-6.483420e+01,1.551034e+02,-3.821233e+01,6.090688e+01,-1.124555e+02
1.213996e+01,-6.535718e+01,-6.618409e+01,-6.345077e+01,-6.447337e+01,1.549742e+02,-3.846485e+01,6.080088e+01,-1.125925e+02
1.309610e+01,-6.493570e+01,-6.587794e+01,-6.304098e+01,-6.418585e+01,1.548696e+02,-3.869967e+01,6.072938e+01,-1.126220e+02
1.405225e+01,-6.456536e+01,-6.563063e+01,-6.266383e+01,-6.396670e+01,1.548058e+02,-3.883859e+01,6.071061e+01,-1.124385e+02
1.500840e+01,-6.421730e+01,-6.543942e+01,-6.229116e+01,-6.381220e+01,1.548055e+02,-3.877140e+01,6.077065e+01,-1.119203e+02
