plo_dbm,vif1_dbv,vif2_dbv,vif3_dbv,vif4_dbv,ph1_deg,ph2_deg,ph3_deg,ph4_deg
-6.026858e+00,-8.290907e+01,-8.304144e+01,-8.043040e+01,-8.098704e+01,1.769473e+02,-1.476770e+01,8.299987e+01,-8.994663e+01
-5.070710e+00,-8.194724e+01,-8.207712e+01,-7.946787e+01,-8.002298e+01,1.769347e+02,-1.478517e+01,8.298656e+01,-8.996499e+01
-4.114562e+00,-8.098260e+01,-8.110878e+01,-7.850219e+01,-7.905500e+01,1.769214e+02,-1.480341e+01,8.297260e+01,-8.998445e+01
-3.158414e+00,-8.001609e+01,-8.013802e+01,-7.753447e+01,-7.808468e+01,1.769051e+02,-1.482558e+01,8.295558e+01,-9.000813e+01
-2.202266e+00,-7.904756e+01,-7.916483e+01,-7.656455e+01,-7.711198e+01,1.768849e+02,-1.485293e+01,8.293450e+01,-9.003735e+01
-1.246118e+00,-7.807676e+01,-7.818922e+01,-7.559225e+01,-7.613690e+01,1.768600e+02,-1.488659e+01,8.290847e+01,-9.007330e+01
-2.899696e-01,-7.709808e+01,-7.720362e+01,-7.461138e+01,-7.515202e+01,1.768369e+02,-1.491661e+01,8.288502e+01,-9.010651e+01
6.661785e-01,-7.612140e+01,-7.622314e+01,-7.363312e+01,-7.417211e+01,1.768007e+02,-1.496469e+01,8.284743e+01,-9.015809e+01
1.622327e+00,-7.514259e+01,-7.524298e+01,-7.265307e+01,-7.319243e+01,1.767564e+02,-1.502310e+01,8.280136e+01,-9.022076e+01
2.578475e+00,-7.416263e+01,-7.426622e+01,-7.167265e+01,-7.221592e+01,1.767023e+02,-1.509345e+01,8.274520e+01,-9.029623e+01
3.534623e+00,-7.318341e+01,-7.329784e+01,-7.069442e+01,-7.124741e+01,1.766366e+02,-1.517714e+01,8.267726e+01,-9.038604e+01
4.490771e+00,-7.220824e+01,-7.234544e+01,-6.972266e+01,-7.029424e+01,1.765578e+02,-1.527506e+01,8.259591e+01,-9.049120e+01
5.446919e+00,-7.124241e+01,-7.141968e+01,-6.876398e+01,-6.936681e+01,1.764644e+02,-1.538703e+01,8.249989e+01,-9.061162e+01
6.403067e+00,-7.029383e+01,-7.053445e+01,-6.782792e+01,-6.847874e+01,1.763553e+02,-1.551105e+01,8.238865e+01,-9.074545e+01
7.359215e+00,-6.937352e+01,-6.970606e+01,-6.692725e+01,-6.764621e+01,1.762308e+02,-1.564250e+01,8.226300e+01,-9.088831e+01
8.315363e+00,-6.849557e+01,-6.895117e+01,-6.607754e+01,-6.688594e+01,1.760926e+02,-1.577334e+01,8.212567e+01,-9.103300e+01
9.271511e+00,-6.767621e+01,-6.828364e+01,-6.529574e+01,-6.621212e+01,1.759443e+02,-1.589207e+01,8.198195e+01,-9.117022e+01
1.022766e+01,-6.693174e+01,-6.771115e+01,-6.459788e+01,-6.563284e+01,1.757919e+02,-1.598539e+01,8.184033e+01,-9.129162e+01
1.118381e+01,-6.627601e+01,-6.723306e+01,-6.399675e+01,-6.514776e+01,1.756442e+02,-1.604313e+01,8.171299e+01,-9.139588e+01
1.213996e+01,-6.571856e+01,-6.684073e+01,-6.350056e+01,-6.474813e+01,1.755127e+02,-1.606845e+01,8.161572e+01,-9.149827e+01
1.309610e+01,-6.526458e+01,-6.652180e+01,-6.311298e+01,-6.442084e+01,1.754120e+02,-1.607915e+01,8.156580e+01,-9.163542e+01
1.405225e+01,-6.491684e+01,-6.625960e+01,-6.283459e+01,-6.414919e+01,1.753577e+02,-1.614033e+01,8.157599e+01,-9.188058e+01
1.500840e+01,-6.467777e+01,-6.603593e+01,-6.266077e+01,-6.391453e+01,1.753596e+02,-1.635267e+01,8.164514e+01,-9.235034e+01
