plo_dbm,vif1_dbv,vif2_dbv,vif3_dbv,vif4_dbv,ph1_deg,ph2_deg,ph3_deg,ph4_deg
-6.026858e+00,-8.587508e+01,-8.514218e+01,-8.209486e+01,-8.503138e+01,1.692360e+02,-2.865056e+01,6.706036e+01,-9.426033e+01
-5.070710e+00,-8.491371e+01,-8.417922e+01,-8.113282e+01,-8.406869e+01,1.692243e+02,-2.866607e+01,6.704707e+01,-9.427571e+01
-4.114562e+00,-8.394964e+01,-8.321277e+01,-8.016776e+01,-8.310262e+01,1.692120e+02,-2.868223e+01,6.703315e+01,-9.429180e+01
-3.158414e+00,-8.298385e+01,-8.224423e+01,-7.920081e+01,-8.213454e+01,1.691970e+02,-2.870189e+01,6.701618e+01,-9.431138e+01
-2.202266e+00,-8.201618e+01,-8.127355e+01,-7.823185e+01,-8.116438e+01,1.691784e+02,-2.872616e+01,6.699518e+01,-9.433557e+01
-1.246118e+00,-8.104646e+01,-8.030070e+01,-7.726072e+01,-8.019209e+01,1.691555e+02,-2.875608e+01,6.696925e+01,-9.436537e+01
-2.899696e-01,-8.006918e+01,-7.931882e+01,-7.628138e+01,-7.921098e+01,1.691349e+02,-2.878257e+01,6.694599e+01,-9.439202e+01
6.661785e-01,-7.909411e+01,-7.834122e+01,-7.530493e+01,-7.823396e+01,1.691018e+02,-2.882537e+01,6.690862e+01,-9.443471e+01
1.622327e+00,-7.811726e+01,-7.736337e+01,-7.432712e+01,-7.725658e+01,1.690611e+02,-2.887752e+01,6.686285e+01,-9.448672e+01
2.578475e+00,-7.713962e+01,-7.638768e+01,-7.334943e+01,-7.628107e+01,1.690115e+02,-2.894058e+01,6.680713e+01,-9.454964e+01
3.534623e+00,-7.616317e+01,-7.541813e+01,-7.237454e+01,-7.531122e+01,1.689513e+02,-2.901605e+01,6.673983e+01,-9.462499e+01
4.490771e+00,-7.519122e+01,-7.446092e+01,-7.140680e+01,-7.435291e+01,1.688789e+02,-2.910510e+01,6.665941e+01,-9.471401e+01
5.446919e+00,-7.422911e+01,-7.352507e+01,-7.045295e+01,-7.341480e+01,1.687930e+02,-2.920819e+01,6.656477e+01,-9.481728e+01
6.403067e+00,-7.328477e+01,-7.262280e+01,-6.952268e+01,-7.250871e+01,1.686927e+02,-2.932460e+01,6.645568e+01,-9.493432e+01
7.359215e+00,-7.236931e+01,-7.176920e+01,-6.862894e+01,-7.164946e+01,1.685784e+02,-2.945201e+01,6.633351e+01,-9.506309e+01
8.315363e+00,-7.149707e+01,-7.098089e+01,-6.778768e+01,-7.085358e+01,1.684522e+02,-2.958649e+01,6.620209e+01,-9.519994e+01
9.271511e+00,-7.068491e+01,-7.027327e+01,-6.701636e+01,-7.013683e+01,1.683191e+02,-2.972349e+01,6.606853e+01,-9.534024e+01
1.022766e+01,-6.995028e+01,-6.965699e+01,-6.633138e+01,-6.951064e+01,1.681874e+02,-2.986011e+01,6.594337e+01,-9.547980e+01
1.118381e+01,-6.930810e+01,-6.913502e+01,-6.574428e+01,-6.897905e+01,1.680686e+02,-2.999841e+01,6.583876e+01,-9.561663e+01
1.213996e+01,-6.876701e+01,-6.870173e+01,-6.525801e+01,-6.853760e+01,1.679744e+02,-3.014800e+01,6.576380e+01,-9.575158e+01
1.309610e+01,-6.832586e+01,-6.834581e+01,-6.486430e+01,-6.817562e+01,1.679115e+02,-3.032512e+01,6.571740e+01,-9.588425e+01
1.405225e+01,-6.797247e+01,-6.805370e+01,-6.454491e+01,-6.788051e+01,1.678745e+02,-3.056111e+01,6.568121e+01,-9.602216e+01
1.500840e+01,-6.768563e+01,-6.781100e+01,-6.427247e+01,-6.763833e+01,1.678397e+02,-3.086230e+01,6.561935e+01,-9.613783e+01
