t_ns,out1_mv,out2_mv,out3_mv,out4_mv
0.000000e+00,7.173164e-02,-1.730483e-01,2.598383e-01,-3.039810e-01
1.000000e-03,8.965507e-02,-2.295181e-01,3.402549e-01,-4.046082e-01
2.000000e-03,1.087526e-01,-2.869431e-01,4.231068e-01,-5.073408e-01
3.000000e-03,1.293422e-01,-3.423940e-01,5.090711e-01,-6.091457e-01
4.000000e-03,1.274360e-01,-3.460267e-01,5.252801e-01,-6.260363e-01
5.000000e-03,1.214549e-01,-3.408468e-01,5.288260e-01,-6.281431e-01
6.000000e-03,1.154527e-01,-3.356409e-01,5.322554e-01,-6.301848e-01
7.000000e-03,1.094680e-01,-3.304022e-01,5.356113e-01,-6.321357e-01
8.000000e-03,1.034903e-01,-3.251138e-01,5.389147e-01,-6.339695e-01
9.000000e-03,9.747872e-02,-3.197669e-01,5.421421e-01,-6.356909e-01
1.000000e-02,9.140734e-02,-3.143727e-01,5.452595e-01,-6.373295e-01
1.100000e-02,8.527465e-02,-3.089474e-01,5.482424e-01,-6.389042e-01
1.200000e-02,7.911447e-02,-3.035004e-01,5.510971e-01,-6.404143e-01
1.300000e-02,7.297085e-02,-2.980304e-01,5.538641e-01,-6.418399e-01
1.400000e-02,6.684770e-02,-2.925222e-01,5.565764e-01,-6.431532e-01
1.500000e-02,6.070682e-02,-2.869613e-01,5.592195e-01,-6.443486e-01
1.600000e-02,5.451670e-02,-2.813527e-01,5.617576e-01,-6.454509e-01
1.700000e-02,4.826913e-02,-2.757131e-01,5.641626e-01,-6.464838e-01
1.800000e-02,4.198890e-02,-2.700550e-01,5.664305e-01,-6.474509e-01
1.900000e-02,3.572166e-02,-2.643822e-01,5.685963e-01,-6.483391e-01
2.000000e-02,2.948517e-02,-2.586833e-01,5.707019e-01,-6.491214e-01
2.100000e-02,2.324832e-02,-2.529401e-01,5.727450e-01,-6.497840e-01
2.200000e-02,1.697429e-02,-2.471503e-01,5.746901e-01,-6.503443e-01
2.300000e-02,1.064920e-02,-2.413290e-01,5.765056e-01,-6.508284e-01
2.400000e-02,4.288331e-03,-2.354914e-01,5.781788e-01,-6.512450e-01
2.500000e-02,-2.064822e-03,-2.296456e-01,5.797360e-01,-6.515865e-01
2.600000e-02,-8.380799e-03,-2.237851e-01,5.812241e-01,-6.518292e-01
2.700000e-02,-1.468013e-02,-2.178910e-01,5.826551e-01,-6.519535e-01
2.800000e-02,-2.100273e-02,-2.119532e-01,5.839968e-01,-6.519683e-01
2.900000e-02,-2.736815e-02,-2.059834e-01,5.852142e-01,-6.518994e-01
3.000000e-02,-3.377017e-02,-1.999988e-01,5.862872e-01,-6.517608e-01
3.100000e-02,-4.017042e-02,-1.940109e-01,5.872321e-01,-6.515495e-01
3.200000e-02,-4.653125e-02,-1.880190e-01,5.880962e-01,-6.512469e-01
3.300000e-02,-5.286010e-02,-1.820059e-01,5.889057e-01,-6.508306e-01
3.400000e-02,-5.919683e-02,-1.759553e-01,5.896357e-01,-6.503003e-01
3.500000e-02,-6.556674e-02,-1.698724e-01,5.902482e-01,-6.496789e-01
3.600000e-02,-7.197108e-02,-1.637753e-01,5.907179e-01,-6.489847e-01
3.700000e-02,-7.837885e-02,-1.576783e-01,5.910503e-01,-6.482191e-01
3.800000e-02,-8.474788e-02,-1.515865e-01,5.912891e-01,-6.473689e-01
3.900000e-02,-9.107207e-02,-1.454866e-01,5.914726e-01,-6.464117e-01
4.000000e-02,-9.738735e-02,-1.393578e-01,5.915870e-01,-6.453393e-01
4.100000e-02,-1.037251e-01,-1.331977e-01,5.915923e-01,-6.441691e-01
4.200000e-02,-1.100926e-01,-1.270234e-01,5.914591e-01,-6.429222e-01
4.300000e-02,-1.164676e-01,-1.208515e-01,5.911826e-01,-6.416042e-01
