t_ns,out1_mv,out2_mv,out3_mv,out4_mv
0.000000e+00,4.268406e-02,-1.112508e-01,6.650167e-01,-5.614468e-01
1.000000e-03,3.411963e-02,-1.070918e-01,6.605972e-01,-5.606004e-01
2.000000e-03,2.586079e-02,-1.044740e-01,6.572525e-01,-5.620748e-01
3.000000e-03,1.900419e-02,-1.009817e-01,6.565021e-01,-5.634075e-01
4.000000e-03,1.266457e-02,-9.553953e-02,6.571709e-01,-5.632812e-01
5.000000e-03,6.294269e-03,-9.003075e-02,6.577243e-01,-5.630435e-01
6.000000e-03,-7.906334e-05,-8.452137e-02,6.581418e-01,-5.627342e-01
7.000000e-03,-6.415925e-03,-7.901489e-02,6.584666e-01,-5.623389e-01
8.000000e-03,-1.271411e-02,-7.349790e-02,6.587339e-01,-5.618366e-01
9.000000e-03,-1.900939e-02,-6.795182e-02,6.589289e-01,-5.612225e-01
1.000000e-02,-2.533041e-02,-6.237616e-02,6.590132e-01,-5.605153e-01
1.100000e-02,-3.168236e-02,-5.678733e-02,6.589584e-01,-5.597339e-01
1.200000e-02,-3.804155e-02,-5.120036e-02,6.587613e-01,-5.588815e-01
1.300000e-02,-4.436691e-02,-4.562339e-02,6.584586e-01,-5.579487e-01
1.400000e-02,-5.064372e-02,-4.004787e-02,6.580945e-01,-5.569158e-01
1.500000e-02,-5.690113e-02,-3.445321e-02,6.576674e-01,-5.557717e-01
1.600000e-02,-6.317287e-02,-2.883109e-02,6.571392e-01,-5.545290e-01
1.700000e-02,-6.946952e-02,-2.319500e-02,6.564780e-01,-5.532078e-01
1.800000e-02,-7.577577e-02,-1.756243e-02,6.556714e-01,-5.518157e-01
1.900000e-02,-8.205222e-02,-1.194526e-02,6.547474e-01,-5.503476e-01
2.000000e-02,-8.827361e-02,-6.340743e-03,6.537551e-01,-5.487870e-01
2.100000e-02,-9.445968e-02,-7.290100e-04,6.527072e-01,-5.471191e-01
2.200000e-02,-1.006471e-01,4.905584e-03,6.515697e-01,-5.453490e-01
2.300000e-02,-1.068522e-01,1.055482e-02,6.503064e-01,-5.434960e-01
2.400000e-02,-1.130675e-01,1.619958e-02,6.488979e-01,-5.415718e-01
2.500000e-02,-1.192579e-01,2.182514e-02,6.473618e-01,-5.395751e-01
2.600000e-02,-1.253908e-01,2.742817e-02,6.457474e-01,-5.374936e-01
2.700000e-02,-1.314743e-01,3.302537e-02,6.440817e-01,-5.353108e-01
2.800000e-02,-1.375451e-01,3.863799e-02,6.423386e-01,-5.330251e-01
2.900000e-02,-1.436251e-01,4.426522e-02,6.404786e-01,-5.306525e-01
3.000000e-02,-1.497133e-01,4.988810e-02,6.384771e-01,-5.282076e-01
3.100000e-02,-1.557811e-01,5.548938e-02,6.363409e-01,-5.256927e-01
3.200000e-02,-1.617918e-01,6.106028e-02,6.341153e-01,-5.230999e-01
3.300000e-02,-1.677415e-01,6.661238e-02,6.318394e-01,-5.204134e-01
3.400000e-02,-1.736629e-01,7.216990e-02,6.294990e-01,-5.176259e-01
3.500000e-02,-1.795841e-01,7.774059e-02,6.270525e-01,-5.147485e-01
3.600000e-02,-1.855094e-01,8.330783e-02,6.244708e-01,-5.117972e-01
3.700000e-02,-1.914178e-01,8.885216e-02,6.217505e-01,-5.087776e-01
3.800000e-02,-1.972718e-01,9.436045e-02,6.189297e-01,-5.056860e-01
3.900000e-02,-2.030562e-01,9.983791e-02,6.160561e-01,-5.025090e-01
4.000000e-02,-2.087969e-01,1.053088e-01,6.131296e-01,-4.992356e-01
4.100000e-02,-2.145265e-01,1.107893e-01,6.101098e-01,-4.958707e-01
4.200000e-02,-2.202546e-01,1.162680e-01,6.069632e-01,-4.924297e-01
4.300000e-02,-2.259677e-01,1.217234e-01,6.036777e-01,-4.889218e-01
4.400000e-02,-2.316304e-01,1.271390e-01,6.002817e-01,-4.853466e-01
4.500000e-02,-2.372186e-01,1.325132e-01,5.968269e-01,-4.816947e-01
4.600000e-02,-2.427487e-01,1.378673e-01,5.933289e-01,-4.779532e-01
4.700000e-02,-2.482550e-01,1.432248e-01,5.897522e-01,-4.741210e-01
4.800000e-02,-2.537531e-01,1.485817e-01,5.860585e-01,-4.702109e-01
4.900000e-02,-2.592362e-01,1.539157e-01,5.822289e-01,-4.662349e-01
5.000000e-02,-2.646735e-01,1.592076e-01,5.782811e-01,-4.621956e-01
5.100000e-02,-2.700346e-01,1.644496e-01,5.742658e-01,-4.580877e-01
5.200000e-02,-2.753253e-01,1.696577e-01,5.702133e-01,-4.538987e-01
5.300000e-02,-2.805790e-01,1.748597e-01,5.660974e-01,-4.496226e-01
5.400000e-02,-2.858168e-01,1.800611e-01,5.618759e-01,-4.452678e-01
5.500000e-02,-2.910376e-01,1.852412e-01,5.575246e-01,-4.408472e-01
5.600000e-02,-2.962167e-01,1.903786e-01,5.530503e-01,-4.363666e-01
5.700000e-02,-3.013208e-01,1.954599e-01,5.484993e-01,-4.318243e-01
5.800000e-02,-3.063447e-01,2.004945e-01,5.439133e-01,-4.272104e-01
5.900000e-02,-3.113176e-01,2.055114e-01,5.392791e-01,-4.225150e-01
6.000000e-02,-3.162659e-01,2.105258e-01,5.345528e-01,-4.177413e-01
6.100000e-02,-3.211936e-01,2.155218e-01,5.297054e-01,-4.129016e-01
6.200000e-02,-3.260827e-01,2.204752e-01,5.247334e-01,-4.080044e-01
6.300000e-02,-3.309001e-01,2.253686e-01,5.196754e-01,-4.030518e-01
6.400000e-02,-3.356307e-01,2.302037e-01,5.145808e-01,-3.980370e-01
6.500000e-02,-3.402966e-01,2.350076e-01,5.094520e-01,-3.929491e-01
6.600000e-02,-3.449280e-01,2.398041e-01,5.042466e-01,-3.877856e-01
6.700000e-02,-3.495339e-01,2.445846e-01,4.989303e-01,-3.825563e-01
6.800000e-02,-3.541029e-01,2.493237e-01,4.934916e-01,-3.772719e-01
6.900000e-02,-3.586042e-01,2.540009e-01,4.879590e-01,-3.719371e-01
7.000000e-02,-3.630155e-01,2.586105e-01,4.823851e-01,-3.665492e-01
7.100000e-02,-3.673500e-01,2.631747e-01,4.767876e-01,-3.610978e-01
7.200000e-02,-3.716388e-01,2.677240e-01,4.711308e-01,-3.555758e-01
7.300000e-02,-3.758964e-01,2.722593e-01,4.653749e-01,-3.499886e-01
7.400000e-02,-3.801172e-01,2.767555e-01,4.595019e-01,-3.443481e-01
7.500000e-02,-3.842750e-01,2.811897e-01,4.535293e-01,-3.386613e-01
7.600000e-02,-3.883427e-01,2.855497e-01,4.475081e-01,-3.329295e-01
7.700000e-02,-3.923236e-01,2.898508e-01,4.414708e-01,-3.271447e-01
7.800000e-02,-3.962471e-01,2.941262e-01,4.353915e-01,-3.212964e-01
7.900000e-02,-4.001331e-01,2.983880e-01,4.292264e-01,-3.153851e-01
8.000000e-02,-4.039808e-01,3.026147e-01,4.229523e-01,-3.094216e-01
8.100000e-02,-4.077696e-01,3.067804e-01,4.165758e-01,-3.034153e-01
