t_ns,out1_mv,out2_mv,out3_mv,out4_mv
0.000000e+00,8.677699e-02,-1.717779e-01,5.143057e-01,-3.629606e-01
1.000000e-03,7.664328e-02,-1.665570e-01,5.082422e-01,-3.602859e-01
2.000000e-03,6.735609e-02,-1.645263e-01,5.035864e-01,-3.614560e-01
3.000000e-03,6.122988e-02,-1.626012e-01,5.032552e-01,-3.633590e-01
4.000000e-03,5.678992e-02,-1.586017e-01,5.056268e-01,-3.636079e-01
5.000000e-03,5.231417e-02,-1.545107e-01,5.079094e-01,-3.637679e-01
6.000000e-03,4.782106e-02,-1.504122e-01,5.100553e-01,-3.638988e-01
7.000000e-03,4.336974e-02,-1.463127e-01,5.121256e-01,-3.639833e-01
8.000000e-03,3.897280e-02,-1.421976e-01,5.141817e-01,-3.639916e-01
9.000000e-03,3.458168e-02,-1.380420e-01,5.162170e-01,-3.639092e-01
1.000000e-02,3.014278e-02,-1.338373e-01,5.181705e-01,-3.637539e-01
1.100000e-02,2.564252e-02,-1.296005e-01,5.199879e-01,-3.635556e-01
1.200000e-02,2.111442e-02,-1.253553e-01,5.216582e-01,-3.633273e-01
1.300000e-02,1.661880e-02,-1.211150e-01,5.232322e-01,-3.630589e-01
1.400000e-02,1.218460e-02,-1.168714e-01,5.247807e-01,-3.627240e-01
1.500000e-02,7.776164e-03,-1.125989e-01,5.263174e-01,-3.623017e-01
1.600000e-02,3.335620e-03,-1.082797e-01,5.277881e-01,-3.617996e-01
1.700000e-02,-1.161859e-03,-1.039241e-01,5.291311e-01,-3.612459e-01
1.800000e-02,-5.695214e-03,-9.955763e-02,5.303212e-01,-3.606593e-01
1.900000e-02,-1.020733e-02,-9.519931e-02,5.313954e-01,-3.600371e-01
2.000000e-02,-1.465621e-02,-9.084890e-02,5.324282e-01,-3.593578e-01
2.100000e-02,-1.906148e-02,-8.648293e-02,5.334542e-01,-3.585974e-01
2.200000e-02,-2.348115e-02,-8.207614e-02,5.344306e-01,-3.577537e-01
2.300000e-02,-2.795045e-02,-7.762968e-02,5.352906e-01,-3.568498e-01
2.400000e-02,-3.246041e-02,-7.316820e-02,5.359968e-01,-3.559083e-01
2.500000e-02,-3.696077e-02,-6.871598e-02,5.365703e-01,-3.549336e-01
2.600000e-02,-4.140066e-02,-6.428094e-02,5.370835e-01,-3.539107e-01
2.700000e-02,-4.578248e-02,-5.984471e-02,5.375895e-01,-3.528152e-01
2.800000e-02,-5.015930e-02,-5.537716e-02,5.380622e-01,-3.516366e-01
2.900000e-02,-5.457559e-02,-5.086889e-02,5.384330e-01,-3.503905e-01
3.000000e-02,-5.903389e-02,-4.634089e-02,5.386536e-01,-3.491013e-01
3.100000e-02,-6.349346e-02,-4.182119e-02,5.387286e-01,-3.477792e-01
3.200000e-02,-6.789902e-02,-3.732526e-02,5.387231e-01,-3.464161e-01
3.300000e-02,-7.223624e-02,-3.284202e-02,5.387045e-01,-3.449900e-01
3.400000e-02,-7.654876e-02,-2.833983e-02,5.386674e-01,-3.434843e-01
3.500000e-02,-8.088780e-02,-2.379871e-02,5.385455e-01,-3.419059e-01
3.600000e-02,-8.526701e-02,-1.923273e-02,5.382808e-01,-3.402778e-01
3.700000e-02,-8.965675e-02,-1.467230e-02,5.378620e-01,-3.386155e-01
3.800000e-02,-9.400162e-02,-1.013956e-02,5.373426e-01,-3.369175e-01
3.900000e-02,-9.827284e-02,-5.632207e-03,5.367988e-01,-3.351664e-01
4.000000e-02,-1.025010e-01,-1.120561e-03,5.362472e-01,-3.333423e-01
4.100000e-02,-1.067405e-01,3.424504e-03,5.356297e-01,-3.314432e-01
4.200000e-02,-1.110154e-01,7.998727e-03,5.348805e-01,-3.294880e-01
4.300000e-02,-1.153074e-01,1.257182e-02,5.339738e-01,-3.274957e-01
4.400000e-02,-1.195649e-01,1.711608e-02,5.329484e-01,-3.254709e-01
4.500000e-02,-1.237480e-01,2.162455e-02,5.318831e-01,-3.234020e-01
4.600000e-02,-1.278721e-01,2.612178e-02,5.308164e-01,-3.212688e-01
4.700000e-02,-1.319902e-01,3.064331e-02,5.297037e-01,-3.190616e-01
4.800000e-02,-1.361361e-01,3.519665e-02,5.284737e-01,-3.167925e-01
4.900000e-02,-1.403026e-01,3.975471e-02,5.270879e-01,-3.144820e-01
5.000000e-02,-1.444451e-01,4.428506e-02,5.255684e-01,-3.121404e-01
5.100000e-02,-1.485166e-01,4.877192e-02,5.239909e-01,-3.097625e-01
5.200000e-02,-1.525165e-01,5.323210e-02,5.224128e-01,-3.073301e-01
5.300000e-02,-1.564921e-01,5.770398e-02,5.208080e-01,-3.048280e-01
5.400000e-02,-1.604855e-01,6.220732e-02,5.191032e-01,-3.022604e-01
5.500000e-02,-1.645001e-01,6.672177e-02,5.172486e-01,-2.996465e-01
5.600000e-02,-1.685004e-01,7.121173e-02,5.152493e-01,-2.970010e-01
5.700000e-02,-1.724363e-01,7.565352e-02,5.131728e-01,-2.943251e-01
5.800000e-02,-1.762924e-01,8.005432e-02,5.110902e-01,-2.916051e-01
5.900000e-02,-1.801065e-01,8.445155e-02,5.089976e-01,-2.888226e-01
6.000000e-02,-1.839258e-01,8.887630e-02,5.068253e-01,-2.859737e-01
6.100000e-02,-1.877640e-01,9.331819e-02,5.045131e-01,-2.830733e-01
6.200000e-02,-1.915958e-01,9.774061e-02,5.020498e-01,-2.801395e-01
6.300000e-02,-1.953721e-01,1.021133e-01,4.994907e-01,-2.771792e-01
6.400000e-02,-1.990652e-01,1.064329e-01,4.969148e-01,-2.741845e-01
6.500000e-02,-2.026999e-01,1.107323e-01,4.943416e-01,-2.711367e-01
6.600000e-02,-2.063254e-01,1.150510e-01,4.917105e-01,-2.680246e-01
6.700000e-02,-2.099651e-01,1.193916e-01,4.889528e-01,-2.648569e-01
6.800000e-02,-2.136038e-01,1.237196e-01,4.860429e-01,-2.616523e-01
6.900000e-02,-2.171967e-01,1.279990e-01,4.830205e-01,-2.584233e-01
7.000000e-02,-2.207071e-01,1.322160e-01,4.799666e-01,-2.551682e-01
7.100000e-02,-2.241458e-01,1.363956e-01,4.769225e-01,-2.518710e-01
7.200000e-02,-2.275593e-01,1.405826e-01,4.738432e-01,-2.485150e-01
7.300000e-02,-2.309797e-01,1.447933e-01,4.706541e-01,-2.451009e-01
7.400000e-02,-2.344017e-01,1.489990e-01,4.673167e-01,-2.416462e-01
7.500000e-02,-2.377876e-01,1.531596e-01,4.638536e-01,-2.381672e-01
7.600000e-02,-2.410950e-01,1.572520e-01,4.603421e-01,-2.346687e-01
7.700000e-02,-2.443208e-01,1.612912e-01,4.568419e-01,-2.311390e-01
7.800000e-02,-2.475051e-01,1.653225e-01,4.533279e-01,-2.275588e-01
7.900000e-02,-2.506868e-01,1.693759e-01,4.497240e-01,-2.239207e-01
8.000000e-02,-2.538702e-01,1.734324e-01,4.459797e-01,-2.202378e-01
8.100000e-02,-2.570259e-01,1.774494e-01,4.421009e-01,-2.165292e-01
8.200000e-02,-2.601102e-01,1.813959e-01,4.381557e-01,-2.128054e-01
8.300000e-02,-2.631072e-01,1.852754e-01,4.342171e-01,-2.090609e-01
8.400000e-02,-2.660475e-01,1.891297e-01,4.302828e-01,-2.052764e-01
8.500000e-02,-2.689736e-01,1.930003e-01,4.262814e-01,-2.014371e-01
8.600000e-02,-2.718989e-01,1.968814e-01,4.221515e-01,-1.975493e-01
8.700000e-02,-2.748032e-01,2.007306e-01,4.178830e-01,-1.936331e-01
8.800000e-02,-2.776446e-01,2.045103e-01,4.135312e-01,-1.897039e-01
8.900000e-02,-2.803973e-01,2.082120e-01,4.091760e-01,-1.857632e-01
