 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 0.00000000e+00  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.28361723e-01  7.28361723e-01  7.28361723e-01  7.28361723e-01 
 1.00000000e-12  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.28361701e-01  7.28361720e-01  7.28361716e-01  7.28361676e-01 
 2.00000000e-12  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.28361744e-01  7.28361675e-01  7.28361706e-01  7.28361701e-01 
 3.00000000e-12  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.28361738e-01  7.28361760e-01  7.28361713e-01  7.28361782e-01 
 4.00000000e-12  7.35394421e-01  7.35394422e-01  7.35394421e-01  7.35394421e-01  7.28361666e-01  7.28361978e-01  7.28361796e-01  7.28361599e-01 
 5.00000000e-12  7.35394421e-01  7.35394424e-01  7.35394421e-01  7.35394421e-01  7.28361869e-01  7.28362100e-01  7.28361771e-01  7.28361819e-01 
 6.00000000e-12  7.35394422e-01  7.35394425e-01  7.35394421e-01  7.35394423e-01  7.28362305e-01  7.28361518e-01  7.28361766e-01  7.28362239e-01 
 7.00000000e-12  7.35394425e-01  7.35394423e-01  7.35394422e-01  7.35394425e-01  7.28362210e-01  7.28360511e-01  7.28362065e-01  7.28361911e-01 
 8.00000000e-12  7.35394426e-01  7.35394419e-01  7.35394424e-01  7.35394425e-01  7.28361177e-01  7.28360077e-01  7.28362248e-01  7.28360762e-01 
 9.00000000e-12  7.35394423e-01  7.35394415e-01  7.35394426e-01  7.35394421e-01  7.28360018e-01  7.28360476e-01  7.28361595e-01  7.28359788e-01 
 1.00000000e-11  7.35394417e-01  7.35394413e-01  7.35394424e-01  7.35394415e-01  7.28359891e-01  7.28361019e-01  7.28360351e-01  7.28359843e-01 
 1.10000000e-11  7.35394413e-01  7.35394413e-01  7.35394419e-01  7.35394411e-01  7.28360854e-01  7.28361057e-01  7.28359701e-01  7.28360761e-01 
 1.20000000e-11  7.35394412e-01  7.35394412e-01  7.35394413e-01  7.35394410e-01  7.28361836e-01  7.28360503e-01  7.28360333e-01  7.28361574e-01 
 1.30000000e-11  7.35394414e-01  7.35394409e-01  7.35394411e-01  7.35394412e-01  7.28361846e-01  7.28359705e-01  7.28361600e-01  7.28361361e-01 
