 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 0.00000000e+00  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.28361723e-01  7.28361723e-01  7.28361723e-01  7.28361723e-01 
 1.00000000e-12  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.28361722e-01  7.28361726e-01  7.28361725e-01  7.28361722e-01 
 2.00000000e-12  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.28361721e-01  7.28361740e-01  7.28361721e-01  7.28361719e-01 
 3.00000000e-12  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.35394421e-01  7.28361719e-01  7.28361757e-01  7.28361716e-01  7.28361726e-01 
 4.00000000e-12  7.35394421e-01  7.35394422e-01  7.35394421e-01  7.35394421e-01  7.28361700e-01  7.28362105e-01  7.28361712e-01  7.28361698e-01 
 5.00000000e-12  7.35394421e-01  7.35394424e-01  7.35394421e-01  7.35394421e-01  7.28362056e-01  7.28362035e-01  7.28361665e-01  7.28361948e-01 
 6.00000000e-12  7.35394424e-01  7.35394425e-01  7.35394421e-01  7.35394423e-01  7.28362353e-01  7.28361338e-01  7.28361809e-01  7.28362224e-01 
 7.00000000e-12  7.35394426e-01  7.35394423e-01  7.35394422e-01  7.35394425e-01  7.28361833e-01  7.28360517e-01  7.28362251e-01  7.28361866e-01 
 8.00000000e-12  7.35394425e-01  7.35394419e-01  7.35394425e-01  7.35394425e-01  7.28360606e-01  7.28360193e-01  7.28362349e-01  7.28360907e-01 
 9.00000000e-12  7.35394421e-01  7.35394415e-01  7.35394426e-01  7.35394421e-01  7.28359713e-01  7.28360557e-01  7.28361459e-01  7.28360206e-01 
 1.00000000e-11  7.35394414e-01  7.35394413e-01  7.35394424e-01  7.35394416e-01  7.28360014e-01  7.28361160e-01  7.28360098e-01  7.28360428e-01 
 1.10000000e-11  7.35394411e-01  7.35394413e-01  7.35394418e-01  7.35394414e-01  7.28361172e-01  7.28361328e-01  7.28359589e-01  7.28361292e-01 
 1.20000000e-11  7.35394412e-01  7.35394413e-01  7.35394412e-01  7.35394415e-01  7.28361959e-01  7.28360794e-01  7.28360505e-01  7.28361875e-01 
 1.30000000e-11  7.35394415e-01  7.35394411e-01  7.35394411e-01  7.35394417e-01  7.28361509e-01  7.28359932e-01  7.28361944e-01  7.28361503e-01 
 1.40000000e-11  7.35394414e-01  7.35394406e-01  7.35394414e-01  7.35394416e-01  7.28360162e-01  7.28359450e-01  7.28362439e-01  7.28360386e-01 
 1.50000000e-11  7.35394409e-01  7.35394400e-01  7.35394418e-01  7.35394412e-01  7.28359112e-01  7.28359744e-01  7.28361371e-01  7.28359477e-01 
 1.60000000e-11  7.35394402e-01  7.35394397e-01  7.35394416e-01  7.35394405e-01  7.28359240e-01  7.28360484e-01  7.28359593e-01  7.28359581e-01 
 1.70000000e-11  7.35394397e-01  7.35394397e-01  7.35394409e-01  7.35394401e-01  7.28360299e-01  7.28360873e-01  7.28358679e-01  7.28360538e-01 
 1.80000000e-11  7.35394397e-01  7.35394397e-01  7.35394401e-01  7.35394401e-01  7.28361184e-01  7.28360405e-01  7.28359401e-01  7.28361346e-01 
 1.90000000e-11  7.35394399e-01  7.35394395e-01  7.35394398e-01  7.35394403e-01  7.28360928e-01  7.28359394e-01  7.28360942e-01  7.28361130e-01 
 2.00000000e-11  7.35394399e-01  7.35394390e-01  7.35394400e-01  7.35394403e-01  7.28359565e-01  7.28358703e-01  7.28361686e-01  7.28359960e-01 
 2.10000000e-11  7.35394394e-01  7.35394383e-01  7.35394403e-01  7.35394398e-01  7.28358203e-01  7.28358870e-01  7.28360749e-01  7.28358791e-01 
