        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J),              E_elec[5] (J),               E_mag[5] (J),               E_cap[5] (J),               E_ind[5] (J),              E_elec[6] (J),               E_mag[6] (J),               E_cap[6] (J),               E_ind[6] (J),              E_elec[7] (J),               E_mag[7] (J),               E_cap[7] (J),               E_ind[7] (J)
 8.00000000e+01,        +2.292372509205e-12,        +6.762813654325e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.738877275237e-12,        +2.396605764877e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.438408505033e-12,        +2.516657392492e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.845263361562e-12,        +2.100803897873e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.867596769226e-12,        +2.106761844257e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.414987025931e-12,        +2.512260618674e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.014025349942e-12,        +1.530846275441e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.16000000e+01,        +2.243603651978e-12,        +6.936041640757e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.760870176939e-12,        +2.402224483527e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.437984765604e-12,        +2.491287060950e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.820502619978e-12,        +2.079098918014e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.837123152218e-12,        +2.082765806594e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.410618153195e-12,        +2.487725994173e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.030522628316e-12,        +1.538014736912e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.32000000e+01,        +2.196616516911e-12,        +7.111582835790e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.787722067047e-12,        +2.409396921642e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.436585041007e-12,        +2.468328410242e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.796627960069e-12,        +2.061283390524e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.808012862664e-12,        +2.063031775797e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.406036418908e-12,        +2.466133343081e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.049940125853e-12,        +1.546219877915e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.48000000e+01,        +2.151406426581e-12,        +7.289786066593e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.818562361075e-12,        +2.417490557314e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.434541515848e-12,        +2.447759433468e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.773829553044e-12,        +2.047291998572e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.780432810679e-12,        +2.047420960344e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.401584048165e-12,        +2.447382919245e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.071808589221e-12,        +1.555085897104e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.64000000e+01,        +2.107970052629e-12,        +7.471030470176e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.852584957447e-12,        +2.425971320227e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.432159655500e-12,        +2.429543363432e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.752350884778e-12,        +2.037107251822e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.754604330351e-12,        +2.035853620154e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.397571763069e-12,        +2.431364592210e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.095689477147e-12,        +1.564286879710e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+01,        +2.066305982468e-12,        +7.655728585051e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.889024018410e-12,        +2.434384469694e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.429700170769e-12,        +2.413627565354e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.732468547969e-12,        +2.030749546988e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.730782297476e-12,        +2.028297817031e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.394259681984e-12,        +2.417955686406e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.121161249840e-12,        +1.573536197752e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.96000000e+01,        +2.026415309615e-12,        +7.844330026322e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.927139472659e-12,        +2.442343600544e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.427368928589e-12,        +2.399946953944e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.714479964520e-12,        +2.028272573770e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.709242590031e-12,        +2.024763897540e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.391846396042e-12,        +2.407023627673e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.147811031366e-12,        +1.582580640059e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.12000000e+01,        +1.988302259545e-12,        +8.037325841636e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.966210592135e-12,        +2.449525515032e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.425313760528e-12,        +2.388430427006e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.698697395574e-12,        +2.029762169344e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.690276107344e-12,        +2.025302684611e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.390465087060e-12,        +2.398431842581e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.175230813099e-12,        +1.591198070090e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.28000000e+01,        +1.951974865153e-12,        +8.235253668899e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.005536378253e-12,        +2.455669222284e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.423627125180e-12,        +2.379009134708e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.685446860706e-12,        +2.035337275852e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.674187871083e-12,        +2.030005942550e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.390185612577e-12,        +2.392047713767e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.203017569849e-12,        +1.599197679129e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.44000000e+01,        +1.917445708721e-12,        +8.438703846267e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.044441634527e-12,        +2.460577637872e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.422353580647e-12,        +2.371625649844e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.675070811252e-12,        +2.045152068001e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.661299987404e-12,        +2.039008115678e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.391021528057e-12,        +2.387751654559e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.230776728529e-12,        +1.606422050884e-12,        +0.000000000000e+00,        +0.000000000000e+00
