        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 8.00000000e+01,        +7.044784062672e-13,        +7.675709019845e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.055399456311e-13,        +1.105006526486e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.048598859626e-13,        +1.104963926752e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.16000000e+01,        +7.057571457985e-13,        +7.667124402473e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.110060856060e-13,        +1.096302313398e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.103241470937e-13,        +1.096262249549e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.32000000e+01,        +7.070401968381e-13,        +7.658537195771e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.164747574142e-13,        +1.087646767385e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.157908403873e-13,        +1.087609135770e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.48000000e+01,        +7.083268083846e-13,        +7.649946489191e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.219431926075e-13,        +1.079043582494e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.212571981837e-13,        +1.079008275005e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.64000000e+01,        +7.096162271280e-13,        +7.641351543708e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.274087217082e-13,        +1.070496327711e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.267205519778e-13,        +1.070463231788e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+01,        +7.109076977754e-13,        +7.632751778344e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.328687735645e-13,        +1.062008446253e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.321783317631e-13,        +1.061977444911e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.96000000e+01,        +7.122004633934e-13,        +7.624146758350e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.383208745514e-13,        +1.053583255389e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.376280652222e-13,        +1.053554227272e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.12000000e+01,        +7.134937657664e-13,        +7.615536184809e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.437626476270e-13,        +1.045223946721e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.430673767718e-13,        +1.045196766171e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.28000000e+01,        +7.147868457718e-13,        +7.606919885434e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.491918112511e-13,        +1.036933586886e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.484939864716e-13,        +1.036908124025e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.44000000e+01,        +7.160789437722e-13,        +7.598297806406e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.546061781752e-13,        +1.028715118609e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.539057088033e-13,        +1.028691239435e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+01,        +7.173693000223e-13,        +7.589670005085e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.600036541115e-13,        +1.020571362077e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.593004513299e-13,        +1.020548928571e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.76000000e+01,        +7.186571550925e-13,        +7.581036643481e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.653822362883e-13,        +1.012505016603e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.646762132423e-13,        +1.012483886840e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.92000000e+01,        +7.199417503060e-13,        +7.572397982375e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.707400119014e-13,        +1.004518662536e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.700310838000e-13,        +1.004498690807e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00800000e+02,        +7.212223281906e-13,        +7.563754375988e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.760751564674e-13,        +9.966147633918e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.753632406759e-13,        +9.965958003321e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.02400000e+02,        +7.224981329425e-13,        +7.555106267137e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.813859320873e-13,        +9.887956681905e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.806709482107e-13,        +9.887775609104e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +7.237684109026e-13,        +7.546454182803e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.866706856290e-13,        +9.810636139621e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.859525555866e-13,        +9.810462061842e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.05600000e+02,        +7.250324110438e-13,        +7.537798730057e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.919278468341e-13,        +9.734207284125e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.912064949253e-13,        +9.734038606112e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.07200000e+02,        +7.262893854677e-13,        +7.529140592286e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.971559263586e-13,        +9.658690327254e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.964312793203e-13,        +9.658525422707e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.08800000e+02,        +7.275385899109e-13,        +7.520480525700e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.023535137530e-13,        +9.584104444852e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.016255008092e-13,        +9.583941657887e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.10400000e+02,        +7.287792842584e-13,        +7.511819356060e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.075192753903e-13,        +9.510467807072e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.067878282930e-13,        +9.510305453706e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +7.300107330647e-13,        +7.503157975608e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.126519523475e-13,        +9.437797609586e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.119170054105e-13,        +9.437633979247e-13,        +0.000000000000e+00,        +0.000000000000e+00
