        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 8.00000000e+01,        +7.334541978615e-13,        +1.093229766376e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.336193564991e-13,        +1.092888620825e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.335328020552e-13,        +1.093242592635e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.333966063583e-13,        +1.093610233070e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.16000000e+01,        +7.359983456075e-13,        +1.103244484819e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.361695251438e-13,        +1.102911839657e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.360836733718e-13,        +1.103273523124e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.359427299752e-13,        +1.103634116535e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.32000000e+01,        +7.391077237287e-13,        +1.113552015487e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.392851611516e-13,        +1.113228395267e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.392002288263e-13,        +1.113597931879e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.390544153518e-13,        +1.113950936403e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.48000000e+01,        +7.428049383301e-13,        +1.124157111273e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.429888852102e-13,        +1.123843064845e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.429051010285e-13,        +1.124220586120e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.427542880364e-13,        +1.124565458733e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.64000000e+01,        +7.471128376160e-13,        +1.135064231876e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.473035604438e-13,        +1.134760332763e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.472211653910e-13,        +1.135145958922e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.470652157226e-13,        +1.135482157004e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+01,        +7.520544871861e-13,        +1.146277455316e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.522522674053e-13,        +1.145984301888e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.521715151634e-13,        +1.146378140528e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.520102830284e-13,        +1.146705123401e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.96000000e+01,        +7.576531320702e-13,        +1.157800378533e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.578582656633e-13,        +1.157518593602e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.577794231243e-13,        +1.157920738706e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.576127527980e-13,        +1.158237968777e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.12000000e+01,        +7.639321433978e-13,        +1.169636006087e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.641449398703e-13,        +1.169366235271e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.640682878603e-13,        +1.169776767135e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.638960118413e-13,        +1.170083710066e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.28000000e+01,        +7.709149474112e-13,        +1.181786625913e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.711357280639e-13,        +1.181529533882e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.710615624353e-13,        +1.181948520808e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.708834989568e-13,        +1.182244643858e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.44000000e+01,        +7.786249343354e-13,        +1.194253671159e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.788540298752e-13,        +1.194009934706e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.787826631482e-13,        +1.194437437455e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.785986130996e-13,        +1.194722205060e-12,        +0.000000000000e+00,        +0.000000000000e+00
