        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            Re{I[4][1]} (A),            Im{I[4][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            Re{I[4][2]} (A),            Im{I[4][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A),            Re{I[4][3]} (A),            Im{I[4][3]} (A),            I_inc[4][4] (A),            Re{I[1][4]} (A),            Im{I[1][4]} (A),            Re{I[2][4]} (A),            Im{I[2][4]} (A),            Re{I[3][4]} (A),            Im{I[3][4]} (A),            Re{I[4][4]} (A),            Im{I[4][4]} (A)
 8.00000000e+01,        +1.414213562373e-01,        +6.926491834334e-02,        +2.908175944560e-02,        +3.941872996410e-02,        -4.477471857682e-02,        +1.340769345735e-02,        -7.179861520755e-02,        +2.804013355956e-02,        -5.286984291135e-02,        +1.414213562373e-01,        +3.941872996410e-02,        -4.477471857682e-02,        +6.926115319415e-02,        +2.904261134855e-02,        +2.806435576955e-02,        -5.287687935567e-02,        +1.340621841756e-02,        -7.179873411409e-02,        +1.414213562373e-01,        +1.340769345735e-02,        -7.179861520755e-02,        +2.806435576955e-02,        -5.287687935567e-02,        +6.926042047580e-02,        +2.904124291659e-02,        +3.941823585989e-02,        -4.477398931067e-02,        +1.414213562373e-01,        +2.804013355956e-02,        -5.286984291135e-02,        +1.340621841756e-02,        -7.179873411409e-02,        +3.941823585989e-02,        -4.477398931067e-02,        +6.926508223081e-02,        +2.908340428890e-02
 8.16000000e+01,        +1.414213562373e-01,        +6.982927375155e-02,        +3.021310213275e-02,        +3.878764604847e-02,        -4.506745611223e-02,        +1.148780383297e-02,        -7.246274169127e-02,        +2.680819701199e-02,        -5.318303688180e-02,        +1.414213562373e-01,        +3.878764604847e-02,        -4.506745611223e-02,        +6.982504627650e-02,        +3.017327263824e-02,        +2.683250889066e-02,        -5.319115683215e-02,        +1.148629377151e-02,        -7.246282501115e-02,        +1.414213562373e-01,        +1.148780383297e-02,        -7.246274169127e-02,        +2.683250889066e-02,        -5.319115683215e-02,        +6.982425363196e-02,        +3.017185386480e-02,        +3.878718063465e-02,        -4.506669023670e-02,        +1.414213562373e-01,        +2.680819701199e-02,        -5.318303688180e-02,        +1.148629377151e-02,        -7.246282501115e-02,        +3.878718063465e-02,        -4.506669023670e-02,        +6.982944736831e-02,        +3.021472180401e-02
 8.32000000e+01,        +1.414213562373e-01,        +7.045033160222e-02,        +3.134705762894e-02,        +3.817610541939e-02,        -4.535127250913e-02,        +9.536303113758e-03,        -7.309254198165e-02,        +2.557065862433e-02,        -5.346766142002e-02,        +1.414213562373e-01,        +3.817610541939e-02,        -4.535127250913e-02,        +7.044562983030e-02,        +3.130657757604e-02,        +2.559500775756e-02,        -5.347689238716e-02,        +9.534757572933e-03,        -7.309258891134e-02,        +1.414213562373e-01,        +9.536303113758e-03,        -7.309254198165e-02,        +2.559500775756e-02,        -5.347689238716e-02,        +7.044477316299e-02,        +3.130510593316e-02,        +3.817567102927e-02,        -4.535047093968e-02,        +1.414213562373e-01,        +2.557065862433e-02,        -5.346766142001e-02,        +9.534757572933e-03,        -7.309258891134e-02,        +3.817567102927e-02,        -4.535047093968e-02,        +7.045051368860e-02,        +3.134864726750e-02
 8.48000000e+01,        +1.414213562373e-01,        +7.112967584315e-02,        +3.248116706915e-02,        +3.758468789842e-02,        -4.562786853547e-02,        +7.552277375904e-03,        -7.368695507248e-02,        +2.432748737500e-02,        -5.372338745856e-02,        +1.414213562373e-01,        +3.758468789842e-02,        -4.562786853547e-02,        +7.112448978924e-02,        +3.244006890722e-02,        +2.435181880224e-02,        -5.373375544541e-02,        +7.550695846145e-03,        -7.368696464921e-02,        +1.414213562373e-01,        +7.552277375904e-03,        -7.368695507247e-02,        +2.435181880224e-02,        -5.373375544541e-02,        +7.112356463326e-02,        +3.243854200586e-02,        +3.758428688575e-02,        -4.562703232881e-02,        +1.414213562373e-01,        +2.432748737500e-02,        -5.372338745856e-02,        +7.550695846145e-03,        -7.368696464921e-02,        +3.758428688575e-02,        -4.562703232881e-02,        +7.112986491955e-02,        +3.248272153244e-02
 8.64000000e+01,        +1.414213562373e-01,        +7.186885255138e-02,        +3.361282801463e-02,        +3.701390783097e-02,        -4.589902059561e-02,        +5.534782245722e-03,        -7.424475677834e-02,        +2.307864645776e-02,        -5.394978832865e-02,        +1.414213562373e-01,        +3.701390783097e-02,        -4.589902059561e-02,        +7.186317438918e-02,        +3.357114573516e-02,        +2.310290260791e-02,        -5.396131769310e-02,        +5.533164162307e-03,        -7.424472788553e-02,        +1.414213562373e-01,        +5.534782245722e-03,        -7.424475677834e-02,        +2.310290260791e-02,        -5.396131769310e-02,        +7.186217589384e-02,        +3.356956132860e-02,        +3.701354256078e-02,        -4.589815095778e-02,        +1.414213562373e-01,        +2.307864645776e-02,        -5.394978832865e-02,        +5.533164162307e-03,        -7.424472788553e-02,        +3.701354256078e-02,        -4.589815095778e-02,        +7.186904690601e-02,        +3.361434189242e-02
 8.80000000e+01,        +1.414213562373e-01,        +7.266936297258e-02,        +3.473928525943e-02,        +3.646420801601e-02,        -4.616658484612e-02,        +3.482853543176e-03,        -7.476454823611e-02,        +2.182410299375e-02,        -5.414633325267e-02,        +1.414213562373e-01,        +3.646420801601e-02,        -4.616658484612e-02,        +7.266318721441e-02,        +3.469705431229e-02,        +2.184822361911e-02,        -5.415904655872e-02,        +3.481198280141e-03,        -7.476447960254e-02,        +1.414213562373e-01,        +3.482853543176e-03,        -7.476454823611e-02,        +2.184822361911e-02,        -5.415904655872e-02,        +7.266211012599e-02,        +3.469541030501e-02,        +3.646388085402e-02,        -4.616568314039e-02,        +1.414213562373e-01,        +2.182410299375e-02,        -5.414633325267e-02,        +3.481198280141e-03,        -7.476447960254e-02,        +3.646388085402e-02,        -4.616568314039e-02,        +7.266956065590e-02,        +3.474075287974e-02
 8.96000000e+01,        +1.414213562373e-01,        +7.353265507569e-02,        +3.585762122322e-02,        +3.593595244730e-02,        -4.643250139073e-02,        +1.395519363046e-03,        -7.524474429884e-02,        +2.056383888768e-02,        -5.431238106306e-02,        +1.414213562373e-01,        +3.593595244730e-02,        -4.643250139072e-02,        +7.352597875816e-02,        +3.581487841535e-02,        +2.058776099487e-02,        -5.432629891908e-02,        +1.393826227093e-03,        -7.524463449009e-02,        +1.414213562373e-01,        +1.395519363046e-03,        -7.524474429884e-02,        +2.058776099487e-02,        -5.432629891908e-02,        +7.352481740053e-02,        +3.581317287778e-02,        +3.593566574738e-02,        -4.643156914518e-02,        +1.414213562373e-01,        +2.056383888768e-02,        -5.431238106306e-02,        +1.393826227094e-03,        -7.524463449009e-02,        +3.593566574738e-02,        -4.643156914518e-02,        +7.353285389707e-02,        +3.585903664517e-02
 9.12000000e+01,        +1.414213562373e-01,        +7.446011344756e-02,        +3.696474603825e-02,        +3.542941773416e-02,        -4.669879843239e-02,        -7.281862469925e-04,        -7.568356191006e-02,        +1.929786294402e-02,        -5.444717425084e-02,        +1.414213562373e-01,        +3.542941773416e-02,        -4.669879843239e-02,        +7.445293632151e-02,        +3.692152941282e-02,        +1.932152072028e-02,        -5.446231513240e-02,        -7.299180186563e-04,        -7.568340931249e-02,        +1.414213562373e-01,        -7.281862469927e-04,        -7.568356191006e-02,        +1.932152072028e-02,        -5.446231513240e-02,        +7.445168457742e-02,        +3.691976060173e-02,        +3.542917382374e-02,        -4.669783734625e-02,        +1.414213562373e-01,        +1.929786294402e-02,        -5.444717425084e-02,        -7.299180186558e-04,        -7.568340931249e-02,        +3.542917382374e-02,        -4.669783734625e-02,        +7.446031096561e-02,        +3.696610302950e-02
 9.28000000e+01,        +1.414213562373e-01,        +7.545304734429e-02,        +3.805738746659e-02,        +3.494478306792e-02,        -4.696759623383e-02,        -2.889207841623e-03,        -7.607900857473e-02,        +1.802622436273e-02,        -5.454983347456e-02,        +1.414213562373e-01,        +3.494478306792e-02,        -4.696759623383e-02,        +7.544537206725e-02,        +3.801373616097e-02,        +1.804954909659e-02,        -5.456621352685e-02,        -2.890979075692e-03,        -7.607881137469e-02,        +1.414213562373e-01,        -2.889207841623e-03,        -7.607900857473e-02,        +1.804954909659e-02,        -5.456621352685e-02,        +7.544402336157e-02,        +3.801190254404e-02,        +3.494458423158e-02,        -4.696660818180e-02,        +1.414213562373e-01,        +1.802622436273e-02,        -5.454983347456e-02,        -2.890979075692e-03,        -7.607881137469e-02,        +3.494458423158e-02,        -4.696660818180e-02,        +7.545324084055e-02,        +3.805867946901e-02
 9.44000000e+01,        +1.414213562373e-01,        +7.651267671024e-02,        +3.913208081576e-02,        +3.448211860002e-02,        -4.724111070730e-02,        -5.088451188133e-03,        -7.642887107564e-02,        +1.674902773481e-02,        -5.461935269068e-02,        +1.414213562373e-01,        +3.448211860002e-02,        -4.724111070730e-02,        +7.650450903944e-02,        +3.908803489687e-02,        +1.677194773304e-02,        -5.463698550382e-02,        -5.090262760282e-03,        -7.642862723922e-02,        +1.414213562373e-01,        -5.088451188133e-03,        -7.642887107564e-02,        +1.677194773304e-02,        -5.463698550382e-02,        +7.650305632454e-02,        +3.908613517967e-02,        +3.448196706209e-02,        -4.724009774114e-02,        +1.414213562373e-01,        +1.674902773481e-02,        -5.461935269068e-02,        -5.090262760282e-03,        -7.642862723922e-02,        +3.448196706209e-02,        -4.724009774114e-02,        +7.651286313894e-02,        +3.913330090999e-02
 9.60000000e+01,        +1.414213562373e-01,        +7.764011597197e-02,        +4.018515905848e-02,        +3.404137210092e-02,        -4.752165642018e-02,        -7.326763747522e-03,        -7.673070462258e-02,        +1.546644965631e-02,        -5.465459509972e-02,        +1.414213562373e-01,        +3.404137210092e-02,        -4.752165642018e-02,        +7.763146495599e-02,        +4.014075933445e-02,        +1.548889016248e-02,        -5.467349145058e-02,        -7.328616560429e-03,        -7.673041188124e-02,        +1.414213562373e-01,        -7.326763747522e-03,        -7.673070462258e-02,        +1.548889016248e-02,        -5.467349145058e-02,        +7.762990069773e-02,        +4.013879248812e-02,        +3.404127000815e-02,        -4.752062076764e-02,        +1.414213562373e-01,        +1.546644965631e-02,        -5.465459509972e-02,        -7.328616560428e-03,        -7.673041188124e-02,        +3.404127000815e-02,        -4.752062076764e-02,        +7.764029188654e-02,        +4.018629994168e-02
 9.76000000e+01,        +1.414213562373e-01,        +7.883635541395e-02,        +4.121274340515e-02,        +3.362235377567e-02,        -4.781164876349e-02,        -9.604912840632e-03,        -7.698182266582e-02,        +1.417875707487e-02,        -5.465429014085e-02,        +1.414213562373e-01,        +3.362235377567e-02,        -4.781164876348e-02,        +7.882723358158e-02,        +4.116803121196e-02,        +1.420064019801e-02,        -5.467445769781e-02,        -9.606807800524e-03,        -7.698147851075e-02,        +1.414213562373e-01,        -9.604912840632e-03,        -7.698182266582e-02,        +1.420064019801e-02,        -5.467445769781e-02,        +7.882554974354e-02,        +4.116599650183e-02,        +3.362230318081e-02,        -4.781059282500e-02,        +1.414213562373e-01,        +1.417875707487e-02,        -5.465429014085e-02,        -9.606807800524e-03,        -7.698147851075e-02,        +3.362230318081e-02,        -4.781059282500e-02,        +7.883651688073e-02,        +4.121379739341e-02
