        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[4][1]| (dB),        arg(S[4][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[4][2]| (dB),        arg(S[4][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.),             |S[4][3]| (dB),        arg(S[4][3]) (deg.),             |S[1][4]| (dB),        arg(S[1][4]) (deg.),             |S[2][4]| (dB),        arg(S[2][4]) (deg.),             |S[3][4]| (dB),        arg(S[3][4]) (deg.),             |S[4][4]| (dB),        arg(S[4][4]) (deg.)
 8.00000000e+01,        -5.192196246812e+00,        +1.580590174429e+02,        -7.495851385633e+00,        -4.864416703062e+01,        -5.739308218822e+00,        -7.941859467485e+01,        -7.469300579647e+00,        -6.205340682100e+01,        -7.495851385633e+00,        -4.864416703062e+01,        -5.193188302335e+00,        +1.580867494252e+02,        -7.467300330956e+00,        -6.203598286862e+01,        -5.739220509241e+00,        -7.941840140208e+01,        -5.739308218822e+00,        -7.941859467485e+01,        -7.467300330956e+00,        -6.203598286862e+01,        -5.191575188238e+00,        +1.580655843489e+02,        -7.498699077816e+00,        -4.864089111346e+01,        -7.469300579647e+00,        -6.205340682100e+01,        -5.739220509241e+00,        -7.941840140208e+01,        -7.498699077816e+00,        -4.864089111346e+01,        -5.190716006324e+00,        +1.580392861177e+02
 8.16000000e+01,        -5.202296513875e+00,        +1.571302926513e+02,        -7.524034638483e+00,        -4.928750734946e+01,        -5.700412193159e+00,        -8.098773432733e+01,        -7.511146670121e+00,        -6.324147005697e+01,        -7.524034638483e+00,        -4.928750734946e+01,        -5.203332512146e+00,        +1.571584539063e+02,        -7.509068113919e+00,        -6.322399702205e+01,        -5.700319960280e+00,        -8.098754951351e+01,        -5.700412193159e+00,        -8.098773432733e+01,        -7.509068113919e+00,        -6.322399702205e+01,        -5.201664348669e+00,        +1.571364987496e+02,        -7.526988697642e+00,        -4.928363690604e+01,        -7.511146670121e+00,        -6.324147005697e+01,        -5.700319960281e+00,        -8.098754951351e+01,        -7.526988697642e+00,        -4.928363690604e+01,        -5.200769326441e+00,        +1.571097639610e+02
 8.32000000e+01,        -5.215802646266e+00,        +1.561810003806e+02,        -7.550364411091e+00,        -4.991498666256e+01,        -5.659758614066e+00,        -8.256265141212e+01,        -7.553536593183e+00,        -6.443351235734e+01,        -7.550364411091e+00,        -4.991498666256e+01,        -5.216884716969e+00,        +1.562095769544e+02,        -7.551377871594e+00,        -6.441601129753e+01,        -5.659661837880e+00,        -8.256247698898e+01,        -5.659758614066e+00,        -8.256265141212e+01,        -7.551377871594e+00,        -6.441601129753e+01,        -5.215159752792e+00,        +1.561868083977e+02,        -7.553424961733e+00,        -4.991047927379e+01,        -7.553536593183e+00,        -6.443351235734e+01,        -5.659661837880e+00,        -8.256247698898e+01,        -7.553424961733e+00,        -4.991047927379e+01,        -5.214227559568e+00,        +1.561596484011e+02
 8.48000000e+01,        -5.232857477217e+00,        +1.552108519580e+02,        -7.574666907789e+00,        -5.052673645122e+01,        -5.617344049995e+00,        -8.414397636420e+01,        -7.596537355310e+00,        -6.563015220657e+01,        -7.574666907789e+00,        -5.052673645122e+01,        -5.233987908373e+00,        +1.552398290299e+02,        -7.594296573409e+00,        -6.561264523493e+01,        -5.617242725205e+00,        -8.414381423038e+01,        -5.617344049995e+00,        -8.414397636420e+01,        -7.594296573409e+00,        -6.561264523493e+01,        -5.232204260234e+00,        +1.552162223193e+02,        -7.577833706195e+00,        -5.052154807224e+01,        -7.596537355310e+00,        -6.563015220657e+01,        -5.617242725205e+00,        -8.414381423038e+01,        -7.577833706195e+00,        -5.052154807224e+01,        -5.231233456687e+00,        +1.551886494022e+02
 8.64000000e+01,        -5.253612952261e+00,        +1.542195239024e+02,        -7.596760225483e+00,        -5.112295075295e+01,        -5.573169461666e+00,        -8.573235799769e+01,        -7.640226154240e+00,        -6.683202312234e+01,        -7.596760225483e+00,        -5.112295075295e+01,        -5.254794202199e+00,        +1.542488857219e+02,        -7.637901377703e+00,        -6.681453346680e+01,        -5.573063596314e+00,        -8.573221002250e+01,        -5.573169461666e+00,        -8.573235799769e+01,        -7.637901377703e+00,        -6.681453346680e+01,        -5.252949846833e+00,        +1.542244145613e+02,        -7.600032621211e+00,        -5.111703581320e+01,        -7.640226154240e+00,        -6.683202312234e+01,        -5.573063596314e+00,        -8.573221002250e+01,        -7.600032621211e+00,        -5.111703581320e+01,        -5.251938875120e+00,        +1.541964419881e+02
 8.80000000e+01,        -5.278231156189e+00,        +1.532066578668e+02,        -7.616454339815e+00,        -5.170389508682e+01,        -5.527240496553e+00,        -8.732846295975e+01,        -7.684691190227e+00,        -6.803977182314e+01,        -7.616454339815e+00,        -5.170389508682e+01,        -5.279465866772e+00,        +1.532363876829e+02,        -7.682280442586e+00,        -6.802232389192e+01,        -5.527130110484e+00,        -8.732833098693e+01,        -5.527240496553e+00,        -8.732846295975e+01,        -7.682280442586e+00,        -6.802232389192e+01,        -5.277558631930e+00,        +1.532110241175e+02,        -7.619831235980e+00,        -5.169720662265e+01,        -7.684691190227e+00,        -6.803977182314e+01,        -5.527130110484e+00,        -8.732833098693e+01,        -7.619831235980e+00,        -5.169720662265e+01,        -5.276505805000e+00,        +1.531826661712e+02
 8.96000000e+01,        -5.306885400042e+00,        +1.521718606805e+02,        -7.633551227960e+00,        -5.226991621312e+01,        -5.479567801688e+00,        -8.893297506161e+01,        -7.730032543379e+00,        -6.925405601947e+01,        -7.633551227960e+00,        -5.226991621312e+01,        -5.308176411336e+00,        +1.522019406620e+02,        -7.727533802773e+00,        -6.923667547320e+01,        -5.479452924771e+00,        -8.893286091381e+01,        -5.479567801688e+00,        -8.893297506161e+01,        -7.727533802773e+00,        -6.923667547320e+01,        -5.306203965690e+00,        +1.521756549519e+02,        -7.637031040880e+00,        -5.226240603658e+01,        -7.730032543379e+00,        -6.925405601947e+01,        -5.479452924771e+00,        -8.893286091381e+01,        -7.637031040880e+00,        -5.226240603658e+01,        -5.305107455762e+00,        +1.521469269812e+02
 9.12000000e+01,        -5.339761375262e+00,        +1.511147044934e+02,        -7.647845156828e+00,        -5.282145269837e+01,        -5.430167355197e+00,        -9.054659446315e+01,        -7.776363121605e+00,        -7.047554176334e+01,        -7.647845156828e+00,        -5.282145269837e+01,        -5.341111741945e+00,        +1.511451156386e+02,        -7.773774316866e+00,        -7.045825559493e+01,        -5.430048025269e+00,        -9.054649994850e+01,        -5.430167355197e+00,        -9.054659446315e+01,        -7.773774316866e+00,        -7.045825559493e+01,        -5.339071583554e+00,        +1.511178761232e+02,        -7.651425775766e+00,        -5.281307160531e+01,        -7.776363121605e+00,        -7.047554176334e+01,        -5.430048025269e+00,        -9.054649994850e+01,        -7.651425775766e+00,        -5.281307160531e+01,        -5.337929409918e+00,        +1.510887945906e+02
 9.28000000e+01,        -5.377058382729e+00,        +1.500347270264e+02,        -7.659123167862e+00,        -5.335904622681e+01,        -5.379060816666e+00,        -9.217003668501e+01,        -7.823809683629e+00,        -7.170490028097e+01,        -7.659123167862e+00,        -5.335904622681e+01,        -5.378471392703e+00,        +1.500654490593e+02,        -7.821128689534e+00,        -7.168773690519e+01,        -5.378937077245e+00,        -9.216996360772e+01,        -5.379060816666e+00,        -9.217003668501e+01,        -7.821128689534e+00,        -7.168773690519e+01,        -5.376360835525e+00,        +1.500372220111e+02,        -7.662801915741e+00,        -5.334974424639e+01,        -7.823809683629e+00,        -7.170490028097e+01,        -5.378937077245e+00,        -9.216996360772e+01,        -7.662801915741e+00,        -5.334974424639e+01,        -5.375170851990e+00,        +1.500078045452e+02
 9.44000000e+01,        -5.418990645111e+00,        +1.489314319289e+02,        -7.667165791721e+00,        -5.388335356324e+01,        -5.326275895997e+00,        -9.380403141942e+01,        -7.872513941444e+00,        -7.294280420356e+01,        -7.667165791721e+00,        -5.388335356324e+01,        -5.420469840934e+00,        +1.489624431832e+02,        -7.869738572955e+00,        -7.292579355924e+01,        -5.326147794052e+00,        -9.380398159689e+01,        -5.326275895997e+00,        -9.380403141942e+01,        -7.869738572955e+00,        -7.292579355924e+01,        -5.418285998679e+00,        +1.489331926482e+02,        -7.670939387712e+00,        -5.387308024950e+01,        -7.872513941444e+00,        -7.294280420356e+01,        -5.326147794053e+00,        -9.380398159689e+01,        -7.670939387712e+00,        -5.387308024950e+01,        -5.417045881252e+00,        +1.489034581000e+02
