        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 8.00000000e+01,        +7.334542395507e-13,        +1.093229763767e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.336194511482e-13,        +1.092888238666e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.335323840109e-13,        +1.093241847063e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.333968374278e-13,        +1.093609811267e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.16000000e+01,        +7.359984012101e-13,        +1.103244489678e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.361696193967e-13,        +1.102911463225e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.360832676400e-13,        +1.103272820581e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.359429580834e-13,        +1.103633698023e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.32000000e+01,        +7.391077927145e-13,        +1.113552028091e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.392852547136e-13,        +1.113228024588e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.391998361673e-13,        +1.113597270091e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.390546413629e-13,        +1.113950522191e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.48000000e+01,        +7.428050202657e-13,        +1.124157131803e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.429889777342e-13,        +1.123842699668e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.429047223280e-13,        +1.124219962957e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.427545127592e-13,        +1.124565049829e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.64000000e+01,        +7.471129321714e-13,        +1.135064260398e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.473036515442e-13,        +1.134759972528e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.472208016968e-13,        +1.135145372357e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.470654399270e-13,        +1.135481754418e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+01,        +7.520545941391e-13,        +1.146277491757e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.522523566939e-13,        +1.145983945715e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.521711677289e-13,        +1.146377588591e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.520105074825e-13,        +1.146704728151e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.96000000e+01,        +7.576532513038e-13,        +1.157800422666e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.578583528191e-13,        +1.157518240345e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.577790934526e-13,        +1.157920219437e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.576129783347e-13,        +1.158237581953e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.12000000e+01,        +7.639322748812e-13,        +1.169636057507e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.641450247530e-13,        +1.169365883698e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.640679777333e-13,        +1.169776278539e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.638962394560e-13,        +1.170083332975e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.28000000e+01,        +7.709150911531e-13,        +1.181786684027e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.711358108715e-13,        +1.181529183054e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.710612738934e-13,        +1.181948060815e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.708837299195e-13,        +1.182244278313e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.44000000e+01,        +7.786250902960e-13,        +1.194253735196e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.788541113164e-13,        +1.194009584624e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.787823983671e-13,        +1.194437003899e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.785988490238e-13,        +1.194721853828e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+01,        +7.870855123800e-13,        +1.207037636203e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.873231736895e-13,        +1.206807516826e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.872546169572e-13,        +1.207243534709e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.870648423726e-13,        +1.207516477398e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.76000000e+01,        +7.963193076715e-13,        +1.220137635769e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.965659537288e-13,        +1.219922217960e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.965009060782e-13,        +1.220366900340e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.963046637184e-13,        +1.220627376752e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.92000000e+01,        +8.063489682011e-13,        +1.233551621084e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.066049482380e-13,        +1.233351549312e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.065437859813e-13,        +1.233804982676e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.063408099367e-13,        +1.234052403045e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00800000e+02,        +8.171963274176e-13,        +1.247275915938e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.174619969979e-13,        +1.247091795227e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.174051223574e-13,        +1.247554096275e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.171951254680e-13,        +1.247787831697e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.02400000e+02,        +8.288823247149e-13,        +1.261305061932e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.291580496867e-13,        +1.261137450784e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.291058921733e-13,        +1.261608769371e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.288885712778e-13,        +1.261828150986e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +8.414267317581e-13,        +1.275631583043e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.417128935040e-13,        +1.275480995583e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.416659096732e-13,        +1.275961508125e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.414409529136e-13,        +1.276165836545e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.05600000e+02,        +8.548478378483e-13,        +1.290245734325e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.551448378259e-13,        +1.290112650401e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.551035094911e-13,        +1.290602544752e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.548706035554e-13,        +1.290791108235e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.07200000e+02,        +8.691620920123e-13,        +1.305135236144e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.694703537123e-13,        +1.305020114429e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.694351853089e-13,        +1.305519570881e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.691940205862e-13,        +1.305691667103e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.08800000e+02,        +8.843837000261e-13,        +1.320284996067e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.847036675778e-13,        +1.320188284475e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.846751835540e-13,        +1.320697458386e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.844254563592e-13,        +1.320852414027e-12,        +0.000000000000e+00,        +0.000000000000e+00
