        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[4][1]| (dB),        arg(S[4][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[4][2]| (dB),        arg(S[4][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.),             |S[4][3]| (dB),        arg(S[4][3]) (deg.),             |S[1][4]| (dB),        arg(S[1][4]) (deg.),             |S[2][4]| (dB),        arg(S[2][4]) (deg.),             |S[3][4]| (dB),        arg(S[3][4]) (deg.),             |S[4][4]| (dB),        arg(S[4][4]) (deg.)
 8.00000000e+01,        -5.192196369533e+00,        +1.580590163011e+02,        -7.495851373217e+00,        -4.864416547003e+01,        -5.739308038018e+00,        -7.941859410243e+01,        -7.469300824940e+00,        -6.205341055174e+01,        -7.495851373217e+00,        -4.864416547003e+01,        -5.193188283795e+00,        +1.580867476023e+02,        -7.467299955822e+00,        -6.203598221534e+01,        -5.739220249012e+00,        -7.941840322389e+01,        -5.739308038018e+00,        -7.941859410243e+01,        -7.467299955822e+00,        -6.203598221534e+01,        -5.191575285925e+00,        +1.580655806608e+02,        -7.498699298265e+00,        -4.864089200384e+01,        -7.469300824940e+00,        -6.205341055174e+01,        -5.739220249012e+00,        -7.941840322389e+01,        -7.498699298265e+00,        -4.864089200384e+01,        -5.190716141638e+00,        +1.580392813604e+02
 8.16000000e+01,        -5.202296627870e+00,        +1.571302915383e+02,        -7.524034609754e+00,        -4.928750594316e+01,        -5.700412024751e+00,        -8.098773381237e+01,        -7.511146895170e+00,        -6.324147361497e+01,        -7.524034609754e+00,        -4.928750594316e+01,        -5.203332504988e+00,        +1.571584522398e+02,        -7.509067758896e+00,        -6.322399646173e+01,        -5.700319735361e+00,        -8.098755131552e+01,        -5.700412024751e+00,        -8.098773381237e+01,        -7.509067758896e+00,        -6.322399646173e+01,        -5.201664480896e+00,        +1.571364953196e+02,        -7.526988921899e+00,        -4.928363764648e+01,        -7.511146895171e+00,        -6.324147361497e+01,        -5.700319735361e+00,        -8.098755131552e+01,        -7.526988921899e+00,        -4.928363764648e+01,        -5.200769476433e+00,        +1.571097593907e+02
 8.32000000e+01,        -5.215802749795e+00,        +1.561809993055e+02,        -7.550364370297e+00,        -4.991498540418e+01,        -5.659758456628e+00,        -8.256265093860e+01,        -7.553536799196e+00,        -6.443351573583e+01,        -7.550364370297e+00,        -4.991498540418e+01,        -5.216884720611e+00,        +1.562095754388e+02,        -7.551377533867e+00,        -6.441601082171e+01,        -5.659661646923e+00,        -8.256247876909e+01,        -5.659758456628e+00,        -8.256265093860e+01,        -7.551377533867e+00,        -6.441601082171e+01,        -5.215159911814e+00,        +1.561868052147e+02,        -7.553425188293e+00,        -4.991047987453e+01,        -7.553536799196e+00,        -6.443351573582e+01,        -5.659661646923e+00,        -8.256247876909e+01,        -7.553425188293e+00,        -4.991047987453e+01,        -5.214227724900e+00,        +1.561596440329e+02
 8.48000000e+01,        -5.232857569023e+00,        +1.552108509271e+02,        -7.574666858661e+00,        -5.052673533264e+01,        -5.617343902237e+00,        -8.414397591935e+01,        -7.596537543397e+00,        -6.563015540193e+01,        -7.574666858661e+00,        -5.052673533264e+01,        -5.233987922414e+00,        +1.552398276596e+02,        -7.594296250465e+00,        -6.561264483819e+01,        -5.617242567005e+00,        -8.414381598669e+01,        -5.617343902237e+00,        -8.414397591935e+01,        -7.594296250465e+00,        -6.561264483819e+01,        -5.232204439110e+00,        +1.552162193711e+02,        -7.577833933567e+00,        -5.052154853994e+01,        -7.596537543397e+00,        -6.563015540193e+01,        -5.617242567005e+00,        -8.414381598669e+01,        -7.577833933567e+00,        -5.052154853994e+01,        -5.231233637795e+00,        +1.551886452520e+02
 8.64000000e+01,        -5.253613031515e+00,        +1.542195229201e+02,        -7.596760171223e+00,        -5.112294976448e+01,        -5.573169322423e+00,        -8.573235757165e+01,        -7.640226325470e+00,        -6.683202613387e+01,        -7.596760171223e+00,        -5.112294976448e+01,        -5.254794226420e+00,        +1.542488844920e+02,        -7.637901067377e+00,        -6.681453314678e+01,        -5.573063469844e+00,        -8.573221175303e+01,        -5.573169322423e+00,        -8.573235757165e+01,        -7.637901067378e+00,        -6.681453314678e+01,        -5.252950039373e+00,        +1.542244118346e+02,        -7.600032847820e+00,        -5.111703615133e+01,        -7.640226325470e+00,        -6.683202613387e+01,        -5.573063469844e+00,        -8.573221175303e+01,        -7.600032847820e+00,        -5.111703615133e+01,        -5.251939072197e+00,        +1.541964380724e+02
 8.80000000e+01,        -5.278231222440e+00,        +1.532066569354e+02,        -7.616454283079e+00,        -5.170389421759e+01,        -5.527240364776e+00,        -8.732846254528e+01,        -7.684691345678e+00,        -6.803977465267e+01,        -7.616454283079e+00,        -5.170389421759e+01,        -5.279465901121e+00,        +1.532363865897e+02,        -7.682280143122e+00,        -6.802232364929e+01,        -5.527130014941e+00,        -8.732833268925e+01,        -5.527240364776e+00,        -8.732846254528e+01,        -7.682280143122e+00,        -6.802232364929e+01,        -5.277558832660e+00,        +1.532110215976e+02,        -7.619831460048e+00,        -5.169720683202e+01,        -7.684691345678e+00,        -6.803977465267e+01,        -5.527130014941e+00,        -8.732833268925e+01,        -7.619831460048e+00,        -5.169720683202e+01,        -5.276506017945e+00,        +1.531826625082e+02
 8.96000000e+01,        -5.306885453172e+00,        +1.521718598009e+02,        -7.633551170848e+00,        -5.226991545148e+01,        -5.479567676439e+00,        -8.893297465390e+01,        -7.730032684199e+00,        -6.925405867102e+01,        -7.633551170848e+00,        -5.226991545148e+01,        -5.308176455893e+00,        +1.522019397037e+02,        -7.727533512917e+00,        -6.923667531150e+01,        -5.479452859609e+00,        -8.893286258443e+01,        -5.479567676439e+00,        -8.893297465390e+01,        -7.727533512917e+00,        -6.923667531150e+01,        -5.306204169842e+00,        +1.521756526230e+02,        -7.637031260290e+00,        -5.226240611609e+01,        -7.730032684199e+00,        -6.925405867102e+01,        -5.479452859609e+00,        -8.893286258443e+01,        -7.637031260290e+00,        -5.226240611609e+01,        -5.305107684098e+00,        +1.521469235903e+02
 9.12000000e+01,        -5.339761415448e+00,        +1.511147036656e+02,        -7.647845100873e+00,        -5.282145203248e+01,        -5.430167235659e+00,        -9.054659405962e+01,        -7.776363249071e+00,        -7.047554424254e+01,        -7.647845100873e+00,        -5.282145203248e+01,        -5.341111796840e+00,        +1.511451148158e+02,        -7.773774036003e+00,        -7.045825552024e+01,        -5.430047990220e+00,        -9.054650158204e+01,        -5.430167235659e+00,        -9.054659405962e+01,        -7.773774036003e+00,        -7.045825552024e+01,        -5.339071787090e+00,        +1.511178739682e+02,        -7.651425987923e+00,        -5.281307155310e+01,        -7.776363249071e+00,        -7.047554424254e+01,        -5.430047990220e+00,        -9.054650158204e+01,        -7.651425987923e+00,        -5.281307155310e+01,        -5.337929652645e+00,        +1.510887914934e+02
 9.28000000e+01,        -5.377058410407e+00,        +1.500347262495e+02,        -7.659123114045e+00,        -5.335904564533e+01,        -5.379060702159e+00,        -9.217003628514e+01,        -7.823809799193e+00,        -7.170490259438e+01,        -7.659123114045e+00,        -5.335904564533e+01,        -5.378471457956e+00,        +1.500654483761e+02,        -7.821128417846e+00,        -7.168773692533e+01,        -5.378937072287e+00,        -9.216996519573e+01,        -5.379060702159e+00,        -9.217003628514e+01,        -7.821128417846e+00,        -7.168773692533e+01,        -5.376361035190e+00,        +1.500372200116e+02,        -7.662802117451e+00,        -5.334974406152e+01,        -7.823809799193e+00,        -7.170490259438e+01,        -5.378937072287e+00,        -9.216996519573e+01,        -7.662802117451e+00,        -5.334974406152e+01,        -5.375171107368e+00,        +1.500078017651e+02
 9.44000000e+01,        -5.418990660938e+00,        +1.489314312016e+02,        -7.667165740519e+00,        -5.388335305619e+01,        -5.326275786012e+00,        -9.380403102446e+01,        -7.872514046751e+00,        -7.294280635775e+01,        -7.667165740519e+00,        -5.388335305619e+01,        -5.420469916209e+00,        +1.489624426472e+02,        -7.869738311589e+00,        -7.292579368220e+01,        -5.326147819287e+00,        -9.380398312636e+01,        -5.326275786012e+00,        -9.380403102446e+01,        -7.869738311589e+00,        -7.292579368220e+01,        -5.418286192101e+00,        +1.489331907851e+02,        -7.670939575141e+00,        -5.387307993447e+01,        -7.872514046751e+00,        -7.294280635775e+01,        -5.326147819287e+00,        -9.380398312636e+01,        -7.670939575141e+00,        -5.387307993447e+01,        -5.417046146484e+00,        +1.489034556615e+02
