        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 8.00000000e+01,        +2.293550055172e-12,        +6.752370354981e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.292515433594e-12,        +6.737263033995e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.16000000e+01,        +2.244799374348e-12,        +6.925539237377e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.243767221513e-12,        +6.910136381507e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.32000000e+01,        +2.197824949977e-12,        +7.101027762491e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.196797317550e-12,        +7.085333752775e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.48000000e+01,        +2.152622471754e-12,        +7.279184374964e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.151601152109e-12,        +7.263203173169e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.64000000e+01,        +2.109188952773e-12,        +7.460387847712e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.108175493173e-12,        +7.444122982070e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+01,        +2.067523298917e-12,        +7.645050391363e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.066519014432e-12,        +7.628504933663e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.96000000e+01,        +2.027626901862e-12,        +7.833621345451e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.026632886872e-12,        +7.816797879224e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.12000000e+01,        +1.989504267664e-12,        +8.026591549983e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.988521405793e-12,        +8.009492129130e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.28000000e+01,        +1.953163695076e-12,        +8.224498519302e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.952192667400e-12,        +8.207124616135e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.44000000e+01,        +1.918618020553e-12,        +8.427932569704e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.917659311883e-12,        +8.410285010880e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+01,        +1.885885450443e-12,        +8.637544089886e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.884939353478e-12,        +8.619622978208e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.76000000e+01,        +1.854990505572e-12,        +8.854052191679e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.854057122628e-12,        +8.835856811030e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.92000000e+01,        +1.825965109449e-12,        +9.078255041101e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.825044351434e-12,        +9.059783740963e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.00800000e+02,        +1.798849859338e-12,        +9.311042251471e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.797941441515e-12,        +9.292292306388e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.02400000e+02,        +1.773695530050e-12,        +9.553409827959e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.772798964008e-12,        +9.534377265924e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +1.750564874460e-12,        +9.806478296048e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.749679455542e-12,        +9.787157687984e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.05600000e+02,        +1.729534803942e-12,        +1.007151483856e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.728659593114e-12,        +1.005189903858e-12,        +0.000000000000e+00,        +0.000000000000e+00
