        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 8.00000000e+01,        +1.414213562373e-01,        +6.161260420958e-02,        -1.126281627751e-01,        +1.868076485714e-04,        -1.270001442211e-04,        +1.414213562373e-01,        +1.868076485737e-04,        -1.270001442200e-04,        +6.165615040014e-02,        -1.126642124103e-01
 8.16000000e+01,        +1.414213562373e-01,        +5.827384126860e-02,        -1.100470417677e-01,        +1.830114305576e-04,        -1.328675447311e-04,        +1.414213562373e-01,        +1.830114305567e-04,        -1.328675447337e-04,        +5.831706090492e-02,        -1.100850924546e-01
 8.32000000e+01,        +1.414213562373e-01,        +5.505043673937e-02,        -1.073902473812e-01,        +1.791476775738e-04,        -1.386864352194e-04,        +1.414213562373e-01,        +1.791476775792e-04,        -1.386864352191e-04,        +5.509322890230e-02,        -1.074302682914e-01
 8.48000000e+01,        +1.414213562373e-01,        +5.194103411420e-02,        -1.046612706755e-01,        +1.752307501782e-04,        -1.444912421833e-04,        +1.414213562373e-01,        +1.752307501771e-04,        -1.444912421872e-04,        +5.198329716596e-02,        -1.047032226094e-01
 8.64000000e+01,        +1.414213562373e-01,        +4.894426750460e-02,        -1.018632320065e-01,        +1.712728482822e-04,        -1.503213683469e-04,        +1.414213562373e-01,        +1.712728482782e-04,        -1.503213683419e-04,        +4.898589962379e-02,        -1.019070672156e-01
 8.80000000e+01,        +1.414213562373e-01,        +4.605878630168e-02,        -9.899888748920e-02,        +1.672837498616e-04,        -1.562218253956e-04,        +1.414213562373e-01,        +1.672837498730e-04,        -1.562218253926e-04,        +4.609968598773e-02,        -9.904454949302e-02
 8.96000000e+01,        +1.414213562373e-01,        +4.328327898700e-02,        -9.607063462957e-02,        +1.632704733045e-04,        -1.622440198151e-04,        +1.414213562373e-01,        +1.632704732987e-04,        -1.622440198214e-04,        +4.332334554138e-02,        -9.611805801574e-02
 9.12000000e+01,        +1.414213562373e-01,        +4.061649642471e-02,        -9.308051690048e-02,        +1.592368391226e-04,        -1.684467219324e-04,        +1.414213562373e-01,        +1.592368391209e-04,        -1.684467219273e-04,        +4.065563041876e-02,        -9.312962710223e-02
 9.28000000e+01,        +1.414213562373e-01,        +3.805727499569e-02,        -9.003022703772e-02,        +1.551829007092e-04,        -1.748972566488e-04,        +1.414213562373e-01,        +1.551829007150e-04,        -1.748972566496e-04,        +3.809537872870e-02,        -9.008094007445e-02
 9.44000000e+01,        +1.414213562373e-01,        +3.560455997304e-02,        -8.692110882662e-02,        +1.511042031085e-04,        -1.816729635930e-04,        +1.414213562373e-01,        +1.511042031025e-04,        -1.816729635924e-04,        +3.564153793869e-02,        -8.697333100466e-02
 9.60000000e+01,        +1.414213562373e-01,        +3.325742958715e-02,        -8.375415713555e-02,        +1.469908177430e-04,        -1.888629871040e-04,        +1.414213562373e-01,        +1.469908177355e-04,        -1.888629871169e-04,        +3.329318895053e-02,        -8.380778469439e-02
 9.76000000e+01,        +1.414213562373e-01,        +3.101512029291e-02,        -8.053001593168e-02,        +1.428260823590e-04,        -1.965704726326e-04,        +1.414213562373e-01,        +1.428260823641e-04,        -1.965704726439e-04,        +3.104957139530e-02,        -8.058493463324e-02
 9.92000000e+01,        +1.414213562373e-01,        +2.887705383413e-02,        -7.724897398241e-02,        +1.385849529172e-04,        -2.049152665726e-04,        +1.414213562373e-01,        +1.385849529261e-04,        -2.049152665577e-04,        +2.891011073903e-02,        -7.730505862805e-02
 1.00800000e+02,        +1.414213562373e-01,        +2.684286680961e-02,        -7.391095790397e-02,        +1.342318409424e-04,        -2.140372435952e-04,        +1.414213562373e-01,        +1.342318409418e-04,        -2.140372435866e-04,        +2.687444790367e-02,        -7.396807177437e-02
 1.02400000e+02,        +1.414213562373e-01,        +2.491244358778e-02,        -7.051552216175e-02,        +1.297177652262e-04,        -2.241004208736e-04,        +1.414213562373e-01,        +1.297177652354e-04,        -2.241004208644e-04,        +2.494247225769e-02,        -7.057351636612e-02
 1.04000000e+02,        +1.414213562373e-01,        +2.308595360576e-02,        -6.706183555501e-02,        +1.249765831437e-04,        -2.352980630401e-04,        +1.414213562373e-01,        +1.249765831317e-04,        -2.352980630460e-04,        +2.311435901201e-02,        -6.712054827954e-02
 1.05600000e+02,        +1.414213562373e-01,        +2.136389433961e-02,        -6.354866362448e-02,        +1.199199780275e-04,        -2.478590432959e-04,        +1.414213562373e-01,        +1.199199780137e-04,        -2.478590432892e-04,        +2.139061231647e-02,        -6.360791926650e-02
 1.07200000e+02,        +1.414213562373e-01,        +1.974714156843e-02,        -5.997434630376e-02,        +1.144307516467e-04,        -2.620558033615e-04,        +1.414213562373e-01,        +1.144307516438e-04,        -2.620558033628e-04,        +1.977211567813e-02,        -6.003395447971e-02
 1.08800000e+02,        +1.414213562373e-01,        +1.823700900922e-02,        -5.633676998517e-02,        +1.083537882981e-04,        -2.782143602451e-04,        +1.414213562373e-01,        +1.083537883022e-04,        -2.782143602317e-04,        +1.826019179553e-02,        -5.639652439326e-02
 1.10400000e+02,        +1.414213562373e-01,        +1.683532001838e-02,        -5.263333298217e-02,        +1.014837915801e-04,        -2.967269442973e-04,        +1.414213562373e-01,        +1.014837915587e-04,        -2.967269443174e-04,        +1.685667450565e-02,        -5.269301010570e-02
 1.12000000e+02,        +1.414213562373e-01,        +1.554449491112e-02,        -4.886090313474e-02,        +9.354850368415e-05,        -3.180680356499e-04,        +1.414213562373e-01,        +9.354850368404e-05,        -3.180680356481e-04,        +1.556399641646e-02,        -4.892026076442e-02
 1.13600000e+02,        +1.414213562373e-01,        +1.436765864362e-02,        -4.501576601073e-02,        +8.418553796928e-05,        -3.428148038793e-04,        +1.414213562373e-01,        +8.418553799157e-05,        -3.428148038678e-04,        +1.438529697789e-02,        -4.507454156716e-02
 1.15200000e+02,        +1.414213562373e-01,        +1.330877529442e-02,        -4.109356179913e-02,        +7.291007928578e-05,        -3.716732695552e-04,        +1.414213562373e-01,        +7.291007927946e-05,        -3.716732695553e-04,        +1.332455745823e-02,        -4.115147043019e-02
 1.16800000e+02,        +1.414213562373e-01,        +1.237281821288e-02,        -3.708920856702e-02,        +5.906937248403e-05,        -4.055119063302e-04,        +1.414213562373e-01,        +5.906937249421e-05,        -4.055119063403e-04,        +1.238677172097e-02,        -3.714594100022e-02
 1.18400000e+02,        +1.414213562373e-01,        +1.156598825487e-02,        -3.299680907619e-02,        +4.177785095333e-05,        -4.454049019255e-04,        +1.414213562373e-01,        +4.177785097512e-05,        -4.454049019497e-04,        +1.157816526665e-02,        -3.305202920145e-02
