        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 8.00000000e+01,        -2.101445768498e-01,        -1.253074697946e+02,        -5.593506815990e+01,        -3.419282353362e+01,        -5.593506815991e+01,        -3.419282353361e+01,        -2.100840941352e-01,        -1.252839327264e+02
 8.16000000e+01,        -2.171383923988e-01,        -1.270601029595e+02,        -5.592487319054e+01,        -3.596338601735e+01,        -5.592487319055e+01,        -3.596338601738e+01,        -2.170800123295e-01,        -1.270350365833e+02
 8.32000000e+01,        -2.242762968022e-01,        -1.287963107825e+02,        -5.590962475614e+01,        -3.772878176496e+01,        -5.590962475614e+01,        -3.772878176502e+01,        -2.242203062900e-01,        -1.287696983902e+02
 8.48000000e+01,        -2.315707373053e-01,        -1.305172865746e+02,        -5.588812440835e+01,        -3.949204638948e+01,        -5.588812440835e+01,        -3.949204638946e+01,        -2.315174568737e-01,        -1.304891130216e+02
 8.64000000e+01,        -2.390354918560e-01,        -1.322242474764e+02,        -5.585906020714e+01,        -4.125647643506e+01,        -5.585906020713e+01,        -4.125647643509e+01,        -2.389852772456e-01,        -1.321944989784e+02
 8.80000000e+01,        -2.466858070834e-01,        -1.339184376033e+02,        -5.582099169463e+01,        -4.302565520599e+01,        -5.582099169463e+01,        -4.302565520593e+01,        -2.466390503986e-01,        -1.338871015437e+02
 8.96000000e+01,        -2.545385604657e-01,        -1.356011317758e+02,        -5.577233384028e+01,        -4.480347830414e+01,        -5.577233384027e+01,        -4.480347830416e+01,        -2.544956909814e-01,        -1.355681965215e+02
 9.12000000e+01,        -2.626124511399e-01,        -1.372736398968e+02,        -5.571134005506e+01,        -4.659417767640e+01,        -5.571134005506e+01,        -4.659417767651e+01,        -2.625739358307e-01,        -1.372390946210e+02
 9.28000000e+01,        -2.709282248254e-01,        -1.389373120549e+02,        -5.563608445049e+01,        -4.840234261719e+01,        -5.563608445046e+01,        -4.840234261717e+01,        -2.708945687043e-01,        -1.389011465648e+02
 9.44000000e+01,        -2.795089396406e-01,        -1.405935444514e+02,        -5.554444361749e+01,        -5.023293575649e+01,        -5.554444361748e+01,        -5.023293575654e+01,        -2.794806859458e-01,        -1.405557490171e+02
 9.60000000e+01,        -2.883802812591e-01,        -1.422437862695e+02,        -5.543407832274e+01,        -5.209130167667e+01,        -5.543407832272e+01,        -5.209130167650e+01,        -2.883580115554e-01,        -1.422043514546e+02
 9.76000000e+01,        -2.975709380094e-01,        -1.438895476370e+02,        -5.530241566458e+01,        -5.398316544364e+01,        -5.530241566457e+01,        -5.398316544353e+01,        -2.975552722018e-01,        -1.438484641250e+02
 9.92000000e+01,        -3.071130493227e-01,        -1.455324088643e+02,        -5.514663239444e+01,        -5.591461814239e+01,        -5.514663239443e+01,        -5.591461814233e+01,        -3.071046456150e-01,        -1.454896672799e+02
 1.00800000e+02,        -3.170427446097e-01,        -1.471740311866e+02,        -5.496364028271e+01,        -5.789208656061e+01,        -5.496364028269e+01,        -5.789208656053e+01,        -3.170422993920e-01,        -1.471296219076e+02
 1.02400000e+02,        -3.274007945080e-01,        -1.488161692963e+02,        -5.475007457410e+01,        -5.992228465757e+01,        -5.475007457409e+01,        -5.992228465763e+01,        -3.274090421338e-01,        -1.487700822511e+02
 1.04000000e+02,        -3.382334029410e-01,        -1.504606860197e+02,        -5.450228670771e+01,        -6.201214555992e+01,        -5.450228670770e+01,        -6.201214555988e+01,        -3.382511153506e-01,        -1.504129104672e+02
 1.05600000e+02,        -3.495931771930e-01,        -1.521095695888e+02,        -5.421634253139e+01,        -6.416873473356e+01,        -5.421634253136e+01,        -6.416873473336e+01,        -3.496211632419e-01,        -1.520600938724e+02
 1.07200000e+02,        -3.615403251719e-01,        -1.537649540770e+02,        -5.388802716577e+01,        -6.639914792906e+01,        -5.388802716575e+01,        -6.639914792898e+01,        -3.615794295426e-01,        -1.537137653457e+02
 1.08800000e+02,        -3.741441455421e-01,        -1.554291437250e+02,        -5.351285739741e+01,        -6.871040147051e+01,        -5.351285739740e+01,        -6.871040147048e+01,        -3.741952469421e-01,        -1.553762276118e+02
 1.10400000e+02,        -3.874848995023e-01,        -1.571046420941e+02,        -5.308610194064e+01,        -7.110932750791e+01,        -5.308610194068e+01,        -7.110932750792e+01,        -3.875489078122e-01,        -1.570499823391e+02
 1.12000000e+02,        -4.016561856895e-01,        -1.587941872645e+02,        -5.260280902917e+01,        -7.360249261672e+01,        -5.260280902920e+01,        -7.360249261681e+01,        -4.017340374988e-01,        -1.587377652656e+02
 1.13600000e+02,        -4.167679867134e-01,        -1.605007946736e+02,        -5.205783955091e+01,        -7.619616405978e+01,        -5.205783955091e+01,        -7.619616405988e+01,        -4.168606384392e-01,        -1.604425889436e+02
 1.15200000e+02,        -4.329506244745e-01,        -1.622278097113e+02,        -5.144590233719e+01,        -7.889635343192e+01,        -5.144590233720e+01,        -7.889635343177e+01,        -4.330590418656e-01,        -1.621677952132e+02
 1.16800000e+02,        -4.503599633462e-01,        -1.639789729081e+02,        -5.076158634792e+01,        -8.170897142509e+01,        -5.076158634791e+01,        -8.170897142500e+01,        -4.504851055646e-01,        -1.639171202282e+02
 1.18400000e+02,        -4.691843544065e-01,        -1.657585015562e+02,        -4.999938252656e+01,        -8.464012962914e+01,        -4.999938252658e+01,        -8.464012962920e+01,        -4.693271499788e-01,        -1.656947758646e+02
 1.20000000e+02,        -4.896540515526e-01,        -1.675711930343e+02,        -4.915368626590e+01,        -8.769662588275e+01,        -4.915368626590e+01,        -8.769662588286e+01,        -4.898153620016e-01,        -1.675055527572e+02
 1.21600000e+02,        -5.120542047229e-01,        -1.694225571473e+02,        -4.821876996283e+01,        -9.088665026617e+01,        -4.821876996283e+01,        -9.088665026624e+01,        -5.122347693781e-01,        -1.693549522505e+02
 1.23200000e+02,        -5.367431392004e-01,        -1.713189877515e+02,        -4.718871420585e+01,        -9.422075273997e+01,        -4.718871420586e+01,        -9.422075274005e+01,        -5.369434908507e-01,        -1.712493574871e+02
 1.24800000e+02,        -5.641786286711e-01,        -1.732679882500e+02,        -4.605728573292e+01,        -9.771312629650e+01,        -4.605728573293e+01,        -9.771312629643e+01,        -5.643989633141e-01,        -1.731962581559e+02
 1.26400000e+02,        -5.949565682219e-01,        -1.752784718591e+02,        -4.481775019903e+01,        -1.013832897933e+02,        -4.481775019902e+01,        -1.013832897933e+02,        -5.951965411514e-01,        -1.752045496957e+02
 1.28000000e+02,        -6.298694310540e-01,        -1.773611667262e+02,        -4.346260764078e+01,        -1.052583151230e+02,        -4.346260764079e+01,        -1.052583151230e+02,        -6.301278319357e-01,        -1.772849368811e+02
 1.29600000e+02,        -6.699972877629e-01,        -1.795291689821e+02,        -4.198323806118e+01,        -1.093758544459e+02,        -4.198323806121e+01,        -1.093758544457e+02,        -6.702715115569e-01,        -1.794504846198e+02
 1.31200000e+02,        -7.168542980343e-01,        +1.782012961764e+02,        -4.036944432509e+01,        -1.137884205462e+02,        -4.036944432511e+01,        -1.137884205461e+02,        -7.171394604002e-01,        +1.782826243496e+02
 1.32800000e+02,        -7.726333495355e-01,        +1.758098280759e+02,        -3.860888263436e+01,        -1.185697244577e+02,        -3.860888263438e+01,        -1.185697244577e+02,        -7.729207601165e-01,        +1.758940482214e+02
 1.34400000e+02,        -8.406316386233e-01,        +1.732704438456e+02,        -3.668638758654e+01,        -1.238245120170e+02,        -3.668638758656e+01,        -1.238245120170e+02,        -8.409060641242e-01,        +1.733578874480e+02
 1.36000000e+02,        -9.260246128551e-01,        +1.705498362577e+02,        -3.458326054598e+01,        -1.297045286791e+02,        -3.458326054599e+01,        -1.297045286790e+02,        -9.262591446727e-01,        +1.706409551569e+02
 1.37600000e+02,        -1.037339636822e+00,        +1.676058095573e+02,        -3.227679071970e+01,        -1.364354857041e+02,        -3.227679071972e+01,        -1.364354857041e+02,        -1.037485545453e+00,        +1.677012321847e+02
 1.39200000e+02,        -1.189381065264e+00,        +1.643883730224e+02,        -2.974090443048e+01,        -1.443640249324e+02,        -2.974090443050e+01,        -1.443640249323e+02,        -1.189346504794e+00,        +1.644889865266e+02
 1.40800000e+02,        -1.409145784535e+00,        +1.608535581643e+02,        -2.695077145760e+01,        -1.540400560063e+02,        -2.695077145762e+01,        -1.540400560063e+02,        -1.408748197643e+00,        +1.609606061151e+02
 1.42400000e+02,        -1.746975043527e+00,        +1.570286587121e+02,        -2.390001091763e+01,        -1.663515119598e+02,        -2.390001091765e+01,        -1.663515119597e+02,        -1.745829700185e+00,        +1.571437291930e+02
 1.44000000e+02,        -2.288336455176e+00,        +1.532622420328e+02,        -2.065415019323e+01,        +1.773288447583e+02,        -2.065415019325e+01,        +1.773288447584e+02,        -2.285607941405e+00,        +1.533864048248e+02
 1.45600000e+02,        -3.098733822975e+00,        +1.509002959974e+02,        -1.747814980919e+01,        +1.553840147960e+02,        -1.747814980921e+01,        +1.553840147961e+02,        -3.092857469679e+00,        +1.510292353892e+02
 1.47200000e+02,        -3.885278941602e+00,        +1.521190298494e+02,        -1.493929135519e+01,        +1.277937892635e+02,        -1.493929135521e+01,        +1.277937892635e+02,        -3.875472609905e+00,        +1.522325149968e+02
 1.48800000e+02,        -4.019794136844e+00,        +1.546027638159e+02,        -1.347237009522e+01,        +9.858632514753e+01,        -1.347237009524e+01,        +9.858632514758e+01,        -4.009650855606e+00,        +1.546851617107e+02
 1.50400000e+02,        -3.836260087958e+00,        +1.535194372077e+02,        -1.274469843370e+01,        +7.225526710861e+01,        -1.274469843371e+01,        +7.225526710865e+01,        -3.828536868461e+00,        +1.535868739552e+02
 1.52000000e+02,        -3.938415641962e+00,        +1.497254530462e+02,        -1.216494697917e+01,        +4.906944003153e+01,        -1.216494697918e+01,        +4.906944003157e+01,        -3.932538790380e+00,        +1.497921017736e+02
 1.53600000e+02,        -4.495843710450e+00,        +1.455950482018e+02,        -1.146894996405e+01,        +2.698114083530e+01,        -1.146894996406e+01,        +2.698114083534e+01,        -4.490619581162e+00,        +1.456651094546e+02
 1.55200000e+02,        -5.500870626358e+00,        +1.435842632514e+02,        -1.070383844383e+01,        +4.059639782181e+00,        -1.070383844384e+01,        +4.059639782234e+00,        -5.495131832616e+00,        +1.436558921163e+02
 1.56800000e+02,        -6.587532485822e+00,        +1.467086670470e+02,        -1.009487390904e+01,        -2.049518272223e+01,        -1.009487390905e+01,        -2.049518272221e+01,        -6.580601127715e+00,        +1.467721636121e+02
 1.58400000e+02,        -6.828344943124e+00,        +1.539136902483e+02,        -9.865112724488e+00,        -4.584793325153e+01,        -9.865112724497e+00,        -4.584793325151e+01,        -6.821749618761e+00,        +1.539581133664e+02
 1.60000000e+02,        -6.117704009451e+00,        +1.576367542796e+02,        -1.001950682410e+01,        -7.024908296897e+01,        -1.001950682411e+01,        -7.024908296895e+01,        -6.113410187148e+00,        +1.576686693756e+02
 1.61600000e+02,        -5.369733476355e+00,        +1.556923112775e+02,        -1.034822994752e+01,        -9.273151726711e+01,        -1.034822994753e+01,        -9.273151726707e+01,        -5.367636053408e+00,        +1.557205972027e+02
 1.63200000e+02,        -5.027846956534e+00,        +1.507570540687e+02,        -1.062999946150e+01,        -1.136853384872e+02,        -1.062999946151e+01,        -1.136853384872e+02,        -5.027439736662e+00,        +1.507833926479e+02
 1.64800000e+02,        -5.140216633534e+00,        +1.450154428628e+02,        -1.075708986719e+01,        -1.342556590371e+02,        -1.075708986720e+01,        -1.342556590371e+02,        -5.141404774273e+00,        +1.450382841749e+02
 1.66400000e+02,        -5.681426801826e+00,        +1.401134152509e+02,        -1.075458978486e+01,        -1.557429922359e+02,        -1.075458978487e+01,        -1.557429922359e+02,        -5.684670597332e+00,        +1.401309175605e+02
 1.68000000e+02,        -6.508086459843e+00,        +1.381658170742e+02,        -1.078156079738e+01,        -1.791412864155e+02,        -1.078156079739e+01,        -1.791412864155e+02,        -6.514475334076e+00,        +1.381800471355e+02
 1.69600000e+02,        -7.055480308137e+00,        +1.405881107235e+02,        -1.109890391657e+01,        +1.555379873342e+02,        -1.109890391658e+01,        +1.555379873342e+02,        -7.065610122870e+00,        +1.406117744489e+02
 1.71200000e+02,        -6.687825339465e+00,        +1.432872049260e+02,        -1.191232764556e+01,        +1.297582762217e+02,        -1.191232764558e+01,        +1.297582762217e+02,        -6.699531137111e+00,        +1.433309079112e+02
 1.72800000e+02,        -5.839853415429e+00,        +1.407920827929e+02,        -1.318462534106e+01,        +1.055543791999e+02,        -1.318462534107e+01,        +1.055543791999e+02,        -5.851066855918e+00,        +1.408462410331e+02
 1.74400000e+02,        -5.183545800476e+00,        +1.336756619975e+02,        -1.469374464062e+01,        +8.395797432370e+01,        -1.469374464064e+01,        +8.395797432371e+01,        -5.194277616636e+00,        +1.337283446716e+02
 1.76000000e+02,        -4.871135718931e+00,        +1.241272274893e+02,        -1.623451952166e+01,        +6.478776211560e+01,        -1.623451952167e+01,        +6.478776211561e+01,        -4.881979921962e+00,        +1.241715899529e+02
 1.77600000e+02,        -4.836101666875e+00,        +1.131986533323e+02,        -1.770147738958e+01,        +4.737258019991e+01,        -1.770147738960e+01,        +4.737258019991e+01,        -4.847555295012e+00,        +1.132301019294e+02
 1.79200000e+02,        -4.994846514381e+00,        +1.011227698405e+02,        -1.906763854454e+01,        +3.105702675179e+01,        -1.906763854456e+01,        +3.105702675176e+01,        -5.007202915896e+00,        +1.011369767554e+02
 1.80800000e+02,        -5.278985244509e+00,        +8.780177417880e+01,        -2.034865664710e+01,        +1.535619071595e+01,        -2.034865664712e+01,        +1.535619071592e+01,        -5.292273906551e+00,        +8.779403475119e+01
 1.82400000e+02,        -5.623843464895e+00,        +7.306120055190e+01,        -2.157978470040e+01,        -3.628944378977e-02,        -2.157978470042e+01,        -3.628944380111e-02,        -5.637712211123e+00,        +7.302673710599e+01
 1.84000000e+02,        -5.954717343749e+00,        +5.681341102349e+01,        -2.280323147265e+01,        -1.527315542054e+01,        -2.280323147268e+01,        -1.527315542054e+01,        -5.968303776038e+00,        +5.674879453973e+01
 1.85600000e+02,        -6.184793969864e+00,        +3.921561433939e+01,        -2.406053778661e+01,        -3.038028070596e+01,        -2.406053778663e+01,        -3.038028070595e+01,        -6.196757191395e+00,        +3.912133242687e+01
 1.87200000e+02,        -6.234109420109e+00,        +2.078778632885e+01,        -2.538716435502e+01,        -4.528373758943e+01,        -2.538716435505e+01,        -4.528373758953e+01,        -6.243030760027e+00,        +2.067056665513e+01
 1.88800000e+02,        -6.064230493535e+00,        +2.359801936757e+00,        -2.680862163459e+01,        -5.984089929949e+01,        -2.680862163460e+01,        -5.984089929953e+01,        -6.069279540754e+00,        +2.231894697448e+00
 1.90400000e+02,        -5.698810328191e+00,        -1.520049366848e+01,        -2.833849762751e+01,        -7.387588075993e+01,        -2.833849762755e+01,        -7.387588075982e+01,        -5.700119879383e+00,        -1.532571989863e+01
 1.92000000e+02,        -5.206496487635e+00,        -3.128446319796e+01,        -2.997876684052e+01,        -8.721468882537e+01,        -2.997876684057e+01,        -8.721468882540e+01,        -5.204913904059e+00,        -3.139701986595e+01
 1.93600000e+02,        -4.663596934021e+00,        -4.564103836631e+01,        -3.172216162062e+01,        -9.971324370937e+01,        -3.172216162067e+01,        -9.971324370930e+01,        -4.660159184943e+00,        -4.573573224561e+01
 1.95200000e+02,        -4.128132156280e+00,        -5.828856412685e+01,        -3.355574229473e+01,        -1.112733936112e+02,        -3.355574229482e+01,        -1.112733936111e+02,        -4.123708789114e+00,        -5.836392975644e+01
 1.96800000e+02,        -3.633884559302e+00,        -6.938239658554e+01,        -3.546458882244e+01,        -1.218464186050e+02,        -3.546458882247e+01,        -1.218464186049e+02,        -3.629073721213e+00,        -6.943908094043e+01
 1.98400000e+02,        -3.195497778081e+00,        -7.912170713049e+01,        -3.743481198711e+01,        -1.314272749820e+02,        -3.743481198717e+01,        -1.314272749820e+02,        -3.190660760022e+00,        -7.916128742264e+01
 2.00000000e+02,        -2.815726435998e+00,        -8.770275798923e+01,        -3.945557138157e+01,        -1.400442342611e+02,        -3.945557138171e+01,        -1.400442342612e+02,        -2.811058429388e+00,        -8.772708524617e+01
 2.01600000e+02,        -2.491112258361e+00,        -9.530096752191e+01,        -4.152019652699e+01,        -1.477478987529e+02,        -4.152019652700e+01,        -1.477478987532e+02,        -2.486704670670e+00,        -9.531185730753e+01
 2.03200000e+02,        -2.215554238489e+00,        -1.020666614474e+02,        -4.362671791074e+01,        -1.546020568804e+02,        -4.362671791078e+01,        -1.546020568800e+02,        -2.211438452186e+00,        -1.020657693984e+02
 2.04800000e+02,        -1.982280733825e+00,        -1.081262894180e+02,        -4.577816493566e+01,        -1.606774980508e+02,        -4.577816493568e+01,        -1.606774980504e+02,        -1.978455742820e+00,        -1.081150749316e+02
 2.06400000e+02,        -1.784821004362e+00,        -1.135854049767e+02,        -4.798297290436e+01,        -1.660491829610e+02,        -4.798297290448e+01,        -1.660491829611e+02,        -1.781269811991e+00,        -1.135651336925e+02
 2.08000000e+02,        -1.617412282452e+00,        -1.185319192633e+02,        -5.025584965122e+01,        -1.707971407659e+02,        -5.025584965130e+01,        -1.707971407653e+02,        -1.614111192949e+00,        -1.185036808463e+02
 2.09600000e+02,        -1.475112542915e+00,        -1.230390918006e+02,        -5.261956332088e+01,        -1.750122294690e+02,        -5.261956332091e+01,        -1.750122294696e+02,        -1.472036193913e+00,        -1.230038222929e+02
 2.11200000e+02,        -1.353772606426e+00,        -1.271681049955e+02,        -5.510844163996e+01,        -1.788100088209e+02,        -5.510844163984e+01,        -1.788100088206e+02,        -1.350896537644e+00,        -1.271266090354e+02
 2.12800000e+02,        -1.249949887448e+00,        -1.309702149753e+02,        -5.777518303264e+01,        +1.776384872447e+02,        -5.777518303258e+01,        +1.776384872430e+02,        -1.247251724753e+00,        -1.309231860000e+02
 2.14400000e+02,        -1.160805458684e+00,        -1.344885220833e+02,        -6.070456748165e+01,        +1.740338702359e+02,        -6.070456748174e+01,        +1.740338702366e+02,        -1.158265343634e+00,        -1.344365599172e+02
 2.16000000e+02,        -1.084004017143e+00,        -1.377594174863e+02,        -6.404267198741e+01,        +1.697502905282e+02,        -6.404267198819e+01,        +1.697502905282e+02,        -1.081604642055e+00,        -1.377030433009e+02
 2.17600000e+02,        -1.017624811733e+00,        -1.408137610981e+02,        -6.806112670653e+01,        +1.631744268617e+02,        -6.806112670621e+01,        +1.631744268597e+02,        -1.015351261937e+00,        -1.407534299663e+02
 2.19200000e+02,        -9.600858516331e-01,        -1.436778397403e+02,        -7.324077483874e+01,        +1.487972685733e+02,        -7.324077483964e+01,        +1.487972685747e+02,        -9.579253651751e-01,        -1.436139510888e+02
