        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 8.00000000e+01,        +7.071067811865e+00,        +3.081934248768e+00,        -5.632498176809e+00,        +9.339344118519e-03,        -6.345301804562e-03,        +7.071067811865e+00,        +9.339344118517e-03,        -6.345301804558e-03,        +3.084220650174e+00,        -5.634175667410e+00
 8.16000000e+01,        +7.071067811865e+00,        +2.914881444915e+00,        -5.503424662212e+00,        +9.149565879516e-03,        -6.638619617661e-03,        +7.071067811865e+00,        +9.149565879504e-03,        -6.638619617660e-03,        +2.917261621526e+00,        -5.505279431020e+00
 8.32000000e+01,        +7.071067811865e+00,        +2.753596730886e+00,        -5.370559128602e+00,        +8.956416014986e-03,        -6.929494457635e-03,        +7.071067811865e+00,        +8.956416014984e-03,        -6.929494457650e-03,        +2.756063865833e+00,        -5.372598534157e+00
 8.48000000e+01,        +7.071067811865e+00,        +2.598012681735e+00,        -5.234076143576e+00,        +8.760613634340e-03,        -7.219650304975e-03,        +7.071067811865e+00,        +8.760613634350e-03,        -7.219650304977e-03,        +2.600559506308e+00,        -5.236307127155e+00
 8.64000000e+01,        +7.071067811865e+00,        +2.448061388810e+00,        -5.094131737465e+00,        +8.562769473776e-03,        -7.511059745040e-03,        +7.071067811865e+00,        +8.562769473777e-03,        -7.511059745049e-03,        +2.450680220905e+00,        -5.096560822367e+00
 8.80000000e+01,        +7.071067811865e+00,        +2.303675695150e+00,        -4.950863723371e+00,        +8.363372878180e-03,        -7.805975616574e-03,        +7.071067811865e+00,        +8.363372878188e-03,        -7.805975616565e-03,        +2.306358472955e+00,        -4.953497017478e+00
 8.96000000e+01,        +7.071067811865e+00,        +2.164790388662e+00,        -4.804391975705e+00,        +8.162774955181e-03,        -8.106970313076e-03,        +7.071067811865e+00,        +8.162774955185e-03,        -8.106970313085e-03,        +2.167528699629e+00,        -4.807235176718e+00
 9.12000000e+01,        +7.071067811865e+00,        +2.031343369637e+00,        -4.654818655989e+00,        +7.961166701667e-03,        -8.416984261106e-03,        +7.071067811865e+00,        +7.961166701650e-03,        -8.416984261119e-03,        +2.034128474789e+00,        -4.657877058852e+00
 9.28000000e+01,        +7.071067811865e+00,        +1.903276810669e+00,        -4.502228374697e+00,        +7.758550556099e-03,        -8.739385484377e-03,        +7.071067811865e+00,        +7.758550556126e-03,        -8.739385484402e-03,        +1.906099664280e+00,        -4.505506880738e+00
 9.44000000e+01,        +7.071067811865e+00,        +1.780538328999e+00,        -4.346688277579e+00,        +7.554703364828e-03,        -9.078042649195e-03,        +7.071067811865e+00,        +7.554703364833e-03,        -9.078042649217e-03,        +1.783389593646e+00,        -4.350191405012e+00
