        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 8.00000000e+01,        +7.044783760052e-13,        +7.675709750259e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.055399469703e-13,        +1.105006490486e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.048599432097e-13,        +1.104963970631e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.16000000e+01,        +7.057571165947e-13,        +7.667125148321e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.110060908265e-13,        +1.096302281058e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.103242263016e-13,        +1.096262295600e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.32000000e+01,        +7.070401686886e-13,        +7.658537958970e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.164747661812e-13,        +1.087646739197e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.157909401633e-13,        +1.087609185401e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.48000000e+01,        +7.083267812671e-13,        +7.649947271667e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.219432045900e-13,        +1.079043558848e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.212573171723e-13,        +1.079008329352e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.64000000e+01,        +7.096162010047e-13,        +7.641352347345e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.274087365788e-13,        +1.070496308907e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.267206888598e-13,        +1.070463291734e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+01,        +7.109076725957e-13,        +7.632752604949e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.328687909997e-13,        +1.062008432503e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.321784852542e-13,        +1.061977511111e-12,        +0.000000000000e+00,        +0.000000000000e+00
 8.96000000e+01,        +7.122004390956e-13,        +7.624147609629e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.383208942317e-13,        +1.053583246825e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.376282340720e-13,        +1.053554300167e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.12000000e+01,        +7.134937422801e-13,        +7.615537062342e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.437626692373e-13,        +1.045223943406e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.430675597631e-13,        +1.045196846014e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.28000000e+01,        +7.147868230196e-13,        +7.606920790665e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.491918344811e-13,        +1.036933588821e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.484941824193e-13,        +1.036908210895e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.44000000e+01,        +7.160789216713e-13,        +7.598298740631e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.546062027198e-13,        +1.028715125736e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.539059165537e-13,        +1.028691333257e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+01,        +7.173692784861e-13,        +7.589670969451e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.600036796710e-13,        +1.020571374292e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.593006697604e-13,        +1.020549029133e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.76000000e+01,        +7.186571340319e-13,        +7.581037638982e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.653822625695e-13,        +1.012505033760e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.646764412605e-13,        +1.012483993813e-12,        +0.000000000000e+00,        +0.000000000000e+00
 9.92000000e+01,        +7.199417296307e-13,        +7.572399009850e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.707400386178e-13,        +1.004518684452e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.700313203439e-13,        +1.004498803757e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00800000e+02,        +7.212223078099e-13,        +7.563755436128e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.760751833399e-13,        +9.966147898563e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.753634847132e-13,        +9.965959187372e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.02400000e+02,        +7.224981127666e-13,        +7.555107360488e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.813859588454e-13,        +9.887956989686e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.806711987392e-13,        +9.887776841753e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+02,        +7.237683908432e-13,        +7.546455309773e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.866707120110e-13,        +9.810636488012e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.859528116339e-13,        +9.810463336536e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.05600000e+02,        +7.250323910150e-13,        +7.537799890919e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.919278725883e-13,        +9.734207670469e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.912067555491e-13,        +9.734039915827e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.07200000e+02,        +7.262893653868e-13,        +7.529141787190e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.971559512439e-13,        +9.658690748803e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +6.964315436089e-13,        +9.658526760067e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.08800000e+02,        +7.275385696988e-13,        +7.520481754678e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.023535375401e-13,        +9.584104898814e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.016257678815e-13,        +9.583943015278e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.10400000e+02,        +7.287792638404e-13,        +7.511820619035e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.075192978621e-13,        +9.510468290641e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.067880972994e-13,        +9.510306823376e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +7.300107123710e-13,        +7.503159272403e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.126519733004e-13,        +9.437798119977e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.119172755332e-13,        +9.437635353405e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.13600000e+02,        +7.312321850464e-13,        +7.494498670529e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.177503774931e-13,        +9.366110640080e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.170121188271e-13,        +9.365944833562e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.15200000e+02,        +7.324429573502e-13,        +7.485839830017e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.228133944374e-13,        +9.295421194470e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.220715138026e-13,        +9.295250583905e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.16800000e+02,        +7.336423110289e-13,        +7.477183825727e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.278399762734e-13,        +9.225744250202e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.270944152359e-13,        +9.225567049639e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.18400000e+02,        +7.348295346303e-13,        +7.468531788279e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.328291410497e-13,        +9.157093431618e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.320798438163e-13,        +9.156907834886e-13,        +0.000000000000e+00,        +0.000000000000e+00
