        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 8.00000000e+01,        +1.414213562373e-01,        +1.209505531444e-01,        +7.447335135489e-03,        +5.992750804792e-02,        -6.044163313103e-02,        +5.993088907654e-02,        -6.043672185317e-02,        +1.414213562373e-01,        +5.992750804792e-02,        -6.044163313103e-02,        +1.839404626251e-01,        +3.980071049498e-02,        -2.806061962374e-03,        -5.988632256919e-02,        +1.414213562373e-01,        +5.993088907654e-02,        -6.043672185317e-02,        -2.806061962374e-03,        -5.988632256919e-02,        +1.839366913998e-01,        +3.984696911672e-02
 8.16000000e+01,        +1.414213562373e-01,        +1.211738544095e-01,        +7.416750956151e-03,        +5.896852863285e-02,        -6.138416778166e-02,        +5.897193050900e-02,        -6.137916040660e-02,        +1.414213562373e-01,        +5.896852863285e-02,        -6.138416778166e-02,        +1.852247833315e-01,        +3.950395848739e-02,        -4.643296662518e-03,        -5.966866479708e-02,        +1.414213562373e-01,        +5.897193050900e-02,        -6.137916040660e-02,        -4.643296662518e-03,        -5.966866479708e-02,        +1.852210638886e-01,        +3.955147931667e-02
 8.32000000e+01,        +1.414213562373e-01,        +1.213957607275e-01,        +7.379425065855e-03,        +5.799438304334e-02,        -6.231190172492e-02,        +5.799780559540e-02,        -6.230679007800e-02,        +1.414213562373e-01,        +5.799438304334e-02,        -6.231190172492e-02,        +1.864949646906e-01,        +3.916930965261e-02,        -6.467671534172e-03,        -5.939618740215e-02,        +1.414213562373e-01,        +5.799780559540e-02,        -6.230679007800e-02,        -6.467671534171e-03,        -5.939618740215e-02,        +1.864913148048e-01,        +3.921810596322e-02
 8.48000000e+01,        +1.414213562373e-01,        +1.216160856988e-01,        +7.335394598982e-03,        +5.700527609123e-02,        -6.322457090731e-02,        +5.700871967689e-02,        -6.321934635484e-02,        +1.414213562373e-01,        +5.700527609123e-02,        -6.322457090731e-02,        +1.877500053981e-01,        +3.879748727247e-02,        -8.277661730222e-03,        -5.906957199478e-02,        +1.414213562373e-01,        +5.700871967689e-02,        -6.321934635484e-02,        -8.277661730222e-03,        -5.906957199478e-02,        +1.877464437485e-01,        +3.884757181434e-02
 8.64000000e+01,        +1.414213562373e-01,        +1.218346433653e-01,        +7.284701714456e-03,        +5.600141821823e-02,        -6.412191313103e-02,        +5.600488377952e-02,        -6.411656661271e-02,        +1.414213562373e-01,        +5.600141821823e-02,        -6.412191313103e-02,        +1.889889393112e-01,        +3.838923363084e-02,        -1.007177591380e-02,        -5.868953526451e-02,        +1.414213562373e-01,        +5.600488377952e-02,        -6.411656661271e-02,        -1.007177591380e-02,        -5.868953526451e-02,        +1.889854854470e-01,        +3.844061858540e-02
 8.80000000e+01,        +1.414213562373e-01,        +1.220512483523e-01,        +7.227393605850e-03,        +5.498302552349e-02,        -6.500366820196e-02,        +5.498651463842e-02,        -6.499819026702e-02,        +1.414213562373e-01,        +5.498302552349e-02,        -6.500366820196e-02,        +1.902108352511e-01,        +3.794530839151e-02,        -1.184855654938e-02,        -5.825682745757e-02,        +1.414213562373e-01,        +5.498651463842e-02,        -6.499819026702e-02,        -1.184855654938e-02,        -5.825682745757e-02,        +1.902075095576e-01,        +3.799800532915e-02
 8.96000000e+01,        +1.414213562373e-01,        +1.222657160107e-01,        +7.163522510532e-03,        +5.395031978689e-02,        -6.586957808228e-02,        +5.395383471760e-02,        -6.586395892903e-02,        +1.414213562373e-01,        +5.395031978689e-02,        -6.586957808228e-02,        +1.914147967445e-01,        +3.746648703498e-02,        -1.360658013777e-02,        -5.777223089649e-02,        +1.414213562373e-01,        +5.395383471760e-02,        -6.586395892903e-02,        -1.360658013777e-02,        -5.777223089649e-02,        +1.914116204073e-01,        +3.752050687433e-02
 9.12000000e+01,        +1.414213562373e-01,        +1.224778625629e-01,        +7.093145717094e-03,        +5.290352848752e-02,        -6.671938704751e-02,        +5.290707222495e-02,        -6.671361656602e-02,        +1.414213562373e-01,        +5.290352848752e-02,        -6.671938704751e-02,        +1.925999617050e-01,        +3.695355935413e-02,        -1.534445739878e-02,        -5.723655854190e-02,        +1.414213562373e-01,        +5.290707222495e-02,        -6.671361656602e-02,        -1.534445739878e-02,        -5.723655854190e-02,        +1.925969566748e-01,        +3.700891232330e-02
 9.28000000e+01,        +1.414213562373e-01,        +1.226875052485e-01,        +7.016325570408e-03,        +5.184288481704e-02,        -6.755284184741e-02,        +5.184646112210e-02,        -6.754690966507e-02,        +1.414213562373e-01,        +5.184288481704e-02,        -6.755284184741e-02,        +1.937655020618e-01,        +3.640732800926e-02,        -1.706083340505e-02,        -5.665065259661e-02,        +1.414213562373e-01,        +5.184646112210e-02,        -6.754690966507e-02,        -1.706083340505e-02,        -5.665065259661e-02,        +1.937626910176e-01,        +3.646402360894e-02
 9.44000000e+01,        +1.414213562373e-01,        +1.228944624744e-01,        +6.933129473679e-03,        +5.076862768756e-02,        -6.836969187043e-02,        +5.077224112873e-02,        -6.836358740009e-02,        +1.414213562373e-01,        +5.076862768756e-02,        -6.836969187043e-02,        +1.949106233370e-01,        +3.582860714265e-02,        -1.875438767042e-02,        -5.601538315233e-02,        +1.414213562373e-01,        +5.077224112873e-02,        -6.836358740009e-02,        -1.875438767042e-02,        -5.601538315233e-02,        +1.949080296490e-01,        +3.588665411100e-02
