        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.)
 8.00000000e+01,        -1.624778597010e+01,        +1.600084735112e+02,        -4.410217460235e+00,        -4.524472228325e+01,        -4.410330404953e+00,        -4.524077835267e+01,        -4.410217460235e+00,        -4.524472228325e+01,        -7.705778716042e+00,        +4.310864471627e+01,        -7.454222421456e+00,        -9.268271598339e+01,        -4.410330404953e+00,        -4.524077835267e+01,        -7.454222421456e+00,        -9.268271598339e+01,        -7.701474048242e+00,        +4.314438606882e+01
 8.16000000e+01,        -1.633605501417e+01,        +1.598819915113e+02,        -4.409734200718e+00,        -4.614984824047e+01,        -4.409862149783e+00,        -4.614586187273e+01,        -4.409734200718e+00,        -4.614984824047e+01,        -7.595377512071e+00,        +4.204560379688e+01,        -7.469153517545e+00,        -9.444967589436e+01,        -4.409862149783e+00,        -4.614586187273e+01,        -7.469153517545e+00,        -9.444967589436e+01,        -7.591096994520e+00,        +4.208228409578e+01
 8.32000000e+01,        -1.642560308554e+01,        +1.597711765207e+02,        -4.409243832626e+00,        -4.705533290248e+01,        -4.409387640581e+00,        -4.705130260489e+01,        -4.409243832626e+00,        -4.705533290248e+01,        -7.488651013775e+00,        +4.099089030073e+01,        -7.483936664623e+00,        -9.621447247831e+01,        -4.409387640581e+00,        -4.705130260489e+01,        -7.483936664623e+00,        -9.621447247831e+01,        -7.484395198468e+00,        +4.102850939508e+01
 8.48000000e+01,        -1.651639872332e+01,        +1.596765867627e+02,        -4.408748624149e+00,        -4.796117819299e+01,        -4.408909164000e+00,        -4.795710223775e+01,        -4.408748624149e+00,        -4.796117819299e+01,        -7.385481380343e+00,        +3.994417056970e+01,        -7.498565126771e+00,        -9.797714604682e+01,        -4.408909164000e+00,        -4.795710223775e+01,        -7.498565126771e+00,        -9.797714604682e+01,        -7.381250792350e+00,        +3.998272830278e+01
 8.64000000e+01,        -1.660840635150e+01,        +1.595987976965e+02,        -4.408250829740e+00,        -4.886738564563e+01,        -4.408428990207e+00,        -4.886326206038e+01,        -4.408250829740e+00,        -4.886738564563e+01,        -7.285756803383e+00,        +3.890513047508e+01,        -7.513032319147e+00,        -9.973773763754e+01,        -4.408428990207e+00,        -4.886326206038e+01,        -7.513032319147e+00,        -9.973773763754e+01,        -7.281551944648e+00,        +3.894462668797e+01
 8.80000000e+01,        -1.670158592910e+01,        +1.595384017434e+02,        -4.407752689696e+00,        -4.977395640047e+01,        -4.407949372555e+00,        -4.976978296003e+01,        -4.407752689696e+00,        -4.977395640047e+01,        -7.189371131553e+00,        +3.787347359192e+01,        -7.527331811350e+00,        -1.014962889674e+02,        -4.407949372555e+00,        -4.976978296003e+01,        -7.527331811350e+00,        -1.014962889674e+02,        -7.185192484314e+00,        +3.791390812597e+01
 8.96000000e+01,        -1.679589257745e+01,        +1.594960078503e+02,        -4.407256429574e+00,        -5.068089120148e+01,        -4.407472547084e+00,        -5.067666542069e+01,        -4.407256429574e+00,        -5.068089120148e+01,        -7.096223525112e+00,        +3.684891956416e+01,        -7.541457330234e+00,        -1.032528423897e+02,        -4.407472547084e+00,        -5.067666542069e+01,        -7.541457330234e+00,        -1.032528423897e+02,        -7.092071554994e+00,        +3.689029226244e+01
 9.12000000e+01,        -1.689127618486e+01,        +1.594722408700e+02,        -4.406764259486e+00,        -5.158819039496e+01,        -4.407000731899e+00,        -5.158390952251e+01,        -4.406764259486e+00,        -5.158819039496e+01,        -7.006218137770e+00,        +3.583120263787e+01,        -7.555402762271e+00,        -1.050074408550e+02,        -4.407000731899e+00,        -5.158390952251e+01,        -7.555402762271e+00,        -1.050074408550e+02,        -7.002093296602e+00,        +3.587351334589e+01
 9.28000000e+01,        -1.698768098852e+01,        +1.594677407296e+02,        -4.406278373281e+00,        -5.249585392879e+01,        -4.406536126425e+00,        -5.249151494195e+01,        -4.406278373281e+00,        -5.249585392879e+01,        -6.919263823491e+00,        +3.482007034284e+01,        -7.569162155551e+00,        -1.067601278745e+02,        -4.406536126425e+00,        -5.249151494195e+01,        -7.569162155551e+00,        -1.067601278745e+02,        -6.915166551877e+00,        +3.486331890864e+01
 9.44000000e+01,        -1.708504513457e+01,        +1.594831613624e+02,        -4.405800947642e+00,        -5.340388135244e+01,        -4.406080910584e+00,        -5.339948095264e+01,        -4.405800947642e+00,        -5.340388135244e+01,        -6.835273866087e+00,        +3.381528230548e+01,        -7.582729721492e+00,        -1.085109474865e+02,        -4.406080910584e+00,        -5.339948095264e+01,        -7.582729721492e+00,        -1.085109474865e+02,        -6.831204595780e+00,        +3.385946857916e+01
