        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 8.00000000e+01,        +7.071067811865e+00,        +6.047527641559e+00,        +3.723667398423e-01,        +2.996375400573e+00,        -3.022081648393e+00,        +2.996544452133e+00,        -3.021836093090e+00,        +7.071067811865e+00,        +2.996375400573e+00,        -3.022081648393e+00,        +9.197023121090e+00,        +1.990035526402e+00,        -1.403030940188e-01,        -2.994316135553e+00,        +7.071067811865e+00,        +2.996544452133e+00,        -3.021836093090e+00,        -1.403030940188e-01,        -2.994316135553e+00,        +9.196834569376e+00,        +1.992348468857e+00
 8.16000000e+01,        +7.071067811865e+00,        +6.058692707196e+00,        +3.708375292798e-01,        +2.948426428596e+00,        -3.069208376701e+00,        +2.948596527222e+00,        -3.068958023617e+00,        +7.071067811865e+00,        +2.948426428596e+00,        -3.069208376701e+00,        +9.261239154472e+00,        +1.975197926321e+00,        -2.321648268517e-01,        -2.983433251551e+00,        +7.071067811865e+00,        +2.948596527222e+00,        -3.068958023617e+00,        -2.321648268517e-01,        -2.983433251551e+00,        +9.261053186781e+00,        +1.977573985267e+00
 8.32000000e+01,        +7.071067811865e+00,        +6.069788024197e+00,        +3.689712324660e-01,        +2.899719148271e+00,        -3.115595069150e+00,        +2.899890285731e+00,        -3.115339509952e+00,        +7.071067811865e+00,        +2.899719148271e+00,        -3.115595069150e+00,        +9.324748220162e+00,        +1.958465485357e+00,        -3.233835680251e-01,        -2.969809387442e+00,        +7.071067811865e+00,        +2.899890285731e+00,        -3.115339509952e+00,        -3.233835680251e-01,        -2.969809387442e+00,        +9.324565724288e+00,        +1.960905325140e+00
 8.48000000e+01,        +7.071067811865e+00,        +6.080804272723e+00,        +3.667697063352e-01,        +2.850263800219e+00,        -3.161228523170e+00,        +2.850435994513e+00,        -3.160967326541e+00,        +7.071067811865e+00,        +2.850263800219e+00,        -3.161228523170e+00,        +9.387500253116e+00,        +1.939874367491e+00,        -4.138830754202e-01,        -2.953478623561e+00,        +7.071067811865e+00,        +2.850435994513e+00,        -3.160967326541e+00,        -4.138830754202e-01,        -2.953478623561e+00,        +9.387322162443e+00,        +1.942378626289e+00
 8.64000000e+01,        +7.071067811865e+00,        +6.091732155009e+00,        +3.642350590199e-01,        +2.800070906540e+00,        -3.206095628976e+00,        +2.800244204691e+00,        -3.205828342214e+00,        +7.071067811865e+00,        +2.800070906540e+00,        -3.206095628976e+00,        +9.449446946313e+00,        +1.919461686809e+00,        -5.035887823868e-01,        -2.934476794201e+00,        +7.071067811865e+00,        +2.800244204691e+00,        -3.205828342214e+00,        -5.035887823868e-01,        -2.934476794201e+00,        +9.449274238072e+00,        +1.922030974359e+00
 8.80000000e+01,        +7.071067811865e+00,        +6.102562402440e+00,        +3.613696503579e-01,        +2.749151272200e+00,        -3.250183376959e+00,        +2.749325752862e+00,        -3.249909527772e+00,        +7.071067811865e+00,        +2.749151272200e+00,        -3.250183376959e+00,        +9.510541740925e+00,        +1.897265426401e+00,        -5.924278123013e-01,        -2.912841411491e+00,        +7.071067811865e+00,        +2.749325752862e+00,        -3.249909527772e+00,        -5.924278123013e-01,        -2.912841411491e+00,        +9.510375434427e+00,        +1.899900321834e+00
 8.96000000e+01,        +7.071067811865e+00,        +6.113285782697e+00,        +3.581760923525e-01,        +2.697515986193e+00,        -3.293478865323e+00,        +2.697691762087e+00,        -3.293197963790e+00,        +7.071067811865e+00,        +2.697515986193e+00,        -3.293478865323e+00,        +9.570739813351e+00,        +1.873324360199e+00,        -6.803289903204e-01,        -2.888611591380e+00,        +7.071067811865e+00,        +2.697691762087e+00,        -3.293197963790e+00,        -6.803289903204e-01,        -2.888611591380e+00,        +9.570580968190e+00,        +1.876025409980e+00
 9.12000000e+01,        +7.071067811865e+00,        +6.123893107008e+00,        +3.546572495460e-01,        +2.645176422464e+00,        -3.335969307932e+00,        +2.645353642643e+00,        -3.335680848632e+00,        +7.071067811865e+00,        +2.645176422464e+00,        -3.335969307932e+00,        +9.629998059331e+00,        +1.847677977761e+00,        -7.672228525169e-01,        -2.861827981727e+00,        +7.071067811865e+00,        +2.645353642643e+00,        -3.335680848632e+00,        -7.672228525169e-01,        -2.861827981727e+00,        +9.629847773551e+00,        +1.850445693733e+00
 9.28000000e+01,        +7.071067811865e+00,        +6.134375237483e+00,        +3.508162392746e-01,        +2.592144240580e+00,        -3.377642042357e+00,        +2.592323092508e+00,        -3.377345506639e+00,        +7.071067811865e+00,        +2.592144240580e+00,        -3.377642042357e+00,        +9.688275075350e+00,        +1.820366412027e+00,        -8.530416525741e-01,        -2.832532692514e+00,        +7.071067811865e+00,        +2.592323092508e+00,        -3.377345506639e+00,        -8.530416525741e-01,        -2.832532692514e+00,        +9.688134483583e+00,        +1.823201269545e+00
 9.44000000e+01,        +7.071067811865e+00,        +6.144723094561e+00,        +3.466564317731e-01,        +2.538431386124e+00,        -3.418484538095e+00,        +2.538612097584e+00,        -3.418179396487e+00,        +7.071067811865e+00,        +2.538431386124e+00,        -3.418484538095e+00,        +9.745531137538e+00,        +1.791430370043e+00,        -9.377193662092e-01,        -2.800769228176e+00,        +7.071067811865e+00,        +2.538612097584e+00,        -3.418179396487e+00,        -9.377193662092e-01,        -2.800769228176e+00,        +9.745401409109e+00,        +1.794332806214e+00
